"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Tricky";"False idols";"I'm ready";2013;"K7 RECORDS";1704016663;1704016816;"https://open.spotify.com/track/0wsxRNxh42qTD7QHSuy31D";;
"The Delfonics";"The sound of philadelphia / Vol. 2";"Ready or not, here I come";1969;"SOUL JAZZ RECORD";1704016815;1704016936;;;
"Kate Bush";"The whole story";"Cloudbusting";1985;"EMI";1704016933;1704017240;"https://open.spotify.com/track/373vZ0g1dpWaUcrbh0WKhd";;
"Alexandre Desplat";"BOF / The grand Budapest hotel";"Night train to Nebelsbad";2014;"ABKCO RECORDS";1704017238;1704017456;"https://open.spotify.com/track/2XOGa9LqNikOr0iW1PV3Oc";;
"Killah Priest";"Horrah scope";"Vampire beet juice interlude";2022;"PROVERBS RECORDS";1704017341;1704017541;"https://open.spotify.com/track/39iAMlPsyNJLV6MoPRzgp0";"https://music.apple.com/fr/album/vampire-beet-juice-interlude/1621468003?i=1621470065&uo=4";
"Dominique A";"Rendez nous la lumière";"Rendez-Nous La Lumière";2012;"CINQ 7/ WAGR";1704017540;1704017727;"https://open.spotify.com/track/3XIusTUemzLW7Hw37inTKk";;"https://www.deezer.com/track/16710851"
"Cecilia Bartoli";"Recital : Cecilia Bartoli interprete des melodies italiennes";"La conocchia pour mezzo-soprano et piano (extrait nuits d'ete a pausilippe)";1997;"DECCA";1704017725;1704017862;;;
"Alain Jean-Marie";"Créole promenade";"Haïti";2023;"PARADIS IMPROVISE";1704017860;1704018066;"https://open.spotify.com/track/44dGDTElxfl7UzzHjIA1wR";"https://music.apple.com/fr/album/haiti/1686367525?i=1686367948&uo=4";"https://www.deezer.com/track/9814826"
"Murat Pierre Et Son Ensemble";"Haiti/Meringue & konpa 1952-1962";"Taffiateur";1957;"FREMEAUX & ASSOCIES";1704018065;1704018223;;;
"Elmiene";"Golden";"Golden";2021;"VIRGIN MUSIC UK LAS (S&D)";1704018221;1704018446;"https://open.spotify.com/track/2FUPzuRcfp8xaJKkaHzTiQ";"https://music.apple.com/fr/album/golden/1599562421?i=1599562427&uo=4";"https://www.deezer.com/track/1584453292"
"Blundetto";"World of";"Hands for silver";2015;"HEAVENLY SWEETNESS";1704018444;1704018700;"https://open.spotify.com/track/2JAYR1n4GzEXdVCwI6IGPl";;
"James Blake";"Loading";"Loading";2023;"REPUBLIC RECORDS";1704018697;1704018981;"https://open.spotify.com/track/0GQW2gDyxgT5IsNEM4osbJ";;"https://www.deezer.com/track/2435115865"
"Francoiz Breut";"Flux flou de la foule";"Dérives urbaines dans la ville cannibale";2021;"62TV RECORDS";1704018980;1704019240;;;
"The Cure";"12' - 80s";"A forest (Extended mix)";1980;"FAMLILY REC";1704019239;1704019526;;;
"Horace Andy";"Rare grooves reggae 4";"Cuss cuss";1976;"NOVA";1704019520;1704019772;;;
"Brian Lopez";"Tidal";"Face to face";2023;"GATES PASS MUSIC";1704019730;1704020006;"https://open.spotify.com/track/5DcPEjyb3CPnzRKCUe27jk";;
"Svaneborg Kardyb";"Over tage";"Op";2022;"GONDWANA";1704019999;1704020276;"https://open.spotify.com/track/1jrji8lkvOlwD7aUIOXlT5";;
"Tapioca";"Samba em Kigali";"Sabor swahili";2023;"JAKARTA";1704020272;1704020516;"https://open.spotify.com/track/4JXl2XfMPB6iJOQLLsobvS";"https://music.apple.com/fr/album/sabor-swahili/1675247468?i=1675249438&uo=4";
"Ana Mazzotti";"Ninguém vai me segurar";"Feel like making love";1974;"FAR OUT RECORDINGS";1704020515;1704020747;"https://open.spotify.com/track/7s195d7fCSpbn7uNndfDFb";"https://music.apple.com/fr/album/feel-like-making-love/1568838590?i=1568838599&uo=4";
"Vladimir Cosma (Chef d'orchestre)";"Les introuvables / Vol. 4 / CD 06 : BOF TV / Sam et Sally / BOF / L'adieu aux as / Musique pour une série disparue";"Sam et Sally : Tendre Sam";1979;"LARGHETTO MUSIC";1704020745;1704020853;;;
"Jean Louis Murat";"La vraie vie de Buck John";"Nana (je vois ton ombre)";2021;"WAGRAM MUSIC - CINQ 7";1704020851;1704021056;;;
"PJ Harvey";"Let England shake";"In the dark places";2010;"ISLAND";1704021049;1704021223;;;
"Danger Mouse & Black Thought";"Cheat codes";"The darkest part (feat. Raekwon & Kid Sister)";2022;"BMG (DISTR)";1704021222;1704021447;;;
"Tune In";"Atlas";"Dark matter halo";2020;"AUTOPRODUCTION";1704021447;1704021639;;;
"Israel Kamakawiwo Ole";"Facing future";"Somewhere over the rainbow / what a wonderful world";1993;"BIGBOYRECORD";1704021631;1704021936;;;
"Bonnie Prince Billy";"Crazy blue bells";"Crazy blue bells";2023;"DRAG CITY";1704021933;1704022196;"https://open.spotify.com/track/0jGNxDI5sRsy6cVfsbCdDt";;
"Quatuor Mandelring";"Mendelssohn : Intégrale de la musique de chambre pour cordes";"Quatuor à cordes n°1 en Mi bémol Maj op 12 : Andante espressivo";2015;"AUDITE SCHALLPLATTEN";1704022195;1704022444;;;
"Billie Holiday";"Lady in satin : The centennial edition";"The end of a love affair";1958;"SONY MUSIC";1704022443;1704022857;;;
"Brigitte Bardot";"Sings";"Pas davantage";1963;"UNIVERSAL";1704022729;1704022882;;;
"Sofiane Saidi & Mazalda";"El ndjoum";"Wahdji ana w galbi";2017;"CARTON RECORDS";1704022882;1704023239;;;
"Maxime Delpierre";"Naõned";"Naoned";2020;"AIRFONO";1704023237;1704023493;"https://open.spotify.com/track/6nNUKzmCKa9Jx1fW5lRP90";;
"The Smiths";"The Smiths";"This charming man";1983;"RHINO RECORDS";1704023395;1704023556;;"https://music.apple.com/fr/album/this-charming-man/799980206?i=799980295&uo=4";
"Arlo Parks";"Collapsed in sunbeams";"Just go";2021;"TRANSGRESSIVE";1704023556;1704023740;"https://open.spotify.com/track/2szxIrlLVWJ7JRxDAGdzzc";;"https://www.deezer.com/track/1100051402"
"Ashley Henry";"My voice";"Day Dream";2023;"NAIVE RECORDS";1704023736;1704024027;"https://open.spotify.com/track/0pmfzrYIaHzPQ0DYnRWLwi";"https://music.apple.com/fr/album/day-dream/1677444473?i=1677444638&uo=4";
