"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"itunes";"spotify"
"Dick Jordan";"I want her back   Some of these days (extrait)";"I want her back";1962;"JAMIE RECORD";1706003912;1706004040;"https://www.deezer.com/track/1549733532";;
"Bo/Jonathan Livingston Le Goeland";"Jonathan Livingston le goeland (film)";"Flight of the gull (instrumental)";1973;"COLUMBIA";1706004038;1706004183;;;
"Jonathan Richman";"Action Packed: The Best of Jonathan Richman";"I Was dancing in the lesbian bar";1992;"ROUNDER RECO";1706004181;1706004403;;"https://music.apple.com/fr/album/i-was-dancing-in-the-lesbian-bar/2543114?i=2543101&uo=4";"https://open.spotify.com/track/2UayKZmrsYyjNj6T8frugJ"
"Berkeley Women'S Music Collective";"Compilation / Lesbian concentrate";"Gay and proud";1977;"OLIVIA RECORDS";1706004401;1706004615;;;
"Carlton Jumel Smith & The Soul Seeders";"Pleasure";"The girl I love";2023;"LOVEMEDO RECORDS";1706004608;1706004831;;;"https://open.spotify.com/track/3Dz3YEFBhDvnaXmWaDsO6P"
"Coupe Colonel";"EP1//";"Tout va bien";2016;"AUTOPRODUCTION";1706004827;1706005019;;;
"The Real Tuesday Weld";"Bathtime in clerkenwell";"The house of the clerkenwell kid";2004;"PLAY IT AGAIN SAM";1706005016;1706005227;;;
"Jay-Jay Johanson";"Rorschach test";"Cheetah";2021;"LICENCE KURONEKO - 29 MUSIC";1706005223;1706005508;"https://www.deezer.com/track/1201331502";;"https://open.spotify.com/track/1dvLaLf7Mkyz8ZTN9YZ2S7"
"ASM (A State of Mind)";"Color wheel";"Champagne";2019;"CHINESE MAN RECORDS";1706005506;1706005699;;;
"Sholto";"The changing tides of dreams";"Vampire";2023;"ROOT RECORDS";1706005700;1706005974;"https://www.deezer.com/track/2373996065";"https://music.apple.com/fr/album/vampire/1698299342?i=1698299567&uo=4";"https://open.spotify.com/track/73bGICcymptMidhikuj304"
"Jon Lucien";"Rashida";"Lady love";1973;"RCA";1706005966;1706006269;"https://www.deezer.com/track/385672671";;"https://open.spotify.com/track/7ihfmODYQtDTeTI84QK7zF"
"Grace Jones";"Island life";"Private life";1985;"ISLAND";1706006252;1706006562;"https://www.deezer.com/track/1563757";"https://music.apple.com/fr/album/private-life/1564504203?i=1564504447&uo=4";"https://open.spotify.com/track/05XlOegPNcO5ovDXJoefpb"
"Photograph";"Train";"Train";2020;"COMPLICE MUSIC";1706006560;1706006781;"https://www.deezer.com/track/926131592";;"https://open.spotify.com/track/65DUR0pVNcyXxavmK2xJPW"
"Evergreen";"Sign out";"Holla";2023;"KIDDING ASIDE / EMPTY STREETS RECORDS";1706006774;1706007147;;"https://music.apple.com/fr/album/holla/1654647327?i=1654647470&uo=4";"https://open.spotify.com/track/5iF90sAeULbli2MjLgfqYw"
"Benny Sings";"Studio";"Black and blue";2015;"DOX RECORDS";1706007031;1706007207;"https://www.deezer.com/track/1762224267";"https://music.apple.com/fr/album/black-and-blue/1676000297?i=1676000575&uo=4";"https://open.spotify.com/track/7KVU5OV3ss6y7O82ITvpit"
"Bruce Willis";"The return of Bruno";"Under the boardwalk";1987;"MOTOWN";1706007200;1706007378;;;"https://open.spotify.com/track/6a4mvE1CdiRMPyAvG8ByLN"
"Ensemble Berolina";"Carl Amand Mangold : Musique de chambre";"Sérénade en Si bémol Maj : 1. Introduction. Andante con moto - Allegro non troppo";2023;"MDG";1706007376;1706007721;;;
"Fabiano Do Nascimento";"Tempo dos mestres";"O tempo";2016;"NOW AGAIN";1706007720;1706007897;"https://www.deezer.com/track/140666427";;
"Oracle Sisters";"Paris II";"I don't wanna move";2021;"22TWENTY";1706007893;1706008112;;;"https://open.spotify.com/track/4ZZri9i3j0l1SNOhgkXHu6"
"Joe Dassin";"Bip bip";"Pauvre doudou";1967;"SONY";1706008107;1706008266;;"https://music.apple.com/fr/album/pauvre-doudou/378289660?i=378289748&uo=4";"https://open.spotify.com/track/3Ft5q8WEwwVcbLp0bhW0TK"
"Elton John";"A single man";"Big Dipper";1978;"ROCKET RECORD COMPANY";1706008264;1706008502;;;"https://open.spotify.com/track/6OVzjUYXPUzhC2CHEo1UAk"
"Dominique Lemonnier";"Bof / Reines d'un jour";"Le photoshop";2001;"DELABEL";1706008502;1706008657;;;
"Amsterdam Klezmer Band & Sondorgo";"Szikra";"Mooncatch";2017;"VETNASI RECORDS";1706008656;1706008951;;;
"Abraham Inc";"Tweet tweet";"The H tune (Hava nagila)";2009;"LABEL BLEU";1706008951;1706009268;;;
"Malka Family";"Le retour du kif";"Fun kiffeur";2017;"SAINT PAUL FORCE";1706009267;1706009506;;"https://music.apple.com/fr/album/fun-kiffeur/1293265249?i=1293265454&uo=4";"https://open.spotify.com/track/58Nvm54a7DylBBZtVjTfoR"
"Daft Punk";"Human after all";"Make love";2005;"VIRGIN";1706009494;1706009782;;"https://music.apple.com/fr/album/make-love/696478788?i=696479081&uo=4";"https://open.spotify.com/track/1WnXCfO6oIxG0TbJj29MqR"
"Aerosmith";"O, yeah ! - ultimate Aerosmith hits";"Sweet emotion";1975;"COLUMBIA";1706009772;1706010058;"https://www.deezer.com/track/2061076857";"https://music.apple.com/fr/album/sweet-emotion/1660108657?i=1660109293&uo=4";"https://open.spotify.com/track/73TxYZd0lBCVRrHawrAglA"
"Liniker E Os Caramelows";"Banlieues bleues festival : Les sons de 2018";"Prendendor de Varal";2018;"JAZZ NEWS";1706010035;1706010230;;;
"Toure Kunda";"Lambi golo";"Lambi golo";2018;"SOULBEATS RECORDS";1706010228;1706010426;"https://www.deezer.com/track/1245945612";;"https://open.spotify.com/track/6paKkaUxfEzrZoIdoWVcb0"
"Christian Sands";"Facing dragons";"Sunday mornings";2018;"MACK AVENUE";1706010425;1706010672;;"https://music.apple.com/fr/album/sunday-mornings/1417343266?i=1417344110&uo=4";"https://open.spotify.com/track/530AZwoo6ZzpBvPmeGxcae"
"Billie Holiday";"Songs for distingue lovers";"They can't take that away from me";1957;"VERVE";1706010671;1706010920;"https://www.deezer.com/track/1163776";;"https://open.spotify.com/track/1ytWVUYZiVJq8FriPFtafJ"
"Koshiji Fubuki";"Brassens : Echos du monde";"Les amoureux des bancs publics";1953;"FANON";1706010919;1706011060;;;
"Pomplamoose";"En français";"Je me suis fait tout petit (Feat. John Schroeder)";2020;"POMPLAMOOSE";1706011059;1706011237;;;
"Jonathan Jurion";"Le temps fou";"Once upon a time (A children's tale)";2019;"KOMOS";1706011234;1706011459;;;"https://open.spotify.com/track/06Si9hKcFCRq9dt1c7H5Eg"
"Duval Timothy";"Help";"Fall again";2020;"CARRYING COLOUR";1706011456;1706011703;;;"https://open.spotify.com/track/3DU0kVyL8d8DgINz9qBxPQ"
"Tyler The Creator";"Call me if you get lost : The estate sale";"Heaven To Me";2023;"COLUMBIA";1706011701;1706011931;;;
"Lee Fields & The Expressions";"Emma Jean";"All I need";2014;"TRUTH & SOUL";1706011931;1706012144;;;"https://open.spotify.com/track/2mGWmvIIvs7jKEXxyh7Wfb"
"Jacques Dutronc";"Les playboys";"Mini, mini, mini";1966;"VOGUE";1706012139;1706012251;;"https://music.apple.com/fr/album/mini-mini-mini/457086563?i=457086581&uo=4";"https://open.spotify.com/track/3qcyIr1omzr2MDPAvsh0it"
"Nerd";"Fly or die";"She wants to move";2004;"VIRGIN";1706012250;1706012463;;;
"African Fiesta Sukisa";"Compilation / Congo revolution [African latin, jazz and funk sounds from the two Congo's (1957-73)]";"I got the feelin'";1969;"SOUL JAZZ RECORDS";1706012460;1706012642;;;
"Ike Turner";"Fender - The golden age 1950-1970";"Feelin' good / Please love me";1955;"ACE RECORDS";1706012640;1706012787;;;
"Caribou";"Home";"Home (Radio Edit)";2019;"CITY SLANG";1706012785;1706012925;;;
"The Chemical Brothers";"For that beautiful feeling";"Fountains";2023;"VIRGIN";1706012923;1706013148;;;"https://open.spotify.com/track/6VBFpHKhpBDfpjAcSOISoH"
"Slowfest Orchestra";"Stop buying shit";"Dentifrice";2023;"MILK MUSIC";1706013147;1706013463;"https://www.deezer.com/track/2459772115";;"https://open.spotify.com/track/7FWMSaLVyxeM0onVN2Tx1J"
"Iggy Pop";"BOF / Arizona dream";"In the deathcar";1993;"MERCURY";1706013459;1706013763;;"https://music.apple.com/fr/album/in-the-deathcar/1442610964?i=1442611282&uo=4";
"Moondog";"The german years 1977-1999";"Paris";1994;"ROOF MUSIC";1706013760;1706013964;;"https://music.apple.com/fr/album/paris/1470686409?i=1470686499&uo=4";
"Orchestre Symphonique De Montreal";"Beethoven : 2 symphonies et Grande fugue / In the breath of time";"Symphonie n°8 en Fa Maj op 93 : Allegretto scherzando";2011;"SONY CLASSICAL";1706013963;1706014194;;;
"Omara Portuondo";"Portuondo Omara/Buena vista social club";"Mariposita de primavera";2000;"WORLDCIRCUIT";1706014190;1706014361;;;"https://open.spotify.com/track/1dBpawbKHPg6TppOGF7A6k"
"The Polyphonic Spree";"Salvage Enterprise";"Section 45 (wishful, brave, and true)";2023;"GOOD RECORDS RECORDINGS";1706014358;1706014577;"https://www.deezer.com/track/2432831355";;"https://open.spotify.com/track/2YlCcRZvB4em8RE9ymdEjW"
"Mary Osborne";"Jazz ladies 1924-1962";"I surrender dear";1969;"FREMEAUX ET ASSOCIES";1706014574;1706014746;"https://www.deezer.com/track/124699924";;
"Jimmy Cliff";"Boris Bergman & ses interprètes";"Strangers when we leave (vertige de l’amour) (rareté)";2010;"UNIVERSAL MUSIC";1706014745;1706014896;;;
"Alain Bashung";"A perte de vue / Roman photos / Vol.1";"Kimono";1977;"BARCLAY";1706014895;1706015190;;;
"Allen Toussaint";"The bright Mississippi";"Egyptian Fantasy";2009;"NONESUCH";1706015179;1706015457;"https://www.deezer.com/track/3669618";;"https://open.spotify.com/track/7A2HFWGu1s4vXnN2unZ4Ir"
"Lily Allen";"Alright, Still";"Ldn";2006;"RECAL";1706015450;1706015640;;"https://music.apple.com/fr/album/ldn/709150870?i=709150949&uo=4";"https://open.spotify.com/track/48T3AtfhOgz3euMEO2Z4hS"
"Gal Costa";"Cantar";"O céu e o som";1982;"PHILIPS";1706015635;1706015810;"https://www.deezer.com/track/4703583";;
"Alexandre Desplat";"BOF / The french dispatch";"Obituary";2021;"ABKCO RECORDS";1706015808;1706016020;;"https://music.apple.com/fr/album/obituary/1584217535?i=1584217848&uo=4";"https://open.spotify.com/track/4Fv5HOJjnzisDpIZBmTaH3"
"The Beatles";"Magical mystery tour";"Penny lane";1967;"EMI";1706016013;1706016191;;"https://music.apple.com/fr/album/penny-lane/1440833098?i=1440833911&uo=4";"https://open.spotify.com/track/1sjmKmR4u9xDeJHjDCn2bZ"
"This Mortal Coil";"It'll end in tears";"Another day";1984;;1706016190;1706016365;;;
"Bill Ryder-Jones";"Lechyd da";"This can’t go on";2024;"DOMINO";1706016364;1706016630;;"https://music.apple.com/fr/album/this-cant-go-on/1702898717?i=1702898727&uo=4";"https://open.spotify.com/track/5ArEw2BPOPCb1ogeo7vr36"
"Mary Lou Williams";"Mary Lou Williams";"Yesterdays";1951;"( SWING";1706016628;1706016845;;;
"Roberta Flack";"Chapter two";"Do what you gotta do";1970;"ATLANTIC";1706016840;1706017088;;;"https://open.spotify.com/track/2tF6qsoOtu92PzCTk4OKOf"
"Fugees";"Greatest hits";"Killing me softly with his song";1996;"COLUMBIA";1706017086;1706017374;;;"https://open.spotify.com/track/0Q0IVlqMV64kNLlwjPj0Hl"
"Oko Ebombo";"Ordinary people";"Ordinary people";2023;"MOKILI";1706017371;1706017706;"https://www.deezer.com/track/2491891481";"https://music.apple.com/fr/album/ordinary-people/1688417136?i=1688417270&uo=4";"https://open.spotify.com/track/4gXYXY7jh6GXqlvB3j8WzZ"
"Green-House";"Music for Living Spaces";"Nocturnal Bloom";2021;"LEAVING RECORDS";1706017701;1706017892;"https://www.deezer.com/track/2376707945";;"https://open.spotify.com/track/17ctwNZr5D9wYcjZi2oUKa"
"Flavien Berger";"Les yeux, le reste";"Les yeux, le reste";2023;"PAN EUROPEAN RECORDING";1706017890;1706018084;;"https://music.apple.com/fr/album/les-yeux-le-reste/1668504363?i=1668504375&uo=4";"https://open.spotify.com/track/0Rx6TQ2u9IVts3vD0sAtR6"
"Prince";"For You";"Crazy you";1978;"Warner Bros";1706018074;1706018206;;;"https://open.spotify.com/track/7H4IsC0YmKnAjbGVGZGMQo"
"Ichiko Aoba";"Windswept adan";"Sagu palm's song";2021;"BA DA BING RECORDS";1706018198;1706018435;"https://www.deezer.com/track/2521764541";;
"La Bibliotheque De La Bergerie";"La Bibliothèque de la Bergerie";"Une porte sur l'été";2023;"FREAKSVILLE RECORDS";1706018415;1706018634;"https://www.deezer.com/track/2286689457";"https://music.apple.com/fr/album/une-porte-sur-l%C3%A9t%C3%A9/1688499930?i=1688500182&uo=4";"https://open.spotify.com/track/5Svu7Eyng2qJjOZQX4Rpop"
"The Reed Conservation Society";"La société de préservation du roseau";"Aux rochers rouges";2024;"VIOLETTE RECORDS";1706018628;1706018822;"https://www.deezer.com/track/2641380512";"https://music.apple.com/fr/album/aux-rochers-rouges/1728285983?i=1728286677&uo=4";"https://open.spotify.com/track/5SLt1HytIgljHIgnGttAFF"
"Timmy Thomas";"Why can't we live together ? - the best of the tk years 1972-81";"I've got to see you tonight";1972;"WESR SIDE";1706018819;1706019011;;;
"Pablo Moses";"A song";"Music is my desire";1980;"GROUNDED MUSIC";1706019008;1706019335;;"https://music.apple.com/fr/album/music-is-my-desire-2010-remastered-version/1573480942?i=1573481049&uo=4";
"Melodiesinfonie";"Softboi";"Stay soft";2023;"MELODIESINFONIE";1706019329;1706019528;;"https://music.apple.com/fr/album/stay-soft/1692528715?i=1692528926&uo=4";"https://open.spotify.com/track/5oHTLHLHVbuVK5YY1yO3rt"
"Eyedress";"My simple jeep";"My Simple Jeep (feat. Mac Demarco)";2023;"RCA RECORDS LABEL";1706019526;1706019704;;"https://music.apple.com/fr/album/my-simple-jeep-feat-mac-demarco/1710016792?i=1710016799&uo=4";"https://open.spotify.com/track/0ZpC3Exz0loDQahf1jPErB"
"The Nits";"Strawberry wood";"Return";2009;"SONY";1706019703;1706019882;;;
"Sixto Rodriguez";"B.O.F./ Searching for sugar man";"Sugar man";1970;"LEGACY";1706019880;1706020105;;;
"Andrew Gabbard";"Colemine Records Presents : Brighter Days Ahead";"Cloud of smoke";2021;"COLEMINE RECORDS";1706020104;1706020296;;"https://music.apple.com/fr/album/cloud-of-smoke/1579944607?i=1579944608&uo=4";"https://open.spotify.com/track/3ZfGFTk2Kv08PuDT9Qfl66"
