"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes";"youtube"
"Hank Williams";"No more darkness";"Honky tonk blues";1948;"TRIKONT";1707040796;1707040926;"https://www.deezer.com/track/548861172";;;
"Compro Oro";"Suburban exotica";"Rastapopoulos";2019;"SDBAN";1707040925;1707041172;;"https://open.spotify.com/track/68dTV0EON1cqAkIe62sXU4";;
"Michael Jackson";"Thriller";"P.Y.T. (Pretty Young Thing)";1982;"EPIC";1707041158;1707041459;"https://www.deezer.com/track/555643";"https://open.spotify.com/track/1CgmY8fVN7kstVDZmsdM5k";;
"Unknown Mortal Orchestra";"V";"Layla";2023;"JAGJAGUWAR";1707041385;1707041636;;"https://open.spotify.com/track/3VZrMjHeYvUrFGKeG7B62D";;
"Natascha Rogers";"Onaida";"Move Etchéké";2024;"NO FORMAT";1707041636;1707041803;;"https://open.spotify.com/track/7bvRaHU0Hac0ZhdTZF8qlD";;
"Misha Panfilov & Shawn Lee";"Paradise cove";"Voodoo You Love";2020;"FUNK NIGHT RECORDS";1707041774;1707042008;;;;
"Edmony Krater";"J'ai traversé la mer";"Fò kontinyié goumé";2020;"HEAVENLY SWEETNESS";1707042008;1707042146;"https://www.deezer.com/track/919869772";"https://open.spotify.com/track/0sSRrdHrKs4xoMfYYRvPd4";"https://music.apple.com/fr/album/f%C3%B2-kontinyi%C3%A9-goum%C3%A9/1505985301?i=1505986093&uo=4";
"Aretha Franklin";"20 greatest hits";"Save me";1967;"EAST WEST";1707042146;1707042283;"https://www.deezer.com/track/2133604";"https://open.spotify.com/track/7mvKpoeI6sq6osDtSb9xcF";"https://music.apple.com/fr/album/save-me/266602438?i=266602572&uo=4";
"Brandee Younger";"Brand new life";"Dust (feat. Meshell N'degeocello)";2023;"DECCA RECORDS";1707042279;1707042552;;;;
"Xavier De Maistre";"Notte Veneziana / Xavier de Maistre interprète de la musique vénitienne";"Concerto en ré min : Adagio - pour harpe cordes et basse continure";2012;"SONY CLASSICAL";1707042548;1707042728;;;;
"Jeff Mailfert";"Unknown love";"Unknown love";2023;"JEFF MAILFERT / FOLK & FRIENDS";1707042723;1707042923;;"https://open.spotify.com/track/4ZZLBXAcIF7lavESp6mOGm";;
"Westerman";"An inbuilt fault";"Help didn't help at all";2023;"PARTISAN - PLAY IT AGAIN SAM";1707042921;1707043257;"https://www.deezer.com/track/2016860947";"https://open.spotify.com/track/1EY3ilZHy3zeqJ5L4QWP60";;
"Papooz";"None of this matters now";"Baby girl";2022;"HALF AWAKE";1707043131;1707043352;"https://www.deezer.com/track/1620812772";"https://open.spotify.com/track/16CGAsSkPNeHdzc1gwDhrz";;
"Blundetto";"Cousin Zaka vol. II";"West Highland";2022;"LES RYTHMES RUBAN";1707043347;1707043501;"https://www.deezer.com/track/1701976247";"https://open.spotify.com/track/5stAgrLStg5LgIFU5HLYU8";;
"Jethro Tull";"Stand Up (A Steven Wilson stéréo remix)";"Living in the past";1969;"PARLOPHONE RECORDS";1707043501;1707043702;;;"https://music.apple.com/fr/album/living-in-the-past/699620744?i=699621114&uo=4";
"Julia, Julia";"Derealization";"Corner town";2022;"SUICIDE SQUEEZE";1707043696;1707043885;"https://www.deezer.com/track/1791078757";"https://open.spotify.com/track/1UvQ929ePYnrJAT4UjtZ8p";;
"Louise Thiolon";"L'amour ailleurs";"L'amour ailleurs";2022;"AUTOPRODUCTION";1707043884;1707044106;;"https://open.spotify.com/track/5XRaHSUk36QQbl3A5eM8tv";;
"Ben Chasny";"The intimate landscape";"Circular road";2021;"DRAG CITY";1707044106;1707044270;;"https://open.spotify.com/track/2TEop7rqjHLcAQlzrTISuv";;
"David Barretto";"Para mis hermanos";"On Broadway";1974;"MERCURY";1707044269;1707044586;;;;
"St. Paul & The Broken Bones";"Angels in science fiction";"Wolf in rabbit clothes";2023;"ATO RECORDS";1707044578;1707044738;"https://www.deezer.com/track/2105008957";"https://open.spotify.com/track/6w4pc2SN4Y5pO2oQ6laSa8";;
"Belle And Sebastian";"If they're shooting at you";"If they're shooting at you";2022;"MATADOR";1707044736;1707045007;"https://www.deezer.com/track/1673375557";"https://open.spotify.com/track/2yXd13F3NEAaU60imnciyO";;
"The Oscillators";"The Oscillators";"Track suit";2023;"TRAMP RECORDS";1707045000;1707045207;"https://www.deezer.com/track/2290831305";"https://open.spotify.com/track/6nWpTyeZSK8CDG0Q7qNMIZ";;
"Kit Sebastian";"Sinanay / French disko";"Sinanay";2022;"MR BONGO";1707045205;1707045440;"https://www.deezer.com/track/1663829792";"https://open.spotify.com/track/2fXrL66WMT93qlrqreWXqa";;
"James Brown";"I feel good! - The best of";"Cold sweat";1967;"POLYDOR";1707045433;1707045607;"https://www.deezer.com/track/2309776";;;
"Ray Charles";"Rare genius";"Wheel of fortune";1972;"CONCORD MUSI";1707045600;1707045842;;;;
"Booker T. & the MG's";"Sunny (a collection of various interpretation of)";"Sunny";1967;"ROOF MUSIC";1707045835;1707046039;;;;
"Thomas Fersen";"Pièce montée des grands jours";"Les cravates";2003;"WEA";1707046038;1707046222;"https://www.deezer.com/track/365909731";"https://open.spotify.com/track/6WIomkuF8WnumZjU1oq0aS";;
"Strongboi";"Strongboi";"Flame";2023;"AUTOPRODUCTION";1707046220;1707046462;;"https://open.spotify.com/track/02jhBMmYb4HHlrDP4kPp6f";"https://music.apple.com/fr/album/flame/1666873378?i=1666873385&uo=4";
"Daneshevskaya";"Long is the tunnel";"Ice pigeon";2023;"WINSPEAR / MODULOR";1707046459;1707046653;;"https://open.spotify.com/track/6l9rHfUXWsbjc2e3B2LOVF";;
"Steamhammer";"Mk. II";"Fran and Dee take a ride";1969;"REPERTOIRE RECORDS";1707046651;1707046848;;;;
"Sly & The Family Stone";"The essential";"Everyday people";1973;;1707046841;1707046981;;;;
"Tunng";"Dead club";"Sdc";2020;"FULL TIME HOBBY";1707046981;1707047317;;"https://open.spotify.com/track/2nGRtqoDem5zXEfC3zs3nv";;
"Grand Blanc";"Halo";"Immensité";2023;"PARAGES / BIGWAX";1707047307;1707047529;"https://www.deezer.com/track/2104501147";"https://open.spotify.com/track/0D38eBXv6ChgGdgeMaPQfC";"https://music.apple.com/fr/album/immensit%C3%A9/1664468989?i=1664469436&uo=4";
"Toby Hay";"The longest day";"At the bright hem of god";2018;"CONSPIRACY RECORDS";1707047523;1707047861;"https://www.deezer.com/track/497222802";"https://open.spotify.com/track/3S9noVO2wubTjqTp6Beqsx";;
"JP Nataf";"Plus de sucre";"La grande ourse";2004;"TOT OU TARD";1707047692;1707047912;"https://www.deezer.com/track/605681062";"https://open.spotify.com/track/3ptZCsObjJMzSFLjodY1jD";"https://music.apple.com/fr/album/la-grande-ourse/1446928061?i=1446928073&uo=4";
"Sergio Mendes";"Celebration : A musical journey";"Constant rain";1967;"UNIVERSAL IN";1707047907;1707048099;"https://www.deezer.com/track/653022442";;;
"Joao Donato Trio";"Sambolero";"Bananeira";2010;"UNIVERSAL MUSIC GROUP INTERNATIONAL";1707048094;1707048285;;;;
"Grizzly Bear";"Veckatimest";"Two weeks";2009;"WARP";1707048285;1707048658;;"https://open.spotify.com/track/04uR2cdkgiaLIzebPcs25m";;
"Beirut";"The flying club cup";"A sunday smile";2007;"4AD";1707048526;1707048746;;"https://open.spotify.com/track/3XFTgPXd9Y2O1EWeaMslgv";;
"Yann Tiersen";"BOF / Le fabuleux destin d'Amélie Poulain";"L'autre valse d'Amélie";2001;"LABELS";1707048739;1707048832;;"https://open.spotify.com/track/3f0PZlTzwkqS1CJXvEKrHc";"https://music.apple.com/fr/album/lautre-valse-dam%C3%A9lie/1575400412?i=1575400470&uo=4";
"Richard Galliano";"Valse(s)";"Valse n°10 en si min op 69 n°2 - arrangement pour accordéon";2020;"Decca";1707048827;1707049066;;;;
"Lhasa";"La llorona";"Floricanto";1997;"WARNER";1707049066;1707049315;"https://www.deezer.com/track/605691352";;;
"The Hot 8 Brass Band";"Rock with the hot 8 brass band";"What's my name ?";2007;"TRU THOUGHTS";1707049316;1707049704;;;;
"The Stance Brothers";"Duktus";"Again";2023;"WE JAZZ RECORDS";1707049704;1707049916;;"https://open.spotify.com/track/1feraLCk431dtOjUPglVVH";;
"I M From Barcelona";"Who killed Harry Houdini ?";"Mingus";2008;"EMI";1707049914;1707050080;;;;
"Molly Lewis";"On the lips";"Silhouette";2024;"JAGJAGUWAR";1707050079;1707050295;"https://www.deezer.com/track/2507484001";"https://open.spotify.com/track/43YNSCAKcB62JhN7nV7WS0";;
"Domenique Dumont";"People on sunday";"People on sunday";2020;"THE LEAF LABEL";1707050293;1707050519;"https://www.deezer.com/track/1074146082";"https://open.spotify.com/track/5GY0OnbXEa7rMivlDo13Xl";"https://music.apple.com/fr/album/people-on-sunday/1529022092?i=1529022094&uo=4";
"Poom";"2016";"Je bois (Poom cover)";2016;"GRAND MUSIQUE";1707050518;1707050777;;;;
"Barry White";"Barry white's sheet music";"Rum and coke (Rum and coca-cola)";1980;"UNLIMITED GOLD";1707050778;1707050931;;;;
"Tito Puente And His Orchestra";"Caribbean in America 1915-1962";"El mambo diablo";1951;"FREMEAUX ET ASSOCIES";1707050928;1707051119;;;;
"David Byrne";"Uh-oh";"The cowboy mambo (hey lookit me now)";1992;"SIRE";1707051118;1707051334;;;;
"Marianne Feder";"Toi mon indien";"Toi mon indien";2008;"LEPIC & COLEGRAM";1707051333;1707051566;;;"https://music.apple.com/fr/album/toi-mon-indien/382995973?i=382995999&uo=4";
"Randy Kerber & Jowee Omicil";"Y pati";"Luxologie";2020;"KOMOS / L’AUTRE DISTRIBUTION";1707051565;1707051692;;;"https://music.apple.com/fr/album/luxologie/1536438822?i=1536439621&uo=4";
"The Polyphonic Spree";"Salvage Enterprise";"Section 50 (open the shores)";2023;"GOOD RECORDS RECORDINGS";1707051691;1707051960;;"https://open.spotify.com/track/3ipUaNV2axpur6ujd41Hqt";"https://music.apple.com/fr/album/section-50-open-the-shores/1705065928?i=1705066451&uo=4";
"The Flaming Lips";"The soft bulletin";"Waitin' for a superman";1999;"WARNER BROS";1707051957;1707052216;"https://www.deezer.com/track/3876919";;;
"Bo/Superman";"Superman 1: Le film";"Superman march (alternate)";1978;"WARNER BROS";1707052209;1707052434;;;;
"Gil Scott Heron";"The best of";"Ain't no such thing as a superman";1975;"ARISTA";1707052432;1707052687;;;;
"Freddie Gibbs & The Alchemist";"Alfredo";"Babies & Fools";2020;"EMPIRE";1707052681;1707052891;;;;
