"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Shintaro Sakamoto";"Let's Dance Raw";"Like an obligation";2016;"OTHER MUSIC RECORDINGS";1707990864;1707991230;;;
"The Pioneers";"Let your yeah be yeah - 1966 / 1986";"Driven back";1970;"TROJAN";1707991228;1707991354;"https://music.apple.com/fr/album/driven-back/1434056839?i=1434056843&uo=4";"https://open.spotify.com/track/4iHK4pQpiD41trx7G9wlYJ";
"Larry Manteca";"Zombie mandingo";"Ritual";2023;"FOUR FLIES RECORDS";1707991352;1707991570;;;
"Ptr&stvn";"Dynamic fusion";"Dynamic fusion";2023;"AUTOPRODUCTION";1707991565;1707991772;"https://music.apple.com/fr/album/dynamic-fusion/1719636906?i=1719636907&uo=4";"https://open.spotify.com/track/59I91LJcqzSqKy6VYh0QKm";
"Lauryn Hill";"The miseducation of Eunice Waymon";"Take it easy";2018;"AMERIGO GAZAWAY";1707991772;1707992031;;;
"Allah-Las";"Lahs";"Electricity";2019;"MEXICAN SUMMER";1707992010;1707992187;"https://music.apple.com/fr/album/electricity/1471438978?i=1471439262&uo=4";"https://open.spotify.com/track/6tYXgJ3B9HDKQfQB5SwNpt";"https://www.deezer.com/track/706942132"
"The Velvet Underground";"Peel slowly and see";"I can't stand it";1969;"POLYDOR";1707992186;1707992387;;;"https://www.deezer.com/track/538642182"
"Quatuor Ebene";"Fiction";"Misirlou";2010;"VIRGIN CLASS";1707992385;1707992569;;;
"Brisebard";"Les Carabiniers";"Les Carabiniers";2023;"SOURCE PHONIQUE RECORDS";1707992568;1707992739;"https://music.apple.com/fr/album/les-carabiniers/1706803589?i=1706803726&uo=4";"https://open.spotify.com/track/4BvsAwl2XtNI58MBv8XhMd";
"New Visionaries";"Roadmaps";"Brasiliance";2024;"LOVEMONK RECORDS";1707992737;1707992933;;"https://open.spotify.com/track/6MNlllhnhQ5uZUhanJsKf8";
"Elza Soares";"O máximo em samba";"O mundo encantado de monteiro lobato";1967;"UNIVERSAL MUSIC LTDA";1707992931;1707993100;;"https://open.spotify.com/track/2uoCVRtOBXRvMhuPNfxfeW";
"Nat King Cole";"The world of nat King Cole";"Day in - day out";1961;"ELEKTRA";1707993100;1707993242;;;
"Jazzbois";"Creator";"Creator";2023;"BLUNT SHELTER RECORDS";1707993241;1707993436;"https://music.apple.com/fr/album/creator/1687303245?i=1687303550&uo=4";"https://open.spotify.com/track/5EqpNVae8SmZHvChTpxyVx";"https://www.deezer.com/track/2269252217"
"The Strike Boys";"Being in a boy group";"Loss of the badman";2006;"STEREO DELUXE";1707993431;1707993737;;;
"Tricky";"Skilled mechanics (feat. DJ Milo & Luke Harris)";"I'm not going";2016;"FALSE IDOLS";1707993735;1707993904;;"https://open.spotify.com/track/5GZ31al6Ta1kDgY3cp5So6";
"The Smiths";"The world won't listen";"Rubber ring";1986;"ROUGH TRADE";1707993904;1707994131;;;
"Mickey And The Soul Generation";"Bag of goodies";"Iron leg";1969;"LUV N HAIGHT RECORDS";1707994131;1707994264;;;
"Brittany Davis";"Sepricon";"Sepricon";2023;"LOOSEGROOVE RECORDS";1707994261;1707994456;;"https://open.spotify.com/track/2FG43kVwZ84Q4o8mbJ2DhC";
"Soul Sugar";"Top of my list (feat. Schniece) / dub mix";"Top of my list (feat. Schniece)";2023;"GEE RECORDINGS";1707994456;1707994704;;;
"Natascha Rogers";"Onaida";"The wound";2024;"NO FORMAT";1707994703;1707994944;;"https://open.spotify.com/track/1EJl4VXvXHi5PoYzQYvk7h";
"Cassius Simon";"Voulez vous chacha ?";"Tabou";1964;"BORN BAD RECORDS";1707994943;1707995091;;;"https://www.deezer.com/track/2139712697"
"Nino Ferrer";"Les années 60";"Je vends des robes";1969;"BARCLAY";1707995088;1707995275;;;"https://www.deezer.com/track/1108105"
"The Bees";"Octopus";"Stand";2007;"VIRGIN";1707995273;1707995529;;"https://open.spotify.com/track/3l8spXCeIUMqZfNvoxb4oq";
"Deep Throat Choir";"Be ok";"Be ok";2017;"BELLA UNION";1707995522;1707995727;;"https://open.spotify.com/track/5X5XeFZDF4QKLkEL9Er8JR";
"Imajin";"Imajin";"Little goes unseen (feat. Rejoicer)";2021;"RAW TAPES RECORDS";1707995727;1707995836;;;
"Tassis Christoyannis";"Saint-Saëns : Mélodies avec orchestre";"Mélodies persanes op 26 : La brise op 26 n°1 - pour baryton et orchestre";2017;"ALPHA";1707995834;1707995976;;;
"Julie Andrews";"Bof / Mary poppins";"Jolly holiday";1964;"WALT DISNEY RECORDS";1707995975;1707996321;;;
"Junius Meyvant";"Across the borders";"Holidays";2019;"RECORD";1707996310;1707996510;;"https://open.spotify.com/track/62ZZAFwn8xRFs7xlCXIScP";
"Stupeflip";"BOF / Parenthese";"Parenthese : Tech vacances";2023;"DRAGON ACCEL";1707996507;1707996572;;;
"Mr Untel";"Compil /Lounge movie";"Les vacances de monsieur hulot";2002;"NAIVE";1707996573;1707996864;;;
"Wee Bee Foolish";"Brighton beach memoirs";"Whatcha need";2002;"GROOVE ATTACK";1707996860;1707997104;;;
"Raz Olsher";"Coco María presents club coco ¡AHORA! : The latin sound of now";"Vamonos cocos";2023;"BONGO JOE";1707997103;1707997161;;"https://open.spotify.com/track/1DYFs79xF6duj8vxUG8tzd";
"Bobby Valentin";"Latin DJ all stars";"Coco seco";1974;"FANIA";1707997160;1707997373;;"https://open.spotify.com/track/1XzUp7KTbbECjq425Yj6JG";
"The Supremes";"Supremes a' go-go";"Hang on Sloopy";1966;"MOTOWN";1707997372;1707997532;;"https://open.spotify.com/track/0AnmMgxN6fnFXGnYf4lW87";"https://www.deezer.com/track/79621464"
"Witch Prophet";"DNA Activation";"Tesfay";2020;"HEART LAKE RECORDS";1707997529;1707997700;;"https://open.spotify.com/track/48g7JSX04HWmH5BlK85hLD";"https://www.deezer.com/track/899127762"
