"Artist";"Album";"Song";"Year";"start";"end";"deezer";"spotify";"Label";"itunes"
"Woo";"A La Luna";"A La Luna";1991;1708768795;1708768979;;;;
"Linda Perhacs";"Parallelograms";"Hey, who really cares";1970;1708768977;1708769130;"https://www.deezer.com/track/79778772";"https://open.spotify.com/track/1EY7zEIE32twYy7zL05WG2";;
"Bruno Berle";"Te amar eterno";"Te amar eterno";2023;1708769127;1708769264;;;"FAR OUT RECORDINGS";
"Grateful Dead";"American beauty";"Ripple";1970;1708769263;1708769513;;;"WARNER BROS";
"Henri Salvador";"Homme studio";"Et des mandolines";1974;1708769513;1708769648;;;"BORN BAD RECORDS";
"Joe Hisaishi";"BOF / A scene at the sea";"A scene at the sea : Silent love (forever)";2001;1708769645;1708769855;;;"MILAN";
"Fra Lippo Lippi";"The Best of / succès et succès réenregistrés de Fra Lippo Lippi";"Shouldn't have to be like that";1986;1708769853;1708770078;;"https://open.spotify.com/track/7KDqEhCCUSDaUgB2NC0gul";"RUNE GRAMMOFON";
"Nourished By Time";"Erotic probiotic 2";"Soap party";2023;1708770072;1708770416;;"https://open.spotify.com/track/5e9vkZEakDPQ5h7khB2yRc";"SCENIC ROUTE RECORDS";
"J Dilla";"Donuts";"Time: The donut the heart";2006;1708770415;1708770514;;;"STONES THROW RECORDS";
"Al Green";"I'm Still in love with you";"I'm Glad You're Mine";1972;1708770514;1708770684;"https://www.deezer.com/track/136370898";"https://open.spotify.com/track/4fiC7RTotySw4ZeYaCSsXP";"HI";"https://music.apple.com/fr/album/im-glad-youre-mine/1133378411?i=1133378682&uo=4"
"Jackie Mittoo";"The keyboard king at Studio One";"Henry the great";1971;1708770681;1708770891;;;"SOULJAZZ";
"Palatine";"Phantômaton";"Les glaces ou le feu";2023;1708770889;1708771109;;"https://open.spotify.com/track/4MHJyGCQEvqUffUY6vq3a1";"YOTANKA RECORDS";
"Stereolab";"Fab four suture";"Eye of the volcano";2006;1708771106;1708771360;"https://www.deezer.com/track/1337606692";"https://open.spotify.com/track/2TJ6UUUuXniVfljbNivMT7";"TOO PURE";
