"Artist";"Album";"Song";"Label";"start";"end";"Year";"itunes";"deezer";"spotify"
"Shahram";"Khana khana : Funk, psychedelia and pop from the iranian pre-revolution generation";"Woman";"PHARS";1709287130;1709287365;;;;
"Lee Perry & The Upsetters";"Stick together";"Scratch walking";"PEGASUS";1709287363;1709287540;2010;;;
"Tm Juke";"Forward";"Bee's on mars";"TRU THOUGHTS";1709287363;1709287540;2006;"https://music.apple.com/fr/album/bees-on-mars/308219358?i=308219383&uo=4";"https://www.deezer.com/track/15016130";"https://open.spotify.com/track/2cG9apNoS1PPeGqPWmXQ6f"
"Elli Ingram";"Bad behaviour";"Loving you (is losing me)";"PINC RECORDS";1709287538;1709287760;2023;;;"https://open.spotify.com/track/0RbHR8UsILik92BTp7DJWO"
"Slim Whitman";"B.O.F : Mars attacks!";"Indian love call";;1709287538;1709287724;1996;;;
"Archie Whitewater";"Archie Whitewater";"Friends and neighbors";"GEFFEN";1709287760;1709287983;1970;"https://music.apple.com/fr/album/friends-and-neighbors/1500471699?i=1500471720&uo=4";;"https://open.spotify.com/track/5u3GIqGxYHVduCxvzg8jJb"
"David Bowie";"Hunky dory";"Life on Mars?";"EMI";1709287760;1709287983;1971;"https://music.apple.com/fr/album/life-on-mars/726406578?i=726406821&uo=4";;
"Flavien Berger";"Mars balnéaire";"Mars balnéaire";"PAN EUROPEAN RECORDING";1709287982;1709288277;2014;"https://music.apple.com/fr/album/mars-baln%C3%A9aire/1559222428?i=1559222978&uo=4";"https://www.deezer.com/track/1280408212";"https://open.spotify.com/track/7k3OYCiega7lTkl0Rp58OI"
"Cousin Kula";"Vitamin D";"Good feelin'";"RHYTHM SECTION ITNL.";1709287982;1709288143;2024;"https://music.apple.com/fr/album/good-feelin/1718066214?i=1718066227&uo=4";"https://www.deezer.com/track/2555455432";"https://open.spotify.com/track/24G1e3jWWM5arUr315JUKo"
"Telemakus";"The New heritage";"Mars blues";"RADIO JUICY";1709288141;1709288311;2021;;;"https://open.spotify.com/track/3Vw6jxsmxkwMgYwNSyGO0v"
"Melodiesinfonie";"We gonna be ok";"Introspective";"RADICALIS";1709288141;1709288311;2022;"https://music.apple.com/fr/album/introspective/1613525733?i=1613527106&uo=4";;"https://open.spotify.com/track/5VZjewApZLk6JgC3YL31lj"
"Les Freres Megri";"Mahmoud Hassan Younès";"Sebar";"SUDIPHONE";1709288309;1709288543;1974;;;
"Sixto Rodriguez";"Cold fact";"Inner city blues";"LIGHT IN THE ATTIC RECORDS";1709288309;1709288514;1970;;;
"Piero Umiliani";"BOF / Il corpo";"Il corpo : Free life (vocal)";"EASY TEMPO";1709288544;1709288858;1974;;;
"Jess Sah Bi & Peter One";"Our garden needs its flowers";"Clipo clipo";"AWESOME TAPES FROM AFRICA";1709288855;1709289063;1985;;;
"Etienne Daho";"Eden";"Les bords de seine (feat. Astrud Gilberto)";"VIRGIN";1709288855;1709289063;1996;;;
"The Glenn Miller Orchestra & Buddy Defranco";"Une heure avec Glenn Miller";"Song of the volga boatmen";"EPIC";1709289061;1709289248;;;;
"J. Rawls";"Jazzhop";"Trust";"POLAR ENTERTAINMENT";1709289061;1709289206;2022;;;
"Roy Ayers";"Move to groove /  The best of 1970's jazz - funk";"The boogie back";"VERVE";1709289247;1709289520;1974;"https://music.apple.com/fr/album/the-boogie-back/1113964345?i=1113964583&uo=4";;"https://open.spotify.com/track/6IST9f4O5DtXuxal7RM7A3"
"Dina Ogon";"Dina Ögon";"Dolus & Culpa";"SING A SONG FIGHTER";1709289247;1709289496;2021;"https://music.apple.com/fr/album/dolus-culpa/1615639747?i=1615639770&uo=4";"https://www.deezer.com/track/1692684547";"https://open.spotify.com/track/084dodpf0cVWIDPzo627h6"
"Thee Heart Tones";"Sabor a mi";"Sabor a mi";"BIG CROWN RECORDS";1709289495;1709289830;2024;"https://music.apple.com/fr/album/sabor-a-mi/1726077979?i=1726077982&uo=4";;"https://open.spotify.com/track/5m13q2vlo88oDjg0SK6v79"
"Moonchild";"Voyager";"Let you go";"TRU THOUGHTS";1709289495;1709289691;2017;"https://music.apple.com/fr/album/let-you-go/1210778924?i=1210778989&uo=4";;"https://open.spotify.com/track/4RthysJS6wkaiinRYHssxG"
"Esther Phillips";"Alone again naturally";"Use me";"SONY";1709289696;1709289930;1972;"https://music.apple.com/fr/album/use-me/215737043?i=215738064&uo=4";;"https://open.spotify.com/track/4zCW4FvWlUZjL1PwPgssdJ"
"Merryn Jeann";"Dog beach";"Nude in a waterhole";"RESCUE / RETURN RECORDS";1709289696;1709289925;2024;"https://music.apple.com/fr/album/nude-in-a-waterhole/1727185566?i=1727185567&uo=4";;"https://open.spotify.com/track/5LpdkP7K3CT0Nbi0Fe3Bst"
"Savarit";"French riviera";"Desert sun";"LE POP CLUB RECORDS";1709289923;1709290160;2023;"https://music.apple.com/fr/album/desert-sun/1715484682?i=1715484823&uo=4";;"https://open.spotify.com/track/5Y5Ojt9eQt67DeKIw0EVew"
"Laurent Bardainne & Tigre D’eau Douce";"Oiseau (feat. Bertrand Belin) (radio edit)";"Oiseau (feat. Bertrand Belin) (radio edit)";"HEAVENLY SWEETNESS";1709289923;1709290129;2022;;;
"Pierre Daven-Keller";"Kino music";"Sirocco";"KWAIDAN";1709290148;1709290319;2019;"https://music.apple.com/fr/album/sirocco/1519756695?i=1519756913&uo=4";;"https://open.spotify.com/track/3bq0GxlgmjoawrQvqhVLtQ"
"Fleetwood Mac";"English rose";"Black magic woman";"BGO RECORDS";1709290148;1709290314;1968;"https://music.apple.com/fr/album/black-magic-woman/324296505?i=324297140&uo=4";;
"Kel Assouf";"Tin Hinane";"Tiliadene n'ashra (les filles du Sahara)";"IGLOOMONDO";1709290312;1709290468;2011;;;
"Lispector";"Small town graffiti";"Be careful what you wish for";"TEENAGE MENOPAUSE";1709290312;1709290463;2019;"https://music.apple.com/fr/album/be-careful-what-you-wish-for/1603678425?i=1603678718&uo=4";;"https://open.spotify.com/track/0itdbT6L6LobSWMgYwv5oQ"
"The Police";"The police : Synchronicity";"Tea in the Sahara";"AM RECORDS";1709290451;1709290682;1983;"https://music.apple.com/fr/album/tea-in-the-sahara/1440804541?i=1440805348&uo=4";;"https://open.spotify.com/track/26R3e7bjY6e9dlgghide8L"
"Esperanza Spalding";"Esperanza";"I know you know";"HEADS UP";1709290451;1709290675;2008;;;"https://open.spotify.com/track/3afeZ81GDy59tATovKyH6Z"
"David Bismuth";"Marie Jaëll : Musique symphonique et musique pour piano";"Ce qu'on entend dans l'Enfer : Blasphèmes - pour piano";"EDICIONES SINGULARES";1709290674;1709290868;2015;;;
"Angelo Badalamenti";"B.O.F. / Mulholland drive";"Pretty 50s";"MILAN";1709290674;1709290863;2001;;;
"Jordi Sabates";"Improvisto";"Ocells del més enllá Part II";"HI TOP";1709290851;1709291098;1975;;;
"Les Paul";"BD Music presents Les Paul & Mary Ford";"Johnny Is the Boy for Me";"BDMUSIC";1709290851;1709290971;1952;;;
