"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Marcus King";"Young blood";"Blues worse than I ever had";2022;"EASY EYE SOUND";1710583000;1710583206;"https://open.spotify.com/track/6Qcwff3GdZLsWoLgJGjXRg";;
"The Hustlers";"Intoxica / Strange and sleazy instrumental sounds  from the socal suburbs";"Inertia";1964;"DOWNEY";1710583204;1710583368;;"https://www.deezer.com/track/1734042977";
"The Beatles";"Rubber soul";"In my life";1965;"EMI";1710583366;1710583510;;"https://www.deezer.com/track/513726662";
"The Possums";"Take me down (EP)";"Sunday kinda saturday";2017;"MOJO HAND RECORDS";1710583509;1710583703;"https://open.spotify.com/track/036xPzYkPhTyzhVjVPfWKi";"https://www.deezer.com/track/418737222";"https://music.apple.com/fr/album/sunday-kinda-saturday/1297311704?i=1297313642&uo=4"
"Espen Horne";"Bergen sunrays (feat. Selim Mutic)";"Bergen sunrays (feat. Selim Mutic)";2023;"WAH WAH 45S";1710583701;1710583900;;;"https://music.apple.com/fr/album/bergen-sunrays-feat-selim-mutic-session-victim-remix/1696618647?i=1696618649&uo=4"
"Prince Waly";"Moussa";"Cra$h (feat. Enchantée Julia &Jazzy Bazz)";2022;"BOYZ";1710583898;1710584087;;;
"Nadege Rochat";"La vida breve : Oeuvres pour violoncelle et guitare";"Vocalise-étude en forme de habanera M 51 - arrangement pour violoncelle et guitare acoustique";2014;"ARS PRODUKTION";1710584084;1710584269;;;
"Lucas Santtana";"O paraíso";"Vamos ficar na Terra";2023;"NO FORMAT";1710584266;1710584478;"https://open.spotify.com/track/1r3a6wWKIqtxilvu5APSHO";"https://www.deezer.com/track/1998782107";
"Cleo Sol";"Mother";"Promises";2021;"FOREVER LIVING ORIGINALS";1710584476;1710584738;"https://open.spotify.com/track/6aQ7nlAEOhhRnsHi6eY0zT";;
"Red Hot Chili Peppers";"Californication";"Road trippin'";1999;"WEA";1710584736;1710584940;"https://open.spotify.com/track/7Gpr3kKk4BMgItz6UbI73q";;"https://music.apple.com/fr/album/road-trippin/945575406?i=945575422&uo=4"
"Jack Treese";"Me and company";"Pixerecourt";1972;"SARAVAH";1710584938;1710585076;;;
"P'tit Belliveau";"Greatest hits vol.1";"Black bear";2020;"BONSOUND";1710585072;1710585225;"https://open.spotify.com/track/3bVjcvbY0UFtRzFFGZF2DK";"https://www.deezer.com/track/851071662";
"Lisa Leblanc";"Chiac disco";"Pourquoi faire aujourd'hui";2022;"BONSOUND";1710585222;1710585432;"https://open.spotify.com/track/0vpqlS0843Mu90qyAs30dC";"https://www.deezer.com/track/1489750112";
"Mocky";"Key Change";"Late night Jam";2015;"MOCKY RECORDINGS";1710585430;1710585536;;;
"Marquis De Sade";"Dantzig twist";"Conrad Veidt";1979;"BARCLAY";1710585534;1710585826;"https://open.spotify.com/track/0KQ5X1zSB8gg6veTldHZbO";;"https://music.apple.com/fr/album/conrad-veidt/1551134788?i=1551135817&uo=4"
"Elton John";"Goodbye yellow brick road";"Goodbye yellow brick road";1973;"CARRERE";1710585823;1710586017;;"https://www.deezer.com/track/1138640";"https://music.apple.com/fr/album/goodbye-yellow-brick-road-remastered/1422641912?i=1422642170&uo=4"
"Quadron";"Quadron";"Pressure";2010;"PLUGRESEARCH";1710586015;1710586212;"https://open.spotify.com/track/6qmK10ymYs86iJ4beVXLTn";"https://www.deezer.com/track/67795733";
"Lee Fields & The Expressions";"Big crown vaults (vol.1)";"Two timer (instrumental)";2020;"BIG CROWN";1710586211;1710586367;"https://open.spotify.com/track/4WtjRCrBsC5pSI7qWxC6f3";"https://www.deezer.com/track/1078694872";
"Piers Faccini";"The damned and the saved";"The damned and the saved";2022;"NO FORMAT";1710586366;1710586548;"https://open.spotify.com/track/170GTXNv1vDDEfZOZZPgju";;"https://music.apple.com/fr/album/the-damned-and-the-saved/1604228888?i=1604228889&uo=4"
"Aziza Brahim";"Mawja";"Bubisher";2024;"GLITTERBEAT RECORDS";1710586543;1710586755;"https://open.spotify.com/track/382Vpn2QBvXgWeq8M19EBu";;
"William Doyle";"Worth the while";"Now in motion";2024;"IRASCIBLE RECORDS";1710586753;1710587050;"https://open.spotify.com/track/1pBRKKac4xrhLIIE6ZVx0m";"https://www.deezer.com/track/2483875311";"https://music.apple.com/fr/album/now-in-motion/1710623653?i=1710623947&uo=4"
