"Artist";"Album";"Song";"Year";"start";"end";"spotify";"Label";"deezer";"itunes"
"Genevieve Artadi";"Living like I know I'm gonna die";"Living like I know I'm gonna die";2020;1711706207;1711706405;"https://open.spotify.com/track/7i3d7SzTV9nfAgxyO6eDQ9";;;
"Okvsho";"A place between us";"Con mi perros en la niebla";2024;1711706402;1711706607;;"CURRENT MOVES";;
"Pinkpantheress";"Heaven knows";"Another life (feat. Rema)";2023;1711706605;1711706775;"https://open.spotify.com/track/1ljtQrsf55VCwjqXjro7Po";"WARNER RECORDS";"https://www.deezer.com/track/2526890891";
"The Band";"Music from big pink";"Chest fever";1968;1711706771;1711707083;;"ESSENTIAL RECORDS";;
"Led Zeppelin";"Led Zeppelin II";"Whole lotta love";1969;1711707077;1711707408;;"ATLANTIC";;
"The Sure Fire Soul Ensemble";"Step down";"Time to rebuild";2022;1711707402;1711707583;"https://open.spotify.com/track/2S0MZEpm5CtFOFSwQOHUa7";"COLEMINE RECORDS";"https://www.deezer.com/track/1628670902";
"Ed Mount";"Maybe baby";"Maybe baby (feat. Flore Benguigui)";2023;1711707581;1711707757;;"FOR A WHILE";;
"Etienne Daho";"La notte, la notte";"Jack, tu n'est pas un ange";1984;1711707755;1711707989;;"VIRGIN";;
"Ata Kak";"Obaa sima";"Yemmpa aba";2015;1711707987;1711708256;"https://open.spotify.com/track/7juC4WcweYD5ynUrLMGhZ9";"AWESOME TAPES FROM AFRICA";;
"Tony Allen";"FIlm of life";"Awa";2014;1711708253;1711708500;;"HARMONIA MUNDI";;
"Pierre Henry";"Psyche rocksessions";"Psyche rock (Malpaso mix by Fatboy Slim)";1997;1711708491;1711708938;;"PHILIPS";;
"Baby Rose";"Through and through";"To me its real";2023;1711708935;1711709130;;"SECRETLY CANADIAN";;
"Beck";"Bof / Eternal sunshine of the spotless mind";"Everybody's gotta learn sometimes";2004;1711709127;1711709478;;"HOLLYWOOD RE";;
"Orchestre Du Festival De Lucerne";"Femmes";"6 Morceaux : 1. Romance - arrangement pour violoncelle et cordes";2023;1711709477;1711709664;;"SONY";;
"Clair";"La maison magique";"Saint-Gilles-Croix-de-Vie";2023;1711709657;1711709826;"https://open.spotify.com/track/5bjtM4gE4NgKmvuGVxEkKO";"MAISON MAGIQUE";"https://www.deezer.com/track/2153033877";
"Rai Thistlethwayte";"California groove / Vol.4";"San Francisco street";2013;1711709821;1711710085;;"WARNER MUSIC FRANCE";;
"Light Of The World";"British hustle";"London town";1980;1711710083;1711710292;;"SOUL JAZZ";"https://www.deezer.com/track/1787622827";
"Donald Byrd";"Look into the flower";"Wind Parade";1975;1711710286;1711710651;"https://open.spotify.com/track/4okz1TH0GeLw3J51pNRDGd";"BLUE NOTE";;
"Merryn Jeann";"Dog beach";"Me B4 U";2024;1711710648;1711710792;"https://open.spotify.com/track/1FvjybBuJFQHnmKRLM3yBK";"RESCUE / RETURN RECORDS";"https://www.deezer.com/track/2621444012";
"Astrowrong";"First reflections";"Luck";2024;1711710791;1711711028;"https://open.spotify.com/track/7JuPnrHSpfYIJuZvkerMCQ";"AUTOPRODUCTION";;
"Sebastien Tellier";"Sexuality";"Roche";2008;1711711026;1711711325;"https://open.spotify.com/track/43clCmiuxugZg3Jdn6R26c";"RECORD MAKER";"https://www.deezer.com/track/66221585";
"Lana Del Rey";"Video Games (Ep - Remix)";"Video Games";2011;1711711322;1711711603;;"STRANGERS RE";;"https://music.apple.com/fr/album/video-games/1444215085?i=1444215444&uo=4"
"Inon Zur";"BOF / Starfield";"Into the starfield (main theme)";2023;1711711596;1711711760;"https://open.spotify.com/track/325hdqkyHBRYu6ZOZt5Yrh";"BETHESDA SOFTWORKS";"https://www.deezer.com/track/2409198285";
"Tina Louise";"It's time for tina";"Hand across the table";1957;1711711757;1711711943;;"FRESH SOUNDS";;
"Rita Reys";"The Cool Voice Of Rita Reys";"There's a small hotel";1956;1711711942;1711712095;;"FRESH SOUND";"https://www.deezer.com/track/102772882";
"Theo Champion";"Look at me, look at you";"Look at me, look at you";2023;1711712094;1711712328;"https://open.spotify.com/track/4GezPdD8dH3Ss5vCs87ipz";"AUTOPRODUCTION";;
"JJ Cale";"Troubadour";"The woman that got away";1976;1711712325;1711712495;;"MERCURY";;
"Makoto Kubota & The Sunset Gang";"Hawaii Champroo";"Steel Guitar Rag";1975;1711712491;1711712697;;"WEWANTSOUNDS";;
"Elvis Presley";"32 succes de musique de film";"Ku-u-I-po (hawaiian sweetheart)";1961;1711712689;1711712828;;"BMG";;
"Iamddb";"Rasta pasta (feat. Masego)";"Rasta pasta (feat. Masego)";2024;1711712826;1711713073;;"WAEV ENTERTAINMENT";;
"Blundetto & Pupajim";"Tancarville";"Les plages du 22";2024;1711713071;1711713242;;"LES RYTHMES RUBAN";;
"Orsten";"Cutworks";"Long story short";2010;1711713240;1711713478;;"WAGRAM";"https://www.deezer.com/track/7858643";
"Finley Quaye";"Maverick a strike";"Even after all";1997;1711713433;1711713664;"https://open.spotify.com/track/096O9QxDBQ1xPIyLskGwbq";"EPIC";;
"Sons Of Zoku";"Endless";"O saber";2024;1711713663;1711713851;"https://open.spotify.com/track/7a10On8tAbQNtfqtmJdM0M";"AUTO PRODUTION";;
"King Gizzard & The Lizard Wizard";"K.G";"Honey";2020;1711713849;1711714123;"https://open.spotify.com/track/0nObOnIxnz6PlPf04tZh1g";"KGLW (KING GIZZARD & THE LIZARD WIZARD)";;
"Mamama";"Hier sera meilleur";"Tu seras mon ami";2024;1711714121;1711714361;"https://open.spotify.com/track/6BMkcpkJsNx5s4fdgZD3mw";"BYEBYE RECORDS";;
"Brad Mehldau";"The art of the trio / Vol.1";"Blackbird";1996;1711714357;1711714647;;"WB";;
"Billy Preston";"Come together : black America sings Lennon & Mac Cartney";"Blackbird";1972;1711714647;1711714811;"https://open.spotify.com/track/5Ncu5FV8vph6AoxIChiR0d";"ACE RECORDS";;
"Steven Soles";"Country funk III 1975-1982";"Shake the duct";1980;1711714810;1711714996;;"LIGHT IN THE ATTIC RECORDS";;
"A Tribe Called Quest";"The anthology";"Jazz (we've got)";1991;1711714987;1711715237;"https://open.spotify.com/track/7AgMX97ljLm9BzszyyXEYZ";"JIVE";;
"Ali Shaheed Muhammad";"Jazz is dead / Vol. 4";"Quiet storm";2020;1711715236;1711715496;;"JAZZ IS DEAD";;
"Roge";"Curyman";"Eu gosta dela";2023;1711715494;1711715711;;"DIAMOND WEST RECORDS";;
