"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes";"youtube"
"Larry Jon Wilson";"New beginnings";"Broomstraw philosophers and scuppernong wine";"1975";"BE WITH RECORDS";1714816793;1714816983;"https://open.spotify.com/track/3185sSEQgoY1suwLvPhXRa";;;
"Tommy Guerrero";"No man's land (CD promo FIP)";"Malas tierras";"2014";"MODULOR";1714816981;1714817165;"https://open.spotify.com/track/6FB19qsR3WQhcZzSP5Hai5";;;
"La Luz";"News of the universe";"Poppies";"2024";"SUB POP RECORDS";1714817163;1714817372;"https://open.spotify.com/track/09mdfY9whnrcj5bkPJSoj2";;;
"The Animals";"House of the rising sun";"House of the rising sun";"1964";"EMI";1714817368;1714817635;"https://open.spotify.com/track/7BY005dacJkbO6EPiOh2wb";;;
"Michael Rose";"This is Trojan roots";"Born free";"1979";"TROJAN RECORDS";1714817634;1714817844;;"https://www.deezer.com/track/511181112";;
"Titus";"Nefertari (face B)";"L'Endormie";"2023";"FOUR LANE ROAD RECORDS";1714817844;1714818027;"https://open.spotify.com/track/7qsITVAeHPq063kOpniQ31";;;
"Joe Pass";"Appassionate";"When it's sleepy time down south";"1991";"PABLO";1714818025;1714818143;"https://open.spotify.com/track/2QuULWF9SCvz0IHpvDXXE0";;;
"Julie London";"Around midnight";"Misty";"1960";"EMI";1714818141;1714818330;"https://open.spotify.com/track/3a76UHdCD73zRQWz6y1eBs";"https://www.deezer.com/track/2751440761";;
"Lesley Garrett";"Recital : Lesley Garrett";"Carmen : Sous les remparts de Seville (Acte I) air de Carmen";"1998";"RCA";1714818329;1714818456;;;;
"Mariachis De Mexico";"Los mariachis de Mexico";"Tenme un poco de paciencia";"1982";"FORLANE";1714818455;1714818677;;;;
"Y La Bamba";"Court the storm";"Michoacan";"2012";"";1714818675;1714818849;"https://open.spotify.com/track/0U67Ro1MYCIgUUZCCsj8iw";"https://www.deezer.com/track/63420234";;
"Munya";"Jardín";"Cocoa";"2023";"LUMINELLE RECORDINGS";1714818848;1714819045;;;;
"Alberta";"Conversations";"Juste tous les deux";"2024";"ALMOST-MUSIQUE";1714819044;1714819201;"https://open.spotify.com/track/7zEghWUtAO91yjsotEXYiE";;"https://music.apple.com/fr/album/juste-tous-les-deux/1726406309?i=1726406315&uo=4";
"D Train";"100% Funk";"Keep On";"1982";"COLUMBIA";1714819198;1714819455;;"https://www.deezer.com/track/68171062";;
"Claudy Siar";"Zouk 80-90 """"Les années tubes""""";"Bondié";"1996";"COULEURS MUSIC PUBLISHING";1714819453;1714819751;"https://open.spotify.com/track/01dkmMYxTjxmsiH3es7WuD";;;
"Guy Marchand";"Guy Marchand";"Relax";"1988";"POLYGRAM";1714819746;1714819980;;;;
"Limousine";"Limousine";"Sukiyaki";"2005";"CHIEFINSPECT";1714819978;1714820222;"https://open.spotify.com/track/4MiJC6a1uvfTkwBPlnn1NN";;;
"Nirvana";"Nirvana";"Dumb";"1994";"GEFFEN";1714820099;1714820248;;;;
