"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer";"youtube"
"Céu";"Céu";"10 contados";"2005";"O+MUSIC";1718826996;1718827201;;;;
"Souleance";"Beautiful";"Out of touch (feat. Kit Sebastian)";"2023";"HEAVENLY SWEETNESS";1718827214;1718827493;;;;
"Har Mar Superstar";"Bye bye 17";"Prisoner";"2013";"CULT RECORDS";1718827490;1718827693;"https://open.spotify.com/track/0B9ocbxpcwlzoML0xBeXF1";;;
"Dashiell Hedayat";"Obsolete";"Chrysler";"1971";"WMD";1718827692;1718828091;;"https://music.apple.com/fr/album/chrysler/74429270?i=74429223&uo=4";;
"Count Basie";"Les trésors du Jazz 1937 / 1938 - Vol. 1";"Topsy";"1937";"CHANT DU MON";1718828086;1718828272;;;"https://www.deezer.com/track/101020384";
"S.Mos";"S-Mos : Hip hop and jazz mixed up";"Consecutive seconds";"2010";"MUSICAST";1718828273;1718828505;;;;
"Alogte Oho & His Sounds Of Joy";"O yinne !";"La ka ba'a";"2023";"PHILOPHON";1718828502;1718828753;"https://open.spotify.com/track/1Y62CbvptkVHpq6OsmFceu";"https://music.apple.com/fr/album/la-ka-baa/1681262762?i=1681262764&uo=4";"https://www.deezer.com/track/2233142567";
"Orange Juice";"You Can't Hide Your Love Forever";"Three cheers for our side";"1982";"DOMINO RECORDING COMPANY";1718828751;1718828920;"https://open.spotify.com/track/04WaK7Q70OPNlq1C70Bqfy";"https://music.apple.com/fr/album/three-cheers-for-our-side/1183406386?i=1183407107&uo=4";;
"The Gladiators";"Génération reggae";"Stick a bush";"1978";"VIRGIN";1718828918;1718829058;;"https://music.apple.com/fr/album/stick-a-bush/723613026?i=723613308&uo=4";;
"Itzhak Ventura";"Ein-sof";"Zeybek";"2024";"RAW TAPES RECORDS";1718829064;1718829363;"https://open.spotify.com/track/4yku3FLTYhd3Az6O2ci05g";;;
"Superbravo";"Sentinelle";"Dans nos loups";"2019";"FRACA";1718829353;1718829563;;;;
"Leila";"Courtesy of choice";"To win her love";"2000";"XL RECORDINGS";1718829561;1718829813;"https://open.spotify.com/track/7rAGpcM7TMauyu74XHaXwt";"https://music.apple.com/fr/album/to-win-her-love/3028022?i=3028005&uo=4";;
"The Stranglers";"The Collection 1977-1982";"Strange little girl";"1982";"DISKY";1718829812;1718829970;"https://open.spotify.com/track/1G3RtHtLx0bGmB8bIKC0Bf";;;
"Marion Rampal";"Oizel";"De beaux dimanches (feat. Bertrand Belin)";"2024";"LES RIVIERES SOUTERRAINES";1718829967;1718830172;;"https://music.apple.com/fr/album/de-beaux-dimanches-feat-bertrand-belin/1721365350?i=1721365365&uo=4";;
"Joao Gilberto";"Amoroso/Brasil";"Wave";"1977";"WB";1718830171;1718830446;"https://open.spotify.com/track/3JbZ8W2aFTIEP6EidBlN38";"https://music.apple.com/fr/album/wave/404520885?i=404520928&uo=4";"https://www.deezer.com/track/7711337";
"Steely Dan";"Showbiz kids - the Steely Dan story 1972-1980";"Chain lightning";"1975";"MCA";1718830442;1718830615;"https://open.spotify.com/track/1UtGIkXG8Y9s3JtSg3CIQp";"https://music.apple.com/fr/album/chain-lightning/1440803723?i=1440803912&uo=4";;
"Doja Cat";"Paint the town red";"Paint the town red";"2023";"RCA";1718830653;1718830856;"https://open.spotify.com/track/2IGMVunIBsBLtEQyoI1Mu7";"https://music.apple.com/fr/album/paint-the-town-red/1699830841?i=1699831061&uo=4";"https://www.deezer.com/track/2387373015";
"Sweatson Klank";"Embers";"To girl, with love";"2024";"FRIENDS OF FRIENDS";1718830854;1718831058;"https://open.spotify.com/track/0rs07tAlwLPqYTQ50PfjSy";"https://music.apple.com/fr/album/to-girl-with-love/1724951216?i=1724951224&uo=4";;
"Bill Withers";"Bill Withers greatest hits";"Lovely day";"1972";"CBS";1718831057;1718831304;;"https://music.apple.com/fr/album/lovely-day/390435188?i=390435224&uo=4";"https://www.deezer.com/track/70016835";
"Scone Cash Players";"Brooklyn to Brooklin";"Anadira";"2022";"DAPTONE RECORDS";1718831296;1718831473;"https://open.spotify.com/track/0L0c53mSGUa2GWYfD3rT8m";;;
"Whomadewho";"The plot";"Keep me in my plane";"2009";"GOMMA";1718831476;1718831702;"https://open.spotify.com/track/4WISOdcFGnwP0skIKPD1nf";"https://music.apple.com/fr/album/keep-me-in-my-plane/1463313473?i=1463313718&uo=4";"https://www.deezer.com/track/681922352";
"Yorgui Loeffler";"Boucin' around";"Blue drag";"2009";"CHANT DU MON";1718831699;1718831892;"https://open.spotify.com/track/7ka7Aw67yzA9RsiRONpJ5X";;"https://www.deezer.com/track/63124496";
"J. Bernardt";"Last Waltz";"Last waltz";"2024";"PIAS";1718831888;1718832051;"https://open.spotify.com/track/0ArK1r4poKWG8GWfPmumhg";"https://music.apple.com/fr/album/last-waltz/1730728829?i=1730729010&uo=4";;
"Jose Carreras";"Jose Carreras sings Tosti";"Pour un baiser";"";"ERATO";1718832049;1718832208;;;;
"Leila Mourad";"The best of Leila Mourad";"Gawab habibi";"";"CAIROPHON";1718832214;1718832405;;"https://music.apple.com/fr/album/gawab-habibi/432295293?i=432295308&uo=4";;
"Charif Megarbane";"Marzipan (Habibi Funk 023) (Bonus Edition)";"Pale baleine";"2023";"HABIBI FUNK RECORDS";1718832404;1718832568;"https://open.spotify.com/track/2oEKkLi0XZO8TyK7TVV98R";"https://music.apple.com/fr/album/pale-baleine/1688225081?i=1688226300&uo=4";;
"Jean Paillaud";"Amour et cosmos";"Que debout";"1963";"POLYDOR";1718832566;1718832725;;;;
"Brian Wilson";"Reimagines Gershwin";"Summertime";"2010";"WALT DIS";1718832727;1718832920;"https://open.spotify.com/track/2EqZM1DdiNp1anYrks1vUm";"https://music.apple.com/fr/album/summertime/716225775?i=716226322&uo=4";;
"Charlotte Day Wilson";"Cyan blue";"Kiss & Tell";"2024";"STONE WOMAN MUSIC";1718832919;1718833135;"https://open.spotify.com/track/0p38jRu2nXBK6c8a7YGeM1";"https://music.apple.com/fr/album/kiss-tell/1728298601?i=1728299888&uo=4";;
"Cosmic Analogue Ensemble";"Une vie cent detours";"Moscavide";"2018";"MY BAGS";1718833133;1718833263;;;;
"Gene Harris";"Astral signal";"I remember summer";"1975";"BLUE NOTE";1718833262;1718833385;;;;
"Van Morrison";"Down The road";"Meet me in the Indian summer";"2002";"POLYDOR";1718833380;1718833617;"https://open.spotify.com/track/1h93TJfLAHb1SZhQYUPMBp";"https://music.apple.com/fr/album/meet-me-in-the-indian-summer/1030928612?i=1030928646&uo=4";"https://www.deezer.com/track/105787518";
"Otis Redding";"Atlantic rhythm and blues 1947-1974 volume 5";"Mr. Pitiful";"1964";"ATLANTIC";1718833616;1718833772;;;;
