"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer";"youtube"
"De La Soul";"3 feet high and rising";"Me myself and I";"1989";"TOMMY BOY";1721678290;1721678520;"https://music.apple.com/fr/album/me-myself-and-i/1657705063?i=1657705243&uo=4";"https://open.spotify.com/track/792UwI6utk5DMQUT1KXa5E";;
"Shyguy";"Wait, what. Now ?";"Long time";"2024";"TRU THOUGHTS";1721678427;1721678612;;"https://open.spotify.com/track/7sLTMYLe1CjV3nG3z5QpH3";"https://www.deezer.com/track/2532157591";
"New Visionaries";"Roadmaps";"Firecracker";"2024";"LOVEMONK RECORDS";1721678607;1721678764;;"https://open.spotify.com/track/6B4TxCg2pQgtdGdVC85fn8";;
"Paper Tapes";"Child";"No answer";"2023";"GEOGRAPHIE";1721678759;1721678959;"https://music.apple.com/fr/album/no-answer/1712270627?i=1712270628&uo=4";"https://open.spotify.com/track/7BZJyuIiIFkdaXmS6AqECD";"https://www.deezer.com/track/2492286111";
"Air";"Bof / The virgin suicides";"Playground love";"2000";"SOURCE";1721678956;1721679164;;"https://open.spotify.com/track/052z2UsE2wPrHsBJ9tly0g";;
"Phileas";"Present";"Goddam blues";"2002";"ARMADILLO RECORDS";1721679161;1721679374;;;;
"John Fahey";"Death chants breakdowns and military waltzes";"Sunflower river blu";"1963";"UNIVERSE";1721679377;1721679576;;;;
"Gabi Hartmann";"Gabi Hartmann";"Nos contradictions";"2023";"MASTERWORKS / SONY MUSIC ENTERTAINMENT";1721679571;1721679770;;"https://open.spotify.com/track/3699TZB8LDOcEcqgU3PkoG";;
"Oum Shatt";"Opt out";"Over the world and out";"2024";"WANDA Y.";1721679759;1721680011;;"https://open.spotify.com/track/4bbGOIhoJvTlioBjFQ4YLj";"https://www.deezer.com/track/2479250141";
"Oumou Sangare";"Africa never stand still";"Ah ndiya  ( Mali )";"1990";"WORLDCIRCUIT";1721680010;1721680276;;;;
"Pomme";"les failles cachées";"La lumière";"2020";"UNIVERSAL MUSIC";1721680287;1721680506;;"https://open.spotify.com/track/7jcKpnaTVr822SUq9mmxiu";"https://www.deezer.com/track/851870052";
"Neil Young";"BOF / Mange Prie Aime";"Harvest moon";"1991";"COLUMBIA";1721680497;1721680794;;;;
"Feist";"Multitudes";"The redwing";"2023";"POLYDOR";1721680794;1721680991;"https://music.apple.com/fr/album/the-redwing/1667826684?i=1667827155&uo=4";"https://open.spotify.com/track/60inSqhwmDN5m0kYSq5cJU";"https://www.deezer.com/track/2145064207";
"Sufjan Stevens";"Songs for christmas : Noel";"O holy night";"2006";"ASTHMATIC KI";1721680983;1721681224;"https://music.apple.com/fr/album/o-holy-night/325236654?i=325237030&uo=4";"https://open.spotify.com/track/6E8goFCtLU3mnqZw38AVLs";"https://www.deezer.com/track/62719166";
"Jon Batiste";"Hollywood africans";"Nocturne no. 1 in d minor";"2018";"VERVE";1721681222;1721681427;"https://music.apple.com/fr/album/nocturne-no-1-in-d-minor/1415689114?i=1415689264&uo=4";"https://open.spotify.com/track/4OhTF2HxbbxFzGMAQYaFPx";"https://www.deezer.com/track/558511132";
"Prince";"Diamonds and pearls";"Money don't matter 2 night";"1991";"WB";1721681422;1721681708;;"https://open.spotify.com/track/1E4ekAsxHLzZlNGYHipj9N";;
"Amos Milburn";"The best of Amos Milburn: Down the road apiece";"Milk and water";"1954";"ALADDIN RECO";1721681743;1721681929;;;;
"James Brown";"Slaughter's big rip-off";"People Get Up And Drive Your Funky Soul";"1973";"POLYDOR";1721681925;1721682144;;"https://open.spotify.com/track/0CMVn8LROVurkZyZuqtNmo";"https://www.deezer.com/track/7024825";
"Cotonete";"Victoire de la musique";"Bebete vaobora (feat. Sabrina Malheiros)";"2024";"HEAVENLY SWEETNESS";1721682138;1721682455;;;;
"Michel Gonet";"Compilation / Télé Music : 23 Originals French Music Library";"Cuica-Racas";"1975";"BMG";1721682443;1721682631;;;;
"Don Cavalli";"Temperamental";"Garden of love";"2012";"BECAUSE";1721682631;1721682803;;;;
"Joao Bosco";"Caca a raposa";"Jardins da infancia";"1975";"BMG";1721682797;1721682949;;"https://open.spotify.com/track/31PftZtB8kUBDvAUQPXLYf";;
"Barney Wilen";"Moshi";"Gardenia devil";"1972";"SARAVAH";1721682942;1721683300;;;;
"Paul Simon";"Rhythm of the saints";"She moves on";"1990";"WB";1721683295;1721683596;;"https://open.spotify.com/track/1RxlMG0bJhJdR5H6wL2oJf";;
"Joe Dassin";"Siffler sur la colline";"Cecilia";"1970";"SONY";1721683596;1721683834;;;;
"John Barry";"The bee's kneees";"Sweet talk";"1961";"EMI";1721683832;1721683954;;;;
"Lossapardo";"If I were to paint it";"Small talks";"2024";"ROCHE MUSIQUE";1721683952;1721684108;;;;
