"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Allen Toussaint";"Toussaint: The real thing 1970-1975";"Either";"1970";"RAVEN RECORDS";1730455168;1730455338;;;
"Evie Sands";"The ladies of too slow to disco";"You can do it";"1979";"HOW DO YOU ARE";1730455337;1730455629;"https://open.spotify.com/track/0ddh70MLHZqtl7mAmjkgxj";;
"Anderson .Paak";"King James";"King James";"2019";"AFTERMATH";1730455628;1730455826;"https://open.spotify.com/track/5ri4b7YQp2PWn8tl3MRYgE";;
"Yannis & The Yaw";"Rain can't reach us";"Rain can't reach us";"2024";"TRANSGRESSIVE";1730455824;1730456116;"https://open.spotify.com/track/487hF2IPcCXSunI9cE9jJ9";"https://www.deezer.com/track/2691634552";
"Sebastien Tellier";"Politics";"La ritournelle";"2004";"SOURCE";1730456113;1730456565;"https://open.spotify.com/track/40at1IRgEDeq0Jun0VNsz2";;"https://music.apple.com/fr/album/la-ritournelle/1742757141?i=1742757142&uo=4"
"Bernard Lavilliers";"15 ème round";"Big brother";"1977";"BARCLAY";1730456562;1730456771;"https://open.spotify.com/track/7nN3lkqnBEl5Vk5wJL0ll3";"https://www.deezer.com/track/1559627";
"Eddie Warner & Sa Musique Tropicale";"Eddie Warner & sa musique tropicale";"Coco de Copacabana";"1949";"ILD";1730456768;1730456920;;;
"Sylvia Telles";"Brazil Bossa beat!/Bosa Nova and the story of Elenco Records, Brazil";"Samba de uma nota so";"1963";"SOUL JAZZ";1730456919;1730457055;;"https://www.deezer.com/track/129606898";
"Tiago Caetano";"Constelação";"Constelação";"2024";"YOTANKA";1730457055;1730457263;"https://open.spotify.com/track/1KCnF07eIqL6S7WbbT875L";;"https://music.apple.com/fr/album/constela%C3%A7%C3%A3o/1765341957?i=1765341965&uo=4"
"Nujabes";"Spiritual state";"Prayer";"2011";"HYDEOUT PRODUCTIONS";1730457261;1730457470;"https://open.spotify.com/track/6HdAw1lbXOaLNQw18s6yds";"https://www.deezer.com/track/2791882292";
"Nancy Sinatra";"Nancy in London";"Friday's child";"1965";"SUNDAZED";1730457467;1730457646;;;
"Swingle Singers";"A cappella Amadeus";"La flûte enchantée K 620 : Ouverture";"1991";"VIRGIN";1730457645;1730457829;;;
"Eels";"Daisies of the galaxy";"Flyswatter";"2000";"DREAMWORKS";1730457828;1730458023;"https://open.spotify.com/track/4WFNb2UhW5E5qxHGsgebuQ";;
"Come Ranjard";"Hahawhy";"Hahawhy";"2024";"VIETNAM";1730458018;1730458275;"https://open.spotify.com/track/0028JOjN9oatgROu0nOSIr";;"https://music.apple.com/fr/album/hahawhy/1769176392?i=1769176564&uo=4"
"King Gizzard & The Lizard Wizard & Mild High Club";"Sketches of brunswick east";"Rolling stoned";"2017";"HEAVENLY RECORDINGS";1730458274;1730458472;;;
"Say She She & Piya Malik";"Forget me not";"Forget me not";"2022";"KARMA CHIEF RECORDS";1730458472;1730458706;;;
"Monika";"Secret in the dark";"Secret in the dark";"2015";"ARCHANGEL MUSIC";1730458704;1730458937;"https://open.spotify.com/track/5Pan6wg2x9A4kTZC1mjb3y";;
"Armando Trovajoli";"BOF / Le sex fou";"Le sex fou : Signora sono le otto";"1974";"VOGUE";1730458935;1730459098;;;
"Soeur Sourire";"Soeur sourire la nonne chantante";"Dominique";"1962";"CHOICE OF MUSIC";1730459095;1730459268;;"https://www.deezer.com/track/75965575";
"The Who";"Bof / Tommy";"Eyesight to the blind";"1969";"POLYDOR";1730459267;1730459468;;"https://www.deezer.com/track/30020471";
"La Fine Equipe";"La Boulangerie / Vol- 1";"Religieuse (feat Blanka)";"2008";"JUST LIKE";1730459467;1730459606;;;
"Willis Jackson";"Recordings session";"Ain't no sunshine";"1972";"BIGCHAN";1730459602;1730459734;;;
"Notorious Big";"Ready to die";"Things done changed";"1994";"PUFF DADDY RECORDS";1730459731;1730459967;;;
"Tabu Ley Rochereau";"The voice of lightness";"Kelya";"";"SYLLART PRODUCTION";1730459958;1730460239;"https://open.spotify.com/track/7h321a2Mclr4LhOjfSAJcD";"https://www.deezer.com/track/1820870367";
"Pat Thomas & Kwashibu Area Band";"Obiaa !";"Atesem";"2019";"STRUT";1730460236;1730460532;;;
"Matty";"Déjà vu";"Verocai";"2018";"AUTO PRODUCTION / AWAL RECORDINGS";1730460528;1730460718;"https://open.spotify.com/track/1jecDeRgDaafrRkdyM4Ciu";"https://www.deezer.com/track/1898974977";"https://music.apple.com/fr/album/verocai/1368443274?i=1368443280&uo=4"
"World Brain";"Open source";"Ville fleurie";"2024";"MANSION AND MILLIONS";1730460716;1730460939;"https://open.spotify.com/track/4q1CeBjgKebgj1J5Uu0qFB";"https://www.deezer.com/track/2764687621";
"Inigo Montoya";"INIGOST01 : Le petit fugitif";"Adoration de la bouteille en verre";"2024";"AUTOPRODUCTION";1730460930;1730461115;"https://open.spotify.com/track/0lGXtyD9TJBGdZfLaJLeU6";"https://www.deezer.com/track/3017808221";
"Air";"Bof / The virgin suicides";"Playground love";"2000";"SOURCE";1730461109;1730461316;"https://open.spotify.com/track/052z2UsE2wPrHsBJ9tly0g";"https://www.deezer.com/track/692074262";
"Devendra Banhart";"Ma";"My boyfriend's in the band";"2019";"NONESUCH";1730461315;1730461524;"https://open.spotify.com/track/53Sfqfp5jkrQ6GyBApyJOV";"https://www.deezer.com/track/751077792";
"Lhasa";"La llorona";"Por eso me quedo";"1997";"TOT OU TARD";1730461521;1730461747;;;
"Pepe Romero";"Albéniz";"Espana op 165 : Malaguena";"";"PHILIPS";1730461745;1730461991;;;
"The Incredible String Band";"The 5000 Spirits or the Layers of the onion";"Way back in the 1960s";"1967";"FLEDG'LING RECORDS";1730461987;1730462177;;;"https://music.apple.com/fr/album/way-back-in-the-1960s/397029239?i=397029255&uo=4"
"Peter Green";"Hot foot powder";"Traveling riverside blues";"2000";"ARCADE";1730462175;1730462419;;"https://www.deezer.com/track/112115368";
"Benny Bailey";"Candid Jazz";"Hard sock dance";"1960";"CANDID";1730462413;1730462760;;"https://www.deezer.com/track/2936692311";
"Rosemary Clooney";"I feel a song coming on: lost radio recordings";"Nice Work If You Can Get It";"1980";"REAL GONE MUSIC";1730462758;1730462885;"https://open.spotify.com/track/7plSkW3a2yNNEjo1TWmfI4";"https://www.deezer.com/track/2461038735";
"Phyllis Dillon";"This Is Trojan Rock Steady";"Perfidia";"1967";"TROJAN RECORDS";1730462884;1730463048;"https://open.spotify.com/track/7F5Pq0d87La1JC8glad8NB";"https://www.deezer.com/track/551687452";
