"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"spotify";"deezer"
"Amy Winehouse";"Black is back";"Valerie";"2006";"LABEL X ( INCONNU )";1735206985;1735207215;;;
"Kaito";"Silent sky";"Silent sky (iF edit)";"2024";"INFINE";1735207213;1735207492;"https://music.apple.com/fr/album/silent-sky-if-edit/1755168642?i=1755169462&uo=4";;
"Chaka Khan";"The essential";"Ain't nobody";"1983";"MUSIC CLUB";1735207486;1735207760;"https://music.apple.com/fr/album/aint-nobody/266611641?i=266611666&uo=4";"https://open.spotify.com/track/53Za5vyGc1x7GxgJVRjRKc";
"Jamie XX";"In Waves";"The feeling I get from you";"2024";"YOUNG";1735207758;1735207979;"https://music.apple.com/fr/album/the-feeling-i-get-from-you/1746750796?i=1746751700&uo=4";"https://open.spotify.com/track/7gb0pekqHQYTGo6NWLBvT5";"https://www.deezer.com/track/3155447581"
"Chucho Valdes";"The latin jazz sides";"Mambo influenciado";"2002";"YEMAYA";1735207975;1735208168;;;
"Sabine Revault D Allonnes";"Jules Massenet : Mélodies";"On dit - pour soprano violoncelle et piano";"2011";"TIMPANI";1735208167;1735208320;;;
"Billy Joel";"Piano man";"Stop in nevada";"1975";"CBS";1735208315;1735208546;;;"https://www.deezer.com/track/14333220"
"The Beach Boys";"The beach boys today !";"California girls";"1965";"CAPITOL";1735208540;1735208695;"https://music.apple.com/fr/album/california-girls/716001173?i=716001878&uo=4";;
"Ronnie Lynn Patterson";"Mississippi";"Mississippi";"2003";"NIGHTBIRD";1735208694;1735209008;;;"https://www.deezer.com/track/260553"
"Rosie Lowe";"Lover, Other";"Lay Me";"2024";"BLUE FLOWERS MUSIC";1735209000;1735209181;;"https://open.spotify.com/track/1XiksrcX2PgOcixT29hnIf";
"Orion Sun";"Orion";"Already gone";"2024";"MOM+POP";1735209180;1735209408;;"https://open.spotify.com/track/3LsOHE9Zg3tOccxegJ7Tp3";"https://www.deezer.com/track/2996628801"
"Jimmy Ponder";"Super breaks / Vol. 3";"While my guitar gently weeps";"1974";"ACE RECORDS";1735209400;1735209620;;;
