"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Melodiesinfonie";"Softboi";"Life is easy (feat. Claudi Isaki)";"2023";"MELODIESINFONIE";1742291919;1742292057;"https://music.apple.com/fr/album/life-is-easy-feat-claudi-isaki/1692528715?i=1692528734&uo=4";;
"O'Donell Levy";"Black velvet";"Love story";"2008";"GROOVE MERCHANT RECORDS";1742292055;1742292184;;"https://www.deezer.com/track/63942818";
"Malted Milk";"Love, tears & guns";"Pay day";"2019";"DAYDREAM";1742292180;1742292396;"https://music.apple.com/fr/album/pay-day/1462625530?i=1462625541&uo=4";"https://www.deezer.com/track/675647582";"https://open.spotify.com/track/5KQoFsnVzYuTtxypeyPxvS"
"The Bee Gees";"Their Greatest Hits";"Holiday";"1967";"POLYDOR";1742292394;1742292567;;;
"Durand Jones & The Indications";"Private Space";"Sea of love";"2021";"DEAD OCEANS";1742292565;1742292787;;"https://www.deezer.com/track/1346281042";"https://open.spotify.com/track/6sJmuwsNtWwT3hTVcS1hsR"
"Max Et Henri";"Disques Debs International Vol.3";"Sé pou demen";"2025";"STRUT";1742292785;1742293018;;;
"Maiiah & The Angels Of Libra";"Maiiah & the Angels of Libra";"I wanna go";"2023";"WATERFALL RECORDS";1742293015;1742293228;;;
"Jenny Hval";"Year of love";"Year of love";"2022";"4AD";1742293226;1742293479;"https://music.apple.com/fr/album/year-of-love/1599834852?i=1599834857&uo=4";"https://www.deezer.com/track/1658925612";"https://open.spotify.com/track/2xMf6kbsGhfmrzLxC5HRLw"
"Isla Oiseau";"Les Ombres";"Les Ombres";"2024";"KIDDERMINSTER";1742293479;1742293732;"https://music.apple.com/fr/album/les-ombres/1780083924?i=1780083926&uo=4";"https://www.deezer.com/track/3093942221";"https://open.spotify.com/track/09rjx25nshxnH3vFoKoi93"
"Chanel Beads";"Your Day Will Come";"Your day will come";"2024";"";1742293728;1742293911;"https://music.apple.com/fr/album/your-day-will-come/1796190717?i=1796190972&uo=4";"https://www.deezer.com/track/2630574972";"https://open.spotify.com/track/77iZw3CgR2vQfTx2WFQa0v"
"Doechii";"Alligator bites never heal";"Alligator bites never heal";"2024";"TOP DAWG ENTERTAINMENT";1742293908;1742294079;;"https://www.deezer.com/track/2959869991";"https://open.spotify.com/track/7mxHtdsPaPvrivbCQEdyos"
"Billie Eilish";"When we all fall asleep,where do we go?";"8";"2019";"DARKROOM - INTERSCOPE RECORDS";1742294078;1742294249;"https://music.apple.com/fr/album/8/1450695723?i=1450695875&uo=4";"https://www.deezer.com/track/655095972";"https://open.spotify.com/track/6X29iaaazwho3ab7GNue5r"
"Johnny Nash";"Billboard top rock 'n' roll hits - 1972";"I can see clearly now";"1972";"RHINO RECORDS";1742294248;1742294413;"https://music.apple.com/fr/album/i-can-see-clearly-now/312390949?i=312390954&uo=4";"https://www.deezer.com/track/13784672";"https://open.spotify.com/track/5NrV5IwDOFcXHHUFTB8BUy"
"Paul Hemmings";"The blues and the abstract uke";"Folsom prison blues";"2015";"LEADING TONE RECORDS";1742294407;1742294625;;;
"Bananagun";"Day by day";"Day By Day";"2025";"FULL TIME HOBBY";1742294622;1742294748;"https://music.apple.com/fr/album/day-by-day/1794593272?i=1794593273&uo=4";;"https://open.spotify.com/track/5x7G2cvGdmx0zO5fbXtT8D"
"Poni Hoax";"Country leather";"Country leather";"2025";"PAN EUROPEAN RECORDING";1742294747;1742294892;;;
"Soultown Revivalists";"Burning daylight";"Thing about smokey";"2024";"APRIL MORNING MUSIC";1742294891;1742295128;;"https://www.deezer.com/track/2602454732";"https://open.spotify.com/track/7z1wP2cY4gHwBOKRqg1h4I"
"The Lewis Express";"Clap your hands";"Is it this ?";"2019";"ATA RECORDS";1742295124;1742295394;;;
"Valerie June";"Joy, Joy!";"Joy, joy !";"2025";"CONCORD RECORDS (DISTRIBUTEUR)";1742295391;1742295570;;;
"Sunny War";"Armageddon in a summer dress";"Rise";"2025";"NEW WEST RECORDS";1742295567;1742295773;"https://music.apple.com/fr/album/rise/1776670052?i=1776670059&uo=4";"https://www.deezer.com/track/3068545251";"https://open.spotify.com/track/2jLYv56ySVmvf3pqX3GtkR"
"Ariane Moffatt";"Aquanaute 2022";"Si";"2022";"MO'FAT PRODUCTIONS";1742295772;1742295931;;"https://www.deezer.com/track/128226657";
"Thrillington Percy Thrill";"Too many people";"Eat at home";"1977";"APPLE";1742295929;1742296136;;;
"Sonic Soul Collective";"Sweet Serenade";"Hypnotized by this man";"2025";"WALBOOMERS MUSIC";1742296136;1742296370;"https://music.apple.com/fr/album/hypnotized-by-this-man/1789313649?i=1789314134&uo=4";"https://www.deezer.com/track/3140034921";"https://open.spotify.com/track/17j7AZK03lUiqpRE3NKtDx"
"Devo";"50 years of de-evolution (1973-2023)";"(I can't get no) satisfaction";"1978";"RHINO RECORDS";1742296368;1742296527;;;
"Florence Adooni";"A.O.E.I.U. (An Ordinary Exercise In Unity)";"Vocalize my luv";"2025";"PHILIPHON";1742296526;1742296762;;;
"Milan Kymlicka";"Miles Away one";"It’s over";"1974";"MILES AWAY RECORDS";1742296760;1742296983;;;
"Barbagallo";"Les Grands Brûlés";"Regarde";"2021";"ALMOST-MUSIQUE";1742296979;1742297202;"https://music.apple.com/fr/album/regarde/1557496956?i=1557496958&uo=4";"https://www.deezer.com/track/1270449472";"https://open.spotify.com/track/3zbxtFyE8qzBueKHmOoqMa"
"Kendra Morris";"Babble";"Cry sometimes";"2023";"KARMA CHIEF RECORDS";1742297200;1742297418;"https://music.apple.com/fr/album/cry-sometimes/1657013337?i=1657013548&uo=4";"https://www.deezer.com/track/2042772007";"https://open.spotify.com/track/2xBAEy81weg8wGuVzSWeKa"
"Desmond Myers";"Chinatown";"Chinatown";"2020";"LVCO PRODUCTIONS";1742297417;1742297631;"https://music.apple.com/fr/album/chinatown/1692784568?i=1692784574&uo=4";"https://www.deezer.com/track/2329345815";"https://open.spotify.com/track/1l8LnfF9VVAXkjkthYzdIS"
"The Peppers";"Compil./The Detroit funk vaults/1968-1979";"Bringing It Down";"2012";"BGP RECORDS";1742297630;1742297880;"https://music.apple.com/fr/album/bringing-it-down/1621422294?i=1621423121&uo=4";"https://www.deezer.com/track/1734202587";"https://open.spotify.com/track/7daNX7MQlL6FwS9Q0KnGoI"
"Creedence Clearwater Revival";"Green river";"Cross-tie walker";"1969";"FANTASY";1742297878;1742298074;"https://music.apple.com/fr/album/cross-tie-walker/1440952818?i=1440952993&uo=4";"https://www.deezer.com/track/593439112";"https://open.spotify.com/track/4htBSJ47rNe7qV6nz4K05v"
