"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes";"youtube"
"Mtume";"FTG presents : The Vaults / Vol. 1";"Juicy fruit (vocal version)";"1982";"FUNKYTOWNGROOVES";1747907662;1747908014;"https://www.deezer.com/track/141002751";;;
"Polibio Mayorga";"Ecuatoriana";"Panuelo de seda";"1976";"ANALOG AFRICA";1747908012;1747908148;"https://www.deezer.com/track/64355326";;;
"Kyozo Nishioka";"Nanbeiryoko";"Kuro's samba";"1976";"TRIO RECORDS";1747908148;1747908324;;;;
"Cyprien Katsaris";"Latin American recital / vol 1 : Mexico";"Vals poético";"2001";"PIANO 21";1747908323;1747908476;;;;
"Fiona Apple";"Tidal";"The first taste";"1996";"COLUMBIA";1747908472;1747908756;"https://www.deezer.com/track/82293016";"https://open.spotify.com/track/21Xc8hEIzv81jwiftI4hJB";;
"Yael Naim";"Yael naim";"Toxic";"2007";"TOT OU TARD";1747908755;1747909020;"https://www.deezer.com/track/605635802";"https://open.spotify.com/track/3tkLVA291cVPJLHlSSOjHN";;
"Charif Megarbane";"Hawalat";"Les vents dominants";"2025";"HABIBI FUNK";1747909019;1747909176;"https://www.deezer.com/track/3504580381";"https://open.spotify.com/track/6JV4gO7UfrIcsQOWE1qAOU";;
"Raphael Saadiq";"The way I see it";"Never give you up";"2008";"SONYBMG";1747909176;1747909428;;;;
"Katerine";"8ème ciel";"Elle a vu";"2002";"BARCLAY";1747909427;1747909655;;;;
"B. Cool-Aid";"Leather Blvd.";"Neems ( Naima ) (feat. Mndsgn & Akeema-Zane)";"2023";"LEX RECORDS";1747909648;1747909892;;;;
"Gregoire Maret";"Americana";"Brothers In Arms";"2020";"ACT MUSIC";1747909887;1747910073;"https://www.deezer.com/track/867623752";"https://open.spotify.com/track/2CdPVk5n4i9DbiE2uXUeVt";;
"Elton John";"Your song";"Your song";"1969";"DJM";1747910071;1747910310;"https://www.deezer.com/track/880181";;;
"D'Angelo";"Black messiah";"Really love";"2014";"RCA RECORDS";1747910308;1747910641;"https://www.deezer.com/track/92298790";"https://open.spotify.com/track/2RcanAJpudPNDkyIe9DzKS";;
"Erick Cosaque";"Chinal ka 1973-1992";"L'heureux noir";"1981";"HEAVENLY SWEETNESS";1747910637;1747910944;"https://www.deezer.com/track/772244142";;;
"Mulatu Astatke";"Ethiopie/Ethio-jazz et musique instrumentale 1969-1974/Ethiopiques vol. 4";"Sabyé";"1974";"BUDA MUSIQUE";1747910942;1747911266;;"https://open.spotify.com/track/28AaMWFdqTaMsJoano8udp";;
"Haim";"Women in music Pt. III";"Los Angeles";"2020";"POLYDOR RECORDS";1747911121;1747911320;"https://www.deezer.com/track/1241553212";;;
"The Weather Station";"Humanhood";"Sewing";"2025";"FAT POSSUM RECORDS";1747911319;1747911674;"https://www.deezer.com/track/2968475111";"https://open.spotify.com/track/0iqfQ02cetS1GjWVkr7IA1";"https://music.apple.com/fr/album/sewing/1765347263?i=1765348505&uo=4";
"Morcheeba";"Who can you trust";"Enjoy the wait";"1996";"CHINA";1747911666;1747911732;"https://www.deezer.com/track/712547";"https://open.spotify.com/track/03n4bUnpUCW2OIs3qvccjo";;
"Lost In Lona";"Mathilda";"Mathilda";"2025";"MOUTHWATERING RECORDS";1747911730;1747911972;"https://www.deezer.com/track/3188255421";"https://open.spotify.com/track/2j12PFjCcBWA991DDhXN4y";;
