"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"itunes";"spotify"
"Dennis Coffey And The Detroit Guitar Band";"Evolution";"Scorpio";"1971";"SUSSEX";1753783024;1753783288;"https://www.deezer.com/track/1508462432";;
"Rayland Baxter";"If I were a butterfly";"Buckwheat";"2022";"ATO RECORDS";1753783168;1753783343;"https://www.deezer.com/track/1868059697";"https://music.apple.com/fr/album/buckwheat/1640556907?i=1640557324&uo=4";"https://open.spotify.com/track/36aOOHWwwQzvTclOfYj2nf"
"Emile Londonien";"Inwards";"Shades";"2024";"NAIVE";1753783281;1753783446;"https://www.deezer.com/track/2906923311";;"https://open.spotify.com/track/1IZ4rJ5Sd3XqDwzQrXURi0"
"Halel Givon";"Autopilot";"Overthinking";"2025";"GHOSTOWN RECORDS";1753783347;1753783532;"https://www.deezer.com/track/3138466131";"https://music.apple.com/fr/album/overthinking/1784995789?i=1784995801&uo=4";"https://open.spotify.com/track/00V9PnY5U6omVCim4muyiO"
"Henna Onna";"Part of Deeppa / Vol.2";"Shibuya oiran";"2024";"DEEPPA RECORDS";1753783442;1753783812;"https://www.deezer.com/track/3000815351";;"https://open.spotify.com/track/4kWxDgdXj2FB0pdInkBsP8"
"Stereolab";"Dots And Loops";"Brakhage";"1997";"DUOPHONIC UHF DISKS / WARP RECORDS";1753783531;1753783859;"https://www.deezer.com/track/355425361";"https://music.apple.com/fr/album/brakhage/1230517312?i=1230517315&uo=4";"https://open.spotify.com/track/6Wi3gizHOtRi7DSsX3XWZA"
"Angelo Badalamenti";"BOF TV / Twin Peaks (Saison 1)";"Twin Peaks theme";"1990";"WARNER BROS";1753783811;1753784113;;;
"Roy Ayers Ubiquity";"He's Coming";"He's a superstar";"1972";"VERVE";1753783853;1753784187;;"https://music.apple.com/fr/album/hes-a-superstar/1443754332?i=1443754335&uo=4";"https://open.spotify.com/track/4XZsicxMK8yudpD9MKuj2W"
"Radiohead";"Kid A";"Everything in its right place";"2000";"EMI";1753784105;1753784353;"https://www.deezer.com/track/138547587";;"https://open.spotify.com/track/2kRFrWaLWiKq48YYVdGcm8"
"Jacques Higelin";"BBH 75";"Mona lisa klaxon";"1974";"EMI";1753784182;1753784378;"https://www.deezer.com/track/365935091";"https://music.apple.com/fr/album/mona-lisa-klaxon/1240248810?i=1240249106&uo=4";"https://open.spotify.com/track/2ejlGIdlVdkiO2uT05RLng"
"Tamasene";"Hangin’ in or hangin’ out";"The devils on your shoulders";"2025";"NICE GUYS";1753784348;1753784659;"https://www.deezer.com/track/3181680861";"https://music.apple.com/fr/album/the-devils-on-your-shoulders/1790096206?i=1790097066&uo=4";"https://open.spotify.com/track/4KUhkuvzThLRRyZOzJoLDa"
"BB King";"Deuces wild";"The thrill is gone";"1969";"MCA";1753784379;1753784676;;;
"Jamiroquai";"Travelling without moving";"Didjital vibrations";"1996";"SONY";1753784656;1753784998;;;
"Alton Ellis";"Many moods of";"It's hard to be a lover";"1981";"MAKASOUND";1753784664;1753785043;;;
"Mia";"Kala";"Mango pickle down river";"2007";"XL RECORDINGS";1753784988;1753785219;;;
"Erasmo Carlos";"Carlos, Erasmo....";"E preciso dar um jeito, meu amigo";"1971";"UNIVERSAL MUSIC FRANCE DIGITAL ONLY";1753785038;1753785263;"https://www.deezer.com/track/16558838";;"https://open.spotify.com/track/1V1taPaEp2dntrUKCAnnw5"
"Dwight Druick";"French disco boogie sounds vol. 4 (1977-1991)";"Georgy porgy (disco version)";"1979";"FAVORITE RECORDINGS";1753785218;1753785568;;;
"Tiago Caetano";"Eco Da Baia";"Salvo";"2024";"YOTANKA";1753785267;1753785543;"https://www.deezer.com/track/2968357121";;"https://open.spotify.com/track/0ED4m2VWdTkvYoFPJKbZoP"
"Lea Jacta Est";"Horizons du fantastique";"Horizon du fantastique";"2024";"THE QUEEN IS DEAD RECORDS";1753785540;1753785833;;;
"Boz Scaggs";"My time: a Boz Scaggs anthology (1969-1997)";"Lowdown";"1976";"UNIVERSAL";1753785560;1753785874;"https://www.deezer.com/track/563391";;
"Oklou";"Galore";"God's chariots";"2020";"BECAUSE MUSIC";1753785829;1753786009;"https://www.deezer.com/track/1032723992";;"https://open.spotify.com/track/5IgVrfYCkVQfwD2bkvkIrM"
"Gitkin";"Golden age";"High noon";"2024";"WONDERWHEEL RECORDINGS";1753785867;1753786045;"https://www.deezer.com/track/2889120982";"https://music.apple.com/fr/album/high-noon/1764268567?i=1764268569&uo=4";"https://open.spotify.com/track/6vLVGvyDwYh8HoipMMGu7g"
"Weyes Blood";"And In The Darkness, Hearts Aglow";"A given thing";"2022";"SUB POP RECORDS";1753786005;1753786245;"https://www.deezer.com/track/1871177417";"https://music.apple.com/fr/album/a-given-thing/1643062187?i=1643062199&uo=4";"https://open.spotify.com/track/2Z5YC9671Ca2qLEKBHktis"
"Reyna Tropical";"Malegría";"Cartagena";"2024";"PSYCHIC HOTLINE";1753786042;1753786253;"https://www.deezer.com/track/2717208342";;"https://open.spotify.com/track/0d9Ec1WjsdAqs2LmB3nk3o"
"Panda Bear";"Sinister grif";"Ends meet";"2025";"DOMINO";1753786253;1753786270;"https://www.deezer.com/track/3001194941";"https://music.apple.com/fr/album/ends-meet/1761198973?i=1761199162&uo=4";"https://open.spotify.com/track/0Krqcz9OB6G9wUUBL9BpGz"
"Mud";"Mud pack";"Comme par hasard";"1998";"EPIC";1753786446;1753786798;"https://www.deezer.com/track/78063962";;"https://open.spotify.com/track/71gnWKWNg06KPT34KhlvZu"
"Kenny Burrell";"Guitar forms";"Downstairs";"1965";"VERVE";1753786781;1753786952;;;
"Sirens Of Lesbos";"Peace";"Candid mess (feat. Joshua Idehen)";"2023";"AUTOPRODUCTION";1753786931;1753787188;;"https://music.apple.com/fr/album/candid-mess-feat-joshua-idehen/1709523489?i=1709524866&uo=4";
"Dewolff";"Muscle shoals";"Fools & horses";"2024";"MASCOT RECORDS ,";1753786947;1753787184;"https://www.deezer.com/track/2960120751";;"https://open.spotify.com/track/5twZxDXBCq9n3z3PJ1Vy9f"
"The Marcus King Band";"The Marcus king band";"Rita is gone";"2016";"CONCORD MUSIC GROUP";1753787180;1753787443;"https://www.deezer.com/track/133585772";;"https://open.spotify.com/track/4gi81cgaU0Xmek1IuOENM5"
"Cousin Kula";"Vitamin D";"Softest touch";"2024";"RHYTHM SECTION ITNL.";1753787188;1753787436;;;"https://open.spotify.com/track/0HeLndCKmRUIqoWNmMwDVA"
"Marcus King";"Mood swings";"Me or Tennessee";"2024";"ISLAND DEF JAM";1753787434;1753787695;"https://www.deezer.com/track/2728065551";;"https://open.spotify.com/track/3kradCzPXgyS4BuZGgrGuH"
"Ramsey Lewis";"Funky serenity / Salongo";"Serene funk";"1973";"R2 RECORDS";1753787441;1753787689;"https://www.deezer.com/track/2066282557";;"https://open.spotify.com/track/0vyB2pCzqim2r9NqHBjGaX"
"Lou Donaldson";"Blue break beats / Vol. 2";"The caterpillar";"1971";"BLUENOTE";1753787672;1753788080;"https://www.deezer.com/track/140855007";;"https://open.spotify.com/track/1nALS9WX5OtVjQxujN1UHc"
"Aretha Franklin";"20 greatest hits";"Day dreaming";"1972";"ATLANTIC";1753787694;1753787920;"https://www.deezer.com/track/904815";;"https://open.spotify.com/track/7L4G39PVgMfaeHRyi1ML7y"
"Takeru Muraoka & His New Group";"WaJazz : Japanese jazz spectacle Vol.2 - The King records Masters";"Lady boogie";"1978";"180G";1753787876;1753788060;;;
"The Joubert Singers";"BOF / Polisse";"Stand on the word";"1985";"LORD S RECOR";1753788078;1753788343;;;
"Kal Banx & Sir";"MOB";"Mob (feat. Sir)";"2025";"TOP DAWG ENTERTAINMENT";1753788341;1753788495;;;
"Immy Owusu";"Lo-life !";"Sunsum dware";"2023";"HOPESTREET RECORDINGS";1753788491;1753788799;"https://www.deezer.com/track/2193605757";;"https://open.spotify.com/track/2MM0rHmKtNe3PNF8aCCduW"
"Tony Allen";"Jazz is dead / Vol. 18";"Ebun";"2023";"JAZZ IS DEAD";1753788798;1753789135;"https://www.deezer.com/track/2661241662";;"https://open.spotify.com/track/4kKtKDazkdvPO0aM2CjT6B"
"The Smile";"Cutouts";"Eyes & mouth";"2024";"XL RECORDINGS";1753789133;1753789371;"https://www.deezer.com/track/2991583321";"https://music.apple.com/fr/album/eyes-mouth/1758065392?i=1758065785&uo=4";"https://open.spotify.com/track/5gG5N9s0axYYfqovvKvo4M"
"Warpaint";"Common blue";"Common blue";"2024";"ROUGH TRADE RECORDS";1753789369;1753789599;"https://www.deezer.com/track/2631540272";;"https://open.spotify.com/track/4ywML3rFjamKeKg1GE689X"
"Velours Velours";"Quand je pleure, je suis content";"Corde à linge";"2025";"BONBOBBON";1753789595;1753789973;"https://www.deezer.com/track/2954063751";;"https://open.spotify.com/track/5LNNbY0nL1dYlS0ziCJa0w"
"Wes Montgomery";"Tequila";"Bumpin' on sunset";"1966";"VERVE";1753789971;1753790252;"https://www.deezer.com/track/2537494";;"https://open.spotify.com/track/1yxJK6q9oymWO3vjbPCYmp"
"Billie Holiday";"Songs for distingue lovers";"Moonlight in Vermont";"1957";"VERVE";1753790249;1753790477;"https://www.deezer.com/track/548588092";;"https://open.spotify.com/track/1tnNrJSjlmGuzA2uMguXLX"
"Carol Kim";"Saigon Super Sound Vol. 3";"Diêu ru nuoc mat";"1983";"SAIGON SUPERSOUND";1753790477;1753790744;"https://www.deezer.com/track/2322110825";;"https://open.spotify.com/track/7nsPxBe7aIs5zgF1eZpqq5"
"Molly Lewis";"The forgotten edge";"Balcony for two";"2021";"JAGJAGUWAR";1753790742;1753790917;"https://www.deezer.com/track/1349652382";;"https://open.spotify.com/track/4uHzk0yedHAbFQhd32gvSJ"
"Jay-Jay Johanson";"Heard somebody whistle";"Heard somebody whistle";"2019";"29 MUSIC";1753790916;1753791096;"https://www.deezer.com/track/651943932";;"https://open.spotify.com/track/740zSgBv6PHOGAw04Ta2J2"
"Eumir Deodato";"Donatodeodato";"Whistle stop";"1973";"MUSE RECORDS";1753791094;1753791336;;;
"Joe Dassin";"Sous les pavés ...la plage / Les tubes de mai 68";"Siffler sur la colline";"1969";"WMD";1753791333;1753791489;"https://www.deezer.com/track/561690";;"https://open.spotify.com/track/3gvUS6JaXzbXNihHQlRWBW"
"The Cupids";"Nippon girls: Japanese pop, beat & bossa nova 1966-1970";"Bazazz tengoku";"1968";"BIGBEAT";1753791488;1753791645;;;
"Vladimir Cosma";"BOF / Les aventures de Rabbi Jacob - Levy & Goliath";"Le grand rabbi";"1973";"LARGHETTO MUSIC";1753791643;1753791801;"https://www.deezer.com/track/93115042";;
"Black Lips";"Arabia mountain";"Familly tree";"2011";"VICE MUSIC";1753791799;1753791953;;;
"La Femme";"Mystère";"Où va le monde";"2016";"DISQUE POINTU";1753791950;1753792285;"https://www.deezer.com/track/130689490";"https://music.apple.com/fr/album/o%C3%B9-va-le-monde/1146810990?i=1146811127&uo=4";"https://open.spotify.com/track/6M2ZYgZ2cdu5oCHGI8wamV"
"Kendra Morris";"In My House";"In my house";"2025";"COLEMINE";1753792284;1753792511;"https://www.deezer.com/track/3406426391";"https://music.apple.com/fr/album/in-my-house/1796221472?i=1796221473&uo=4";"https://open.spotify.com/track/23h6JY6SKZEPQDOLymUdyX"
"Maribou State";"Hallucinating love";"Blackoak";"2025";"NINJA TUNE";1753792508;1753792796;"https://www.deezer.com/track/2372364875";;"https://open.spotify.com/track/5Pip0HRc2xDEC3DdH1rPPU"
"Figub Brazlevic & Parental";"Métro-bahn";"Parlin-beris (super city)";"2024";"KREKPEK";1753792795;1753792944;;;
"Janet Jackson";"The velvet rope";"Got 'til it's gone";"1997";"VIRGIN";1753792935;1753793177;"https://www.deezer.com/track/1939641337";;"https://open.spotify.com/track/1EhvYd5e7vkoN3udEN1Vyl"
"Erik Truffaz Quartet";"The Dawn";"Free stylin'";"1998";"Blue Note";1753793175;1753793357;;;
"Roy Hargrove";"Hard groove";"The joint";"2003";"VERVE";1753793356;1753793694;;;
"Jungle By Night";"Synergy";"Style de malade";"2024";"V2 RECORDS";1753793569;1753793838;;;
"Cousin Kula";"Vitamin D";"The sun";"2024";"RHYTHM SECTION ITNL.";1753793833;1753794021;"https://www.deezer.com/track/2555455402";;"https://open.spotify.com/track/0wNAQj2w4sVY7VzihW3wMG"
"Francois & The Atlas Mountains";"Age fleuve";"Party";"2025";"INFINE";1753794018;1753794192;"https://www.deezer.com/track/3086380881";;"https://open.spotify.com/track/7CdiF72pv8YbQI0qAW9ICX"
"Angelo Badalamenti";"B.O.F. / Mulholland drive";"Pretty 50s";"2001";"BLUE NOTE";1753794186;1753794367;;;
"Camillo Felgen";"BOF / Un petit boulot";"Sag warum";"1961";"MILAN";1753794364;1753794504;"https://www.deezer.com/track/72835117";;
"Keltoum";"Keltoum";"Why why why";"2018";"KELMUSIC PRODUCTIONS";1753794503;1753794729;"https://www.deezer.com/track/1830099687";;"https://open.spotify.com/track/3m4aX9J0SDKLNAWUrA4qPf"
"Quiet Man";"Quiet man";"Sl33p";"2018";"SPINNUP";1753794728;1753794908;;;
"Claude Fontaine";"La mer";"Laissez-moi l'aimer";"2024";"INNOVATIVE LEISURE";1753794906;1753795071;"https://www.deezer.com/track/2798637942";"https://music.apple.com/fr/album/laissez-moi-laimer/1746125261?i=1746125385&uo=4";"https://open.spotify.com/track/3J94jGnoX1s4q34FyPNrOr"
"The Bees";"Octopus";"Stand";"2007";"VIRGIN";1753795067;1753795317;"https://www.deezer.com/track/3253353";"https://music.apple.com/fr/album/stand/714608223?i=714608261&uo=4";"https://open.spotify.com/track/17tPr9mXE2byLR1Fvg7CBV"
"Jim Hall";"Jim hall & Pat Metheny";"The birds and the bees";"1998";"TELARC JAZZ";1753795316;1753795622;;;
"U.S. Girls";"Scratch it";"Walking song";"2025";"4AD";1753795617;1753795844;"https://www.deezer.com/track/3390064981";;"https://open.spotify.com/track/64iTQFT2vJqCIlhV9c99Y3"
"Joan Baez";"Farewell, Angelina";"Farewell Angelina";"";"Accord";1753795844;1753796035;;;
"Bee Gees";"Odessa";"Whisper whisper";"1969";"BEE GEES CATALOG";1753796034;1753796236;"https://www.deezer.com/track/143784836";;"https://open.spotify.com/track/7MPMCtpkmI8r1IiJsjAdEc"
"Carlton Jumel Smith";"1634 Lexington avenue";"We're all we got";"2019";"TIMMION RECORDS";1753796234;1753796475;"https://www.deezer.com/track/2643490992";;"https://open.spotify.com/track/3qoWDfzpcp8qWAPNHI7KlH"
"The Bongo Hop";"La pata coja";"L'oubli mauve";"2024";"UNDERDOG RECORDS";1753796474;1753796803;"https://www.deezer.com/track/2914895361";;"https://open.spotify.com/track/7zHVCvcUyMiPyb2VM65hBo"
"Amanda Magalhaes";"Vai ouvir";"Vai ouvir";"2019";"WM BRAZIL";1753796802;1753796980;"https://www.deezer.com/track/635124502";;"https://open.spotify.com/track/745XaRBE6BZIIxGBdrQlGJ"
"Stevie Wonder";"Innervisions";"Don't you worry 'bout a thing";"1973";"MOTOWN";1753796978;1753797263;"https://www.deezer.com/track/2319300";;"https://open.spotify.com/track/1QvWxgZvTU0w8rlPRE5Zrv"
"Blue Mitchell";"Mainstream funk";"Last tango in Paris";"1972";"WEWANTSOUNDS";1753797263;1753797429;"https://www.deezer.com/track/1570933562";;
"Aaron Neville";"The grand tour";"The roadie song";"1993";"AM";1753797427;1753797705;"https://www.deezer.com/track/2520608";;"https://open.spotify.com/track/1Vgulkd0dBBl5owwtxL6OY"
"Ha The Unclear";"A Kingdom in a cul-de-sac";"Alchemy";"2024";"THINK ZIK";1753797700;1753797906;"https://www.deezer.com/track/2747823311";;"https://open.spotify.com/track/2zHFP31HVYxzARx9d5FUBu"
"Sonny James";"The RCA sessions";"Apache";"1961";"BEAR FAMILY RECORDS";1753797903;1753798068;"https://www.deezer.com/track/92291908";;
"Jerome Etcheberry";"SATCHMOCRACY";"Struttin' with some barbecue";"2021";"CAMILLE PRODUCTIONS";1753798064;1753798356;;;
"Luiz Bonfa";"B.O.F. / Orfeu negro";"Samba de orfeu";"1958";"UNIVERSAL MU";1753798355;1753798503;"https://www.deezer.com/track/1047508";;
"Becca Stevens";"Regina";"As (feat. Jacob Collier)";"2016";"GROUNDUP MUSIC";1753798502;1753798798;;;
"Magdalena Hoffmann";"Magdalena Hoffmann : Fantasia";"Fantaisie en la min Fk 23 BR A 26";"2024";"DGG (DEUTSCHE GRAMMOPHON)";1753798796;1753799028;;;
"Antoine Sahler";"Le hasard";"Où est passé le passé ?";"2024";"LE FURIEUX MUSIC";1753799027;1753799148;"https://www.deezer.com/track/2550209672";;"https://open.spotify.com/track/6zF5dWDstzfcdtjJUmJLIM"
"Harry Nilsson";"The RCA albums collection : A little touch of Schmilsson in the night / CD 9";"As time goes by";"1973";"RCA";1753799133;1753799336;"https://www.deezer.com/track/106783148";;"https://open.spotify.com/track/7pnp2WzJUuq2pm5oWQOpBm"
"Fairport Convention";"Unhalfbricking";"Who knows where the time goes";"2003";"ISLAND";1753799335;1753799640;"https://www.deezer.com/track/4339551";"https://music.apple.com/fr/album/who-knows-where-the-time-goes/310892890?i=310893171&uo=4";"https://open.spotify.com/track/7IKHD2WF4GcWJIteFashv8"
"Cymande";"Renascence";"Coltrane";"2025";"BMG RIGHTS MANAGEMENT";1753799638;1753799924;"https://www.deezer.com/track/3029922411";"https://music.apple.com/fr/album/coltrane/1769217762?i=1769218003&uo=4";"https://open.spotify.com/track/5bkI4gJhfKheZ5WwgjvN5c"
"Elias Rahbani";"Mosaic of the orient";"I think of you";"1972";"VDL";1753799923;1753800070;"https://www.deezer.com/track/880398902";;
"Los Destellos";"Super disco pirata / De Tepito para el mundo 1965-1980";"La china maria";"2024";"ANALOG AFRICA";1753800036;1753800220;"https://www.deezer.com/track/2995266081";"https://music.apple.com/fr/album/la-china-mar%C3%ADa/1767427863?i=1767428156&uo=4";"https://open.spotify.com/track/77MqzzzLxpPJzCjlQXCx2a"
"Manu Chao & Laeti";"Tu te vas";"Tu te vas";"2024";"BECAUSE MUSIC";1753800219;1753800425;;"https://music.apple.com/fr/album/tu-te-vas/1750033516?i=1750034678&uo=4";
"Cocorosie";"Put the shine on";"Ruby red";"2020";"MARATHON ARTISTS";1753800426;1753800692;"https://www.deezer.com/track/2061720017";;"https://open.spotify.com/track/7eA5FP1KdjqYJWILPpIMEX"
"Sunbear";"Sunbear";"Let love flow for peace";"1977";"UNIDISC";1753800691;1753800899;"https://www.deezer.com/track/74785448";"https://music.apple.com/fr/album/let-love-flow-for-peace/301950012?i=301950050&uo=4";"https://open.spotify.com/track/1LyEDWvDo0oD44mWu0gXBu"
"Sandi Hewitt";"BOF /  Lialeh - Gorge profonde";"Lialeh";"1974";"LIGHT IN THE ATTIC RECORDS";1753800899;1753801214;;;
"Nat Adderley";"Work song";"Work song";"1960";"RIVERSIDE";1753801210;1753801463;"https://www.deezer.com/track/932048";"https://music.apple.com/fr/album/work-song/658123420?i=658123559&uo=4";"https://open.spotify.com/track/0GSXh7IeBpk5uJDv7KsuKZ"
