"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"itunes";"spotify";"youtube"
"Milton Nascimento";"Pietá";"Cantaloupe Island";"2002";"WEA";1757843767;1757844052;"https://www.deezer.com/track/629881952";;;
"Myele Manzanza";"A family affair";"Family dynamics (Darkhouse Family remix)";"2021";"FIRST WORD";1757844050;1757844235;"https://www.deezer.com/track/866647752";;;
"The Roots";"Dillanthology vol. 1";"Dynamite";"1999";"RAPSTER RECORDS";1757844232;1757844518;;;;
"Georges Brassens";"Les copains d'abord - intégrale";"Le temps ne fait rien à l'affaire";"1961";"PHILIPS";1757844515;1757844642;"https://www.deezer.com/track/1152876";"https://music.apple.com/fr/album/le-temps-ne-fait-rien-%C3%A0-laffaire/1442669168?i=1442669532&uo=4";"https://open.spotify.com/track/6UvboQTZAghv70NqJ2eJOt";
"Artu";"Forgiveness // É Preciso Perdoar";"E preciso perdoar";"2025";"CAJU COLLECTIVE";1757844642;1757844839;;;;
"Hermeto Pascoal";"Vibrations : Le son du Brésil";"Bebê";"1973";"UNIVERSAL LICENSING MUSIC";1757844838;1757845103;"https://www.deezer.com/track/69085352";"https://music.apple.com/fr/album/beb%C3%AA/1584918809?i=1584918811&uo=4";"https://open.spotify.com/track/4x2qXi2jEmZNHjmNVegnPD";
"Twice As Nice";"Maybe I'm Dreaming";"Thoughts of you";"1974";"ANTHOLOGY RECORDINGS";1757845103;1757845305;"https://www.deezer.com/track/3331247811";;;
"Tabac Carton";"Tabac carton";"Jamais vu";"2024";"ARTIFICE";1757845304;1757845448;"https://www.deezer.com/track/2790793652";;"https://open.spotify.com/track/6ldYkRmBNe0fK3WutLKNL8";
"Natalie Slade";"Molasses";"The curse";"2025";"BBE MUSIC";1757845449;1757845731;"https://www.deezer.com/track/3179206131";;"https://open.spotify.com/track/2nobVteA1DV5jXq6rIjOjO";
"Asta Hiroki";"Continuation";"Understanding";"2025";"FOLDED MUSIC";1757845729;1757846004;"https://www.deezer.com/track/3468982871";;"https://open.spotify.com/track/5leDIKDO8VHtis3UMXIaV6";
"Father'S Children";"Eccentric soul : a red black green production";"I really really love you";"1978";"NUMERO GROUP";1757846000;1757846272;"https://www.deezer.com/track/1616711672";;;
"The Drifters";"Save the last dance for me";"This magic moment";"1960";"ATLANTIC";1757846270;1757846415;;;;
"Lee Hazlewood";"Very special world of";"For one moment";"1969";"WATER RECORDS";1757846414;1757846571;"https://www.deezer.com/track/396434622";;;
"Serge Gainsbourg";"Histoire de Melody Nelson";"En melody";"1971";"PHILIPS";1757846569;1757846760;"https://www.deezer.com/track/212180501";;"https://open.spotify.com/track/4h2H1twBzEuQygHdl60U5g";
"Joy Crookes";"Pass the salt (feat. Vince Staples)";"Pass the salt (feat. Vince Staples)";"2025";"SONY";1757846754;1757846920;"https://www.deezer.com/track/3152238311";;"https://open.spotify.com/track/4IvoRp9jHBbISiVIN8R9el";
"Koushik";"Out my window";"Be with";"2008";"STONES THROW RECORDS";1757846917;1757847165;"https://www.deezer.com/track/446007722";;"https://open.spotify.com/track/4K64PB5mA0GuyZmm8tC3nr";
"Andrew Wasylyk";"The paralian";"Westway nocturne";"2019";"ATHENS OF THE NORTH RECORDS";1757847164;1757847216;"https://www.deezer.com/track/592225912";;"https://open.spotify.com/track/6jR78cC8Lzjtk56gSWaB45";
"Brandee Younger";"Somewhere different";"Pretend (feat. Tarriona """"Tank"""" Ball)";"2021";"IMPULSE";1757847215;1757847482;;;;
"Los Retros";"Everlasting";"Fruitful";"2020";"STONES THROW RECORDS";1757847475;1757847618;"https://www.deezer.com/track/967616342";;"https://open.spotify.com/track/3A0fdsRdNG0XixMN87Xn2B";
"Ricardo Marrero & The Group";"A taste";"Babalonia";"1976";"JAZZMAN RECORDS";1757847614;1757847957;"https://www.deezer.com/track/117243996";;;
"Blood Sweat & Tears";"Blood, Sweat & Tears";"Spinning wheel";"1968";"CBS";1757847955;1757848199;;;;
"Christian Zacharias";"Wolfgang Amadeus Mozart : concertos pour piano / Vol. 6";"Concerto n°21 en Ut Maj K 467 : Andante - pour piano et orchestre";"2010";"MDG";1757848195;1757848525;;;;
"Mae Powell";"Making room for the light";"Where Will Love Go";"2025";"KARMA CHIEF RECORDS";1757848525;1757848761;;;;
"Gatien";"Ouf 2.25";"Le Dragon";"2025";"LA SOUTERRAINE";1757848761;1757848867;"https://www.deezer.com/track/3267865301";;"https://open.spotify.com/track/5SLpwYqIP4xK4KHFR4Uh8U";
"Selman Faris";"KAPLAN, voyage vers l'Est";"MOSHI MOSHI";"2025";"ROCHE MUSIQUE";1757848866;1757849033;"https://www.deezer.com/track/3285820601";;"https://open.spotify.com/track/2aFx7BhFKvNymqsrtII09B";
