"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"Radiohead";"The bends";"High and dry";"1995";"PARLOPHONE";1764928571;1764928812;"https://www.deezer.com/track/138544261";"https://open.spotify.com/track/2a1iMaoWQ5MnvLFBDv4qkf";
"Dexter Wansel";"Life on mars / What the world is coming to";"Theme from the planets";"1976";"EDSEL RECORDS";1764928809;1764929091;"https://www.deezer.com/track/87662035";"https://open.spotify.com/track/3cun7DzGeFGrJSgJgl5yQq";"https://music.apple.com/fr/album/theme-from-the-planets/926553482?i=926553566&uo=4"
"The Family Tree";"Let me down easy echoes from Cheri Records";"Brand new day";"1979";"MILES AWAY RECORDS";1764929091;1764929311;"https://www.deezer.com/track/3571289571";"https://open.spotify.com/track/4EwnJsjlbRnchug0GfgGMN";
"St. Paul Church Baptist Choir Of Los Angeles";"BD Music & Wozniak present """"A gospel story""""";"God be with you";"";"BDMUSIC";1764929307;1764929479;;"https://open.spotify.com/track/1ikeaZuekRvOg455eA7GSO";
"Peggy Lee";"Ladies sing Christmas";"The christmas song";"1960";"MCA";1764929478;1764929626;"https://www.deezer.com/track/1628192";"https://open.spotify.com/track/6zK33dkvHZzA5bs7kEIhV0";
"John Williams (Compositeur, Chef d'orchestre)";"BOF / Harry Potter à l'école des sorciers";"Harry Potter à l'école des sorciers : Hedwig's theme";"2001";"WARNER";1764929623;1764929926;;;
"Tabac Carton";"Tabac carton";"Apprenti sorcier";"2024";"ARTIFICE";1764929923;1764930127;"https://www.deezer.com/track/2790793672";"https://open.spotify.com/track/0aAq7ieasjVgULUL3WAEzZ";
"Nightmares On Wax";"Echo45 Soundsystem";"I remember (feat. Greentea Peng)";"2025";"WARP RECORDS";1764930127;1764930342;;;
"Prince Far & The Arabs";"Cry tuff dub encounter chapter 3";"Low gravity";"1980";"PRESSURE SOUNDS";1764930329;1764930550;;;
"Geoffrey Landers";"1 by 1";"Camella";"1987";"MUSIC FROM MEMORY";1764930545;1764930797;"https://www.deezer.com/track/797547552";;
"Freak Slug";"Loose tooth and a short";"Miss june";"2025";"FUTURE CLASSIC";1764930785;1764930964;"https://www.deezer.com/track/3476958371";"https://open.spotify.com/track/7v0T7tCD2DMJzF0rpWtCCs";
"Stevie Wonder";"Motown : The complete n° 1's / CD 3 & 4";"Superstition";"1972";"MOTOWN";1764930961;1764931227;"https://www.deezer.com/track/596034702";"https://open.spotify.com/track/4N0TP4Rmj6QQezWV88ARNJ";
"Gboyega Adelaja";"Doing it in Lagos : Boogie, pop & disco in 1980's Nigeria";"Colourful environment";"1979";"SOUNDWAY";1764931225;1764931544;"https://www.deezer.com/track/473236462";;"https://music.apple.com/fr/album/colourful-environment/1359654796?i=1359655573&uo=4"
"Jean Claude";"Soul sok séga";"Mademoiselle";"1971";"STRUT RECORDS";1764931538;1764931719;"https://www.deezer.com/track/117679946";;
"Tierney Sutton";"After blue";"Don't go to strangers";"2013";"BFM JAZZ";1764931716;1764932069;"https://www.deezer.com/track/82700106";"https://open.spotify.com/track/2gCBGA1tjA4zMlO5e2s2ex";
"Adrien La Marca";"Chanson bohème";"6 Morceaux op 51 : 6. Valse sentimentale - arrangement pour alto et piano";"2021";"LA DOLCE VOLTA";1764932066;1764932288;;;
"Roisin Murphy";"Roisin machine";"Simulation";"2020";"SKINT RECORDS";1764932279;1764932778;"https://www.deezer.com/track/1094272202";"https://open.spotify.com/track/3gZFTFqqoeuGMgTaNtQGTF";
"The Verve";"Urban hymns";"Bitter sweet symphony";"1997";"VIRGIN";1764932764;1764933120;;"https://open.spotify.com/track/2i4AouhQeGFBb4g3cx8yqg";
"Tortoise";"Touch";"A title comes";"2025";"INTERNATIONAL ANTHEM";1764933118;1764933306;"https://www.deezer.com/track/3629286672";"https://open.spotify.com/track/7wm2MVxaFYtGJuuVXh1pMk";
"Rosie Lowe";"Yu";"Pharoah";"2019";"WOLF TONE";1764933300;1764933530;"https://www.deezer.com/track/675315752";"https://open.spotify.com/track/1jpDexHHe3PgmFrDAXw8iB";
"Jungle Jack & Jeanjass";"Cognacs & cigarettes";"Peintures rupestres";"2025";"DOUBLE HELICE OTORO";1764933525;1764933685;;;
"David T.Walker";"On love";"Windows of the world";"1976";"ODE RECORDS";1764933684;1764934044;;;
"Thelma Houston";"Motown dream girls";"Don't leave me this way";"1976";"MOTOWN";1764934036;1764934254;"https://www.deezer.com/track/3067260";"https://open.spotify.com/track/51qi5dgc9CsotM87GmRkAX";
"Parcels";"Leave your love";"Leave your love (radio edit)";"2024";"BECAUSE";1764934251;1764934441;;;
"Blundetto";"Cousin Zaka Vol.3";"Ce que le chien veut";"2025";"LES RYTHMES RUBAN";1764934440;1764934616;"https://www.deezer.com/track/3593790372";"https://open.spotify.com/track/5FYILWadHEnSZwfReS6UGZ";"https://music.apple.com/fr/album/ce-que-le-chien-veut/1845049480?i=1845049494&uo=4"
"Tamba Trio";"Brazil 70's/14 Bossa-nova & latin-jazz tracks";"Moça flor";"1962";"SUPERCLASSE";1764934614;1764934782;"https://www.deezer.com/track/549308812";;
"Henry Mancini";"Bof / Charade";"Charade vocal";"1963";"RCA";1764934779;1764934934;;;
"John Barry";"B.O.F. / Les diamants sont éternels / James Bond 007";"007 and counting";"1971";"EMI";1764934932;1764935143;;;
"Wagon Christ";"Sorry I make you lush";"Shadows";"2004";"NINJA TUNE";1764935142;1764935408;;"https://open.spotify.com/track/3QPwOGIY2s6Ky6zh5UX0NT";
"Bertrand Belin";"Watt";"Watt";"2025";"CINQ 7";1764935407;1764935577;"https://www.deezer.com/track/3407766781";"https://open.spotify.com/track/3HvHj6Jb7cYnLKTZCINv2V";
"Elton John";"Your song";"Your song";"1969";"DJM";1764935574;1764935813;"https://www.deezer.com/track/880181";;
"Anaiis";"Devotion & the black divine";"Bright lights";"2025";"5DB";1764935808;1764936039;"https://www.deezer.com/track/3464729211";"https://open.spotify.com/track/6upPC2ehFOpkeR0tEyVW38";
"The Cornshed Sisters";"Lost christmas";"Have a good christmas time";"2020";"MEMPHIS INDUSTRIES";1764936040;1764936214;"https://www.deezer.com/track/1118210492";"https://open.spotify.com/track/5zpCb4TrMP4WD3EWaNXE55";
"Chilly Gonzales";"A very chilly christmas";"All I want for christmas is you";"2020";"GENTLE TREAT LTD.";1764936211;1764936308;"https://www.deezer.com/track/3660914642";"https://open.spotify.com/track/5v262BM00nB1mCBIHyxOMi";
"Emily Loizeau";"L'autre bout du monde";"Je ne sais pas choisir";"2005";"FARGO";1764936305;1764936500;"https://www.deezer.com/track/5078813";;
"Clare And The Reasons";"Pluto";"Pluto";"2008";"FARGO";1764936498;1764936704;"https://www.deezer.com/track/77289168";;
