"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify";"youtube"
"Jon Lucien";"Love everlasting";"Lady love";1973;"BMG";1704707833;1704708125;"https://music.apple.com/fr/album/lady-love/324172425?i=324172505&uo=4";"https://www.deezer.com/track/13203051";"https://open.spotify.com/track/7ihfmODYQtDTeTI84QK7zF";
"Anis Benhallak";"The clown theory";"Pearl box";2020;"MIZ ART PRODUCTION";1704708125;1704708372;;;;
"Wayne Shorter";"Speak no evil";"Speak no evil";1964;"BLUENOTE";1704708367;1704708867;;"https://www.deezer.com/track/3217564";;
"Anne Paceo";"Triphase";"Menthe à l'eau";2008;"Laborie Jazz";1704708860;1704709021;"https://music.apple.com/fr/album/menthe-%C3%A0-leau/960412890?i=960413146&uo=4";"https://www.deezer.com/track/93954524";"https://open.spotify.com/track/7n13M90dC8FtINdWOSMXVd";
"Tete Montoliu";"Boleros";"Ponciana";1975;"ENSAYO";1704709006;1704709274;"https://music.apple.com/fr/album/ponciana/646479427?i=646479870&uo=4";"https://www.deezer.com/track/123256138";;
"Renaud Garcia Fons";"La vie devant soi";"Les rues vagabondes";2017;"E-MOTIVE RECORDS";1704709272;1704709526;;;;
"Nana Mouskouri";"Nana Mouskouri in New York";"Hold me, thrill me, kiss me";1962;"MERCURY";1704709523;1704709698;;"https://www.deezer.com/track/98221398";;
"MLB Trio";"Birka";"Sleipnir";2021;"Ilona Records";1704709696;1704709857;;;;
"Jacky Terrasson";"Smile";"Parisian thoroughfare";2002;"BLUE NOTE";1704709858;1704710164;"https://music.apple.com/fr/album/parisian-thoroughfare/724931027?i=724931457&uo=4";;"https://open.spotify.com/track/2pfGvf1O1NNhJbBhBNvJss";
"Stan Getz";"BOF / Mort d'un pourri / Est-ce bien raisonnable";"Mort d'un pourri";1977;"EmArcy";1704710162;1704710492;"https://music.apple.com/fr/album/mort-dun-pourri/448293637?i=448293654&uo=4";;"https://open.spotify.com/track/4HW3ejtUGdWl5uClwtpKEr";
"Esperanza Spalding";"Radio Music Society";"Hold on me";2012;"HEADS UP";1704710488;1704710701;"https://music.apple.com/fr/album/hold-on-me/1440952016?i=1440952429&uo=4";"https://www.deezer.com/track/16894407";"https://open.spotify.com/track/1AGlSACMnwZhMgIK2nrAX3";
"Hank Mobley";"No room for squares";"Me 'n you";1963;"BLUE NOTE";1704710699;1704711136;"https://music.apple.com/fr/album/me-n-you/633502283?i=633503454&uo=4";"https://www.deezer.com/track/66404858";;
"Ray Lema Et Laurent De Wilde";"Riddles";"Fantani";2016;"GAEZBO / ONE DROP";1704711134;1704711400;;;;
"Melody Gardot";"Worrisome heart";"Sweet memory";2008;"UNIVERSAL";1704711398;1704711598;;;;
"Steiger";"The New Lady Llama";"Mazurka de la Muerte";2021;"Sdban Ultra";1704711599;1704711880;"https://music.apple.com/fr/album/mazurka-de-la-muerte/1554854661?i=1554854662&uo=4";"https://www.deezer.com/track/1252644062";"https://open.spotify.com/track/0kkzu5BJ5wm2vdHqaZ7s1z";
"Curtis Fuller";"Blues-ette";"Five spot after dark";1959;"OBLIQ SOUND";1704711880;1704712195;"https://music.apple.com/fr/album/five-spot-after-dark-alternate-take/582998646?i=582998792&uo=4";;;
"Beady Belle";"At welding bridge";"The storm";2010;"JAZZLAND REC";1704712194;1704712511;"https://music.apple.com/fr/album/the-storm/1449909924?i=1449910080&uo=4";;"https://open.spotify.com/track/5ZQirLYcPBDPrMc1UxB69D";
"Joe Henderson";"The Milestone years / Succes de 1967 à 1977";"Foregone conclusion";1972;"MILESTONE (ET PM)";1704712509;1704712803;;;;
"Zygos Brass Band";"Nola to Nala";"Nice picture";2016;"ZYGOMAT'HIC";1704712801;1704713022;"https://music.apple.com/fr/album/nice-picture/1620167251?i=1620167826&uo=4";;"https://open.spotify.com/track/51dPQ9k7BQhYxvvfl39Iz9";
"Valaida Snow";"50 sublimes chanteuses de jazz 1940-1953";"You're driving me crazy";1940;"Body Soul (Body & Soul)";1704713021;1704713159;;;;
"Ahmad Jamal";"Blue Moon";"Blue Moon";2012;"Jazz Village";1704713159;1704713749;;;"https://open.spotify.com/track/2GLq7bVRIV8HzmeAQAvYq4";
"Al Casey";"""""jumpin with Al""""";"Pousse cafe";1973;"BLACK";1704713748;1704713976;;;;
"Eddie Roberts";"Roughneck";"Sugar (feat. Iain McKenzie)";2004;"DREYFUS";1704713975;1704714198;;;;
"Roy Haynes";"We three";"Sugar Ray";2007;"NEW JAZZ";1704714197;1704714579;;;;
"Pascal Schumacher";"Left Tokyo right";"Matcha desire";2015;"LABORIE JAZZ";1704714578;1704714908;;"https://www.deezer.com/track/96899388";"https://open.spotify.com/track/31NhV8Xl2YOp4fPRTbsMHz";
"Wayne Shorter";"Native dancer";"Miracle of the fishes";1974;"CBS";1704714907;1704715190;;;;
"The Breathing Effect";"Moki dreams of Brazil";"Moki dreams of Brazil";2021;"AUTOPRODUCTION";1704715190;1704715561;"https://music.apple.com/fr/album/moki-dreams-of-brazil/1693898576?i=1693898580&uo=4";"https://www.deezer.com/track/2338876325";"https://open.spotify.com/track/7u2Y6WqPucwUekv9IE3LBm";
"Idris Muhammad";"Power of soul";"The saddest thing";1974;"CTI RECORDS";1704715560;1704715985;"https://music.apple.com/fr/album/the-saddest-thing/298170730?i=298171010&uo=4";"https://www.deezer.com/track/859770";"https://open.spotify.com/track/6Whm5YwYOvYFnzkG30RwYX";
"Youn Sun Nah";"Same Girl";"Bitter ballad";2011;"ACT";1704715983;1704716227;;;;
"Yusef Lateef";"The golden flute";"Oasis";1966;"IMPULSE";1704716224;1704716486;"https://music.apple.com/fr/album/oasis/1444123884?i=1444123892&uo=4";;"https://open.spotify.com/track/5e0ECEeijxXXkUqQDmyQEU";
