"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"spotify";"itunes"
"Rhoda Scott Lady All Stars";"Rhoda Scott Lady All Stars";"Golden Age";2021;"FRAMBOISE PRODUCTION";1706522378;1706522733;;;
"Oliver Nelson";"Afro / American sketches";"Message";1962;"PRESTIGE";1706522731;1706523082;"https://www.deezer.com/track/75897402";;
"Mario Biondi";"Handful of soul";"I can't keep from crying sometimes";2006;"BONSAI";1706523079;1706523373;;"https://open.spotify.com/track/3b8hIf9uAzCVjK9qPSXYIB";
"Chris McGregor";"Chris McGregor's Brotherhood of Breath";"Mra";;"Fledling";1706523369;1706523669;;;
"Isabelle Olivier";"Petite & grande";"Valse marine";2004;"NOCTURNE";1706523667;1706523982;;;
"Abbey Lincoln";"Abbey is blue";"Afro blue";1959;"RIVERSIDE";1706523979;1706524173;;;"https://music.apple.com/fr/album/afro-blue-remastered/1711271295?i=1711271477&uo=4"
"Arthur Possing Quartet";"Natural Flow";"One Move Further";2021;"Double Moon";1706524174;1706524471;"https://www.deezer.com/track/1431869482";"https://open.spotify.com/track/1DX56lVupW3qObcVdDC8He";"https://music.apple.com/fr/album/one-move-further/1576229409?i=1576229746&uo=4"
"Gato Barbieri";"Bolivia";"Eclypse michellina";1973;"BMG";1706524468;1706524848;;;
"Anna Greta";"Nightjar in the northern sky";"Sleepless (feat. Sigurour Flosason & Magnus Trygvason Eliassen)";2021;"ACT MUSIC & VISION";1706524840;1706525111;;;
"Gnu Quartet";"Jazz al dente !";"Gnudi di spinaci e ricotta";2010;"BONSIA MUSIC";1706525107;1706525228;;;
"Ramsey Lewis Trio";"Pot luck";"Arrivederci Roma";1963;"Cadet";1706525227;1706525565;;"https://open.spotify.com/track/6CoJeDX7IAM7oTGW6dYc0K";"https://music.apple.com/fr/album/arrivederci-roma/1652090021?i=1652090331&uo=4"
"Eric Seva";"Nomade sonore";"Rue aux fromages";2015;"Gaya";1706525562;1706525787;;"https://open.spotify.com/track/2SrGOXozJrpuvHB6j2ogej";"https://music.apple.com/fr/album/rue-aux-fromages/1045876526?i=1045876529&uo=4"
"Moondog";"The viking of sixth avenue";"Enough about human rights !";1978;"HONEST JONS";1706525783;1706525997;;;
"Peter Bernstein";"Stranger In Paradise";"Bobblehead";2015;"VENUS RECORD";1706525999;1706526356;"https://www.deezer.com/track/1581564602";;
"Yonathan Avishai And Modern Times";"The parade";"The Parade";2016;"JAZZ & PEOPLE";1706526354;1706526738;;;
"Jody Sternberg & Alain Jean-Marie";"Castles in the sand";"Comme le temps passe";2023;"BONSAI MUSIC";1706526731;1706526856;;"https://open.spotify.com/track/58lgu5tLlNzqIUawOgsnO0";"https://music.apple.com/fr/album/comme-le-temps-passe/1687327291?i=1687328478&uo=4"
"Dooley Wilson";"Bof / Casablanca";"Play it sam... Play """"as time goes by""""";1942;"TURNER CLASS";1706526854;1706527150;;;
"Andre Previn And His Pals";"West side story";"I feel pretty";1960;"CONTEMPORARY (ET PM)";1706527150;1706527555;"https://www.deezer.com/track/1662631872";;
"Bobby Sanabria";"West side story reimagined";"West side story : Intro Jet song";2018;"JAZZHEADS";1706527552;1706527564;;;
"Bobby Sanabria";"West side story reimagined";"West side story : Jet song";2018;"JAZZHEADS";1706527563;1706527926;;;
"Letieres Leite & Orkestra Rumpikezz";"Nanã (feat. Caetano Veloso)";"Nanã (feat. Caetano Veloso)";2023;"LUSOFONIA RECORD CLUB";1706527925;1706528310;;;
"Orchid";"Eclosion";"Traversée du désert et sa tempête";2023;"DELUGE";1706528311;1706528729;;;
"Seamus Blake";"Stranger things have happened";"Northern light";2008;"FRESH SOUND RECORDS";1706528727;1706529012;;;
"Tom Ollendorff";"Open house";"Passing ships (feat. Ben Wendel)";2023;"FRESH SOUND NEW TALENT";1706529008;1706529335;;;
"Roy Haynes";"Out of the Afternoon";"Fly me to the moon";1962;"IMPULSE";1706529331;1706529729;"https://www.deezer.com/track/606618582";;"https://music.apple.com/fr/album/fly-me-to-the-moon/1006331992?i=1006332001&uo=4"
"Lettuce";"Didn't you";"Didn't you";2023;"PRIMARY WAVE MUSIC";1706529729;1706529951;;"https://open.spotify.com/track/51RS0cE9EwwWCS3ii2KVxD";
"Snazzback";"Ruins everything";"Ruins everything";2023;"WORM DISCS";1706529951;1706530192;"https://www.deezer.com/track/2140071817";"https://open.spotify.com/track/6f73PVfkXeZomlscejyptS";
"Herbie Hancock";"Dis Is Da Drum";"Juju";1994;"MERCURY";1706530191;1706530493;;"https://open.spotify.com/track/62fJk4Akl3zlnxoZLuVmHi";"https://music.apple.com/fr/album/juju/1702889171?i=1702890455&uo=4"
"Mongo Santamaria";"Le sorcier des congas/Mongo Santamaria";"Afro blue";1959;"WEA";1706530491;1706530725;"https://www.deezer.com/track/519279172";;
"Brussels Jazz Orchestra & Camille Bertault";"Gainsbourg";"Couleur Café";2022;"BJO";1706530727;1706531114;;;
"Sacha Distel";"Jazz guitarist";"On serait des chats";1956;"GITANES JAZZ PRODUCTIONS";1706531112;1706531294;;"https://open.spotify.com/track/5dbHN8KFZHFyVoJ1u55BMu";"https://music.apple.com/fr/album/on-serait-des-chats/217730742?i=217730753&uo=4"
"Duke Ellington And His Orchestra";"Original album series";"The good life (remastered)";1966;"Rhino Atlantic";1706531293;1706531485;;;
"Helen Merrill";"Helen Merrill";"Plaisir d'amour";1965;"JVC";1706531484;1706531659;;;
"Ben Lopez";"Draft";"Love me tender";2023;"PARALLEL";1706531658;1706531886;;"https://open.spotify.com/track/56dbEUWFJjnrRdaMBzHNzB";
"James Booker";"Classified";"Hound dog";1982;;1706531886;1706532033;;"https://open.spotify.com/track/0qjFpV9ahiWRfJlnxaeDjJ";"https://music.apple.com/fr/album/hound-dog/1443130071?i=1443131148&uo=4"
"Harry Connick Jr";"She";"Funky dunky";1994;"COLUMBIA";1706532034;1706532417;;;
"Eddy Louiss";"Louissiana";"Tribute to Zigaboo";1995;"BMG";1706532416;1706532704;;;
"Pierre Louiss (Voix, Trompette, Guitare)";"Pierre Louiss / Creole swing but sweet";"Tout piti";1976;"FREMEAUX ET ASSOCIES";1706532701;1706532861;"https://www.deezer.com/track/202612";;
"Ralph Lavital";"Carnaval";"Big in";2017;"JAZZ FAMILY";1706532859;1706533191;"https://www.deezer.com/track/360310311";"https://open.spotify.com/track/12W2JPA9RPKy0ybRJCfMKx";"https://music.apple.com/fr/album/big-in/1235174768?i=1235175180&uo=4"
"Monika Kabasele";"Grécofuturisme";"Lost somewhere";2023;"ART DISTRICT";1706533194;1706533533;"https://www.deezer.com/track/2304592645";"https://open.spotify.com/track/1Nblf9JgS22Sy2wH0XG0cT";"https://music.apple.com/fr/album/lost-somewhere/1690269035?i=1690269045&uo=4"
"Nicolas Dary";"Le tourment de l'ogre";"Dialogue avec un cormoran";2023;"AUTOPRODUCTION";1706533533;1706533640;"https://www.deezer.com/track/2305271525";"https://open.spotify.com/track/5CsIMty3uC0fjjjfGUJ5CK";"https://music.apple.com/fr/album/dialogue-avec-un-cormoran/1690293040?i=1690293260&uo=4"
"Archie Shepp";"Left alone revisited";"Lady sings the blues";2002;"ENJA";1706533640;1706533842;;"https://open.spotify.com/track/4HDO8eHx6qYdPudF4WBWUT";
"Guillaume De Chassy";"Songs from the last century";"I'll walk alone (version vocale)";2009;"BEE JAZZ";1706533839;1706533963;;;
"Billy Taylor";"Taylor made jazz";"Cu-blu";1959;"FRESH SOUND";1706533960;1706534220;"https://www.deezer.com/track/102417716";;"https://music.apple.com/fr/album/cu-blu/909449929?i=909449977&uo=4"
"Evan Arntzen";"Countermelody";"Put 'em down blues";2021;"DOT TIME RECORDS";1706534219;1706534546;;"https://open.spotify.com/track/04tGtoI8f4wPGu5rJmnCeB";"https://music.apple.com/fr/album/put-em-down-blues/1554555541?i=1554555759&uo=4"
"Cait Jones & Mathieu Najean";"Outta The Blue With You";"Along the river";2023;"ZOOT";1706534549;1706534833;;;
"Ella Fitzgerald";"Verve : the sound of America";"Stars fell on Alabama";1956;"VERVE";1706534831;1706535042;;"https://open.spotify.com/track/1ZWb3KgGTyoSdM6Qm85OXH";
