"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"itunes";"spotify"
"Annie Ross";"Sings a handful of songs";"Limehouse blues";1963;"FRESH SOUND";1710928685;1710928849;"https://www.deezer.com/track/122358466";;
"Brandee Younger";"Somewhere different";"Spirit u will";2021;"IMPULSE";1710928849;1710929271;"https://www.deezer.com/track/1457004732";"https://music.apple.com/fr/album/spirit-u-will/1699262924?i=1699265316&uo=4";"https://open.spotify.com/track/3vFhPOosuunf5NpHdaM31e"
"James Moody";"James Moody";"Darben the redd foxx";1959;"VERVE";1710929268;1710929497;;"https://music.apple.com/fr/album/darben-the-redd-foxx/1444159203?i=1444159444&uo=4";"https://open.spotify.com/track/3tjwqv9GY5onLMyQrwf5xJ"
"Curtis Stigers";"Hooray for love";"Give your heart to me";2014;"CONCORD JAZZ";1710929496;1710929720;"https://www.deezer.com/track/77486547";"https://music.apple.com/fr/album/give-your-heart-to-me/1442805655?i=1442805822&uo=4";"https://open.spotify.com/track/6tf8RwgOOhSNM374A8jk1r"
"Manu Dibango";"Soul makossa";"Hibiscus";1972;"FIESTA";1710929719;1710930094;;"https://music.apple.com/fr/album/hibiscus/1245352292?i=1245352451&uo=4";
"Jeff Parker";"The new breed";"Executive life";2015;"INTERNATIONAL ANTHEM RECORDING CO.";1710930091;1710930550;;;
"Joan Shaw";"A Retrospective (1947-1964)";"Do what you want with me";1953;"Fresh Sound";1710930548;1710930691;"https://www.deezer.com/track/142379669";;
"The Volunteered Slaves";"Spaceshipone";"SpaceShipOne";2021;"Day After Music";1710930691;1710931011;;"https://music.apple.com/fr/album/spaceshipone/1570269909?i=1570269927&uo=4";"https://open.spotify.com/track/093LtCB0J5k2ZDCIZ4Nxxi"
"Ramsey Lewis";"Solar wind";"Hummingbird";1974;"WOUNDED BIRD RECORDS";1710931008;1710931297;;"https://music.apple.com/fr/album/hummingbird/870951368?i=870951377&uo=4";"https://open.spotify.com/track/2UClBJNVQRZKyqqzA3nn1f"
"Nils Landgren";"The moon the stars and you";"Oh you crazy moon";2011;"ACT";1710931295;1710931505;;"https://music.apple.com/fr/album/oh-you-crazy-moon/455198880?i=455198935&uo=4";"https://open.spotify.com/track/7k8D1zSwWbPZU7m985J0CS"
"Bud Powell";"Time Waits";"Buster Rides Again";1999;"Blue Note";1710931503;1710931832;"https://www.deezer.com/track/513806992";;
"BadBadNotGood";"III";"Confessions";2014;"INNOVATIVE LEISURE";1710931830;1710932129;;"https://music.apple.com/fr/album/confessions/1608119721?i=1608120028&uo=4";"https://open.spotify.com/track/1Sc2RHxyKHMeyCChQTWTnp"
"Ella Fitzgerald";"The Stockholm concert 1966";"Duke's place";1966;"PABLO";1710932125;1710932402;"https://www.deezer.com/track/350019971";;
"Sophie Alour";"Joy";"Joy";2020;"MUSIC FROM SOURCE";1710932400;1710932657;;;"https://open.spotify.com/track/7wr53dJRK4xzv8WfvDaIET"
"Lou Donaldson";"Alligator Bogaloo";"One Cylinder";1967;"CAPITOL";1710932656;1710933060;;;"https://open.spotify.com/track/1kVFYne9ebnXlmyf2wBdVt"
"Tribe From The Ashes";"Tribe from the ashes";"Come closer";2021;"LABEL BLEU";1710933042;1710933275;;;
"John Coltrane";"Transition";"Dear lord";1965;"IMPULSE";1710933274;1710933607;;"https://music.apple.com/fr/album/dear-lord/1445098823?i=1445098839&uo=4";"https://open.spotify.com/track/4GibdmpjKroUfLrbBVdWNp"
"Popa Chubby";"The catfish";"Wes is Mo";2016;"VERYCORDS";1710933604;1710934025;;;
"Sammy Turner";"Lavender blue moods";"Symphony";1959;"SOUL JAM RECORDS";1710934023;1710934177;;;
"Adrien Chicot";"Babyland";"Cala Carbo";2021;"Gaya";1710934177;1710934524;"https://www.deezer.com/track/1466170322";"https://music.apple.com/fr/album/cala-carbo/1581444969?i=1581444977&uo=4";"https://open.spotify.com/track/3qMs7SFUZDQYLRxOydzOfE"
"Earl Hines";"Earl Hines / Budd Johnson";"Just in time";1974;"BLACK/BL";1710934519;1710934908;;;
"Rebecca Martin";"Twain";"On a rooftop";2013;"SUNNYSIDE COMMUNICATIONS";1710934907;1710935096;;"https://music.apple.com/fr/album/on-a-rooftop/597066225?i=597066238&uo=4";"https://open.spotify.com/track/4rEgATRDPHa5MNBo6Chv9p"
"Thelonious Monk Quintet";"Les Liaisons Dangereuses 1960";"Rhythm-a-ning";1960;"SAM RECORDS";1710935092;1710935437;;;
"Portico Quartet";"Isla";"Line";2010;"REAL WORLD";1710935434;1710935877;"https://www.deezer.com/track/99268466";;
"Chet Baker";"Chet Baker sings";"My buddy";1956;"PACIFIC JAZZ";1710935875;1710936072;;"https://music.apple.com/fr/album/my-buddy/726137633?i=726138952&uo=4";
"Kevin Braci Quintet";"Au croisement des mondes";"Danse macabre";2021;"DELUGE";1710936072;1710936369;;"https://music.apple.com/fr/album/danse-macabre/1584213387?i=1584213809&uo=4";"https://open.spotify.com/track/4mkam2rzsRb9UulwMvkBsA"
"Herb Ellis";"Ellis in Wonderland";"Sweetheart blues";1955;"Verve";1710936369;1710936650;;;
"Kokoroko";"Carry me home";"Carry me home";2020;"BROWNSWOOD RECORDINGS";1710936649;1710936969;"https://www.deezer.com/track/1302664622";"https://music.apple.com/fr/album/carry-me-home/1561232467?i=1561232469&uo=4";"https://open.spotify.com/track/2mgIoFgItGxpYAQw5j1ShQ"
"Jack Bruce";"Things we like";"Born to be blue";1970;"POLYDOR";1710936964;1710937225;"https://www.deezer.com/track/2524579";"https://music.apple.com/fr/album/born-to-be-blue/1444077669?i=1444078432&uo=4";"https://open.spotify.com/track/3VMYd3QXaDGzLTMMRK7XiN"
"Monty Alexander";"Harlem-Kingston express";"Running Away";2011;"V.O";1710937222;1710937619;;"https://music.apple.com/fr/album/running-away/1288710054?i=1288710902&uo=4";
"Doris Day";"BD Music presents the girls";"You Won't Be Satisfied";1946;"BDMUSIC";1710937618;1710937802;"https://www.deezer.com/track/87137953";;
"Hadouk Trio";"Air Hadouk";"Tricotin";2010;"NAIVE";1710937802;1710938320;"https://www.deezer.com/track/505067002";"https://music.apple.com/fr/album/tricotin/355846728?i=355847047&uo=4";"https://open.spotify.com/track/0edKwmzfnTRU7y7lGGNIX9"
"Enrico Pieranunzi";"Don't forget the poet";"Don't forget the poet";1999;"CHALLENGE RECORDS";1710938316;1710938606;"https://www.deezer.com/track/1586933322";;
"CAB";"Caraibes - Afrique - Brésil";"To Bâle";2014;"CHANT DU MONDE";1710938602;1710938822;;;
"Sonny Clark";"Cool Struttin'";"Blue minor";1958;"Blue Note";1710938819;1710939437;;"https://music.apple.com/fr/album/blue-minor/892096849?i=892096852&uo=4";
"Julia Kent";"Character";"Tourbillon";2013;"LEAF";1710939434;1710939624;;"https://music.apple.com/fr/album/tourbillon/1385087345?i=1385087439&uo=4";"https://open.spotify.com/track/3WgxzASBjmnBAfiU0RpCMu"
"Meredith D Ambrosio";"I Got Lost in his Arms";"Alone together";1978;"Sunnyside Communications";1710939624;1710939805;;;
"Samuel Strouk";"Nouveaux mondes";"Lazimpat rag";2021;"Well Done Simone";1710939803;1710940050;;"https://music.apple.com/fr/album/lazimpat-rag/1718560739?i=1718561357&uo=4";"https://open.spotify.com/track/0YDWQORbzi4KgMggv3O5QC"
"Serge Prokofiev (Compositeur)";"Pierre et le loup op 67";"Pierre et le loup op 67 : Finale - Parade et Pierre joue quelques blues - arrangement pour orchestre de jazz";1966;"Verve";1710940044;1710940331;;;
"Lisa Ekdahl";"Grand songs";"Wish you were gay";2021;"MASTERWORKS / SONY";1710940327;1710940513;"https://www.deezer.com/track/1469586992";"https://music.apple.com/fr/album/wish-you-were-gay/1580339829?i=1580339832&uo=4";"https://open.spotify.com/track/6tD34RjtffptSTGpIOp9EB"
"Henri Texier Azur Quartet";"Mosaïc man";"Russ and Jim";1998;"LABEL BLEU";1710940511;1710940878;;;
"Simon Mary (Compositeur, Contrebasse)";"Missidah";"Missidah dance";2021;"CEPAZZ";1710940876;1710941135;;;
"Jackie & Roy";"Bits & pieces and free & easy";"Stopping the Clock";2008;"FRESH SOUND";1710941134;1710941379;;;
"Jean Philippe Fanfant";"Since 1966";"Left to right";2021;"KLARTHE";1710941379;1710941688;;;
"Frank Morgan";"Mood Indigo";"Mood indigo";1989;"Island";1710941685;1710942044;"https://www.deezer.com/track/1761109737";"https://music.apple.com/fr/album/mood-indigo/1443066974?i=1443067571&uo=4";"https://open.spotify.com/track/5SspiTRC07JfkWaAiLP6B3"
"Kurt Elling";"Superblue";"Where to find it";2021;"EDITION RECORDS";1710942039;1710942325;;;"https://open.spotify.com/track/2Ys6vNl71bUluM5JhwgrDh"
"Herbie Hancock";"Takin off";"Empty pockets";1962;"BLUE NOTE";1710942321;1710942690;"https://www.deezer.com/track/1367555952";"https://music.apple.com/fr/album/empty-pockets/716076361?i=716076687&uo=4";
"Flukten";"Velkommen håp";"Budeie Boogie";2021;"Odin";1710942689;1710942993;;"https://music.apple.com/fr/album/budeie-boogie/1574907685?i=1574907758&uo=4";"https://open.spotify.com/track/65dYt3kmAs25HHI4UmGdx0"
"Della Reese";"Dancefloor Jazz / Vol 11 : Right now";"I got the blues";1968;;1710942992;1710943199;;;
"Dominique Fillon Augmented Trio";"Awaiting Ship";"Heritage";2020;"Klarthe";1710943199;1710943445;;;
"Kenny Burrell";"Introducing Kenny Burrell";"K.b. blues";1956;"BLUE NOTE";1710943442;1710943825;;"https://music.apple.com/fr/album/k-b-blues/723544259?i=723545301&uo=4";
"Freddy Cole";"My mood is you";"They didn’t believe me";2018;"HIGHNOTE RECORDS";1710943821;1710944090;"https://www.deezer.com/track/490071482";"https://music.apple.com/fr/album/they-didnt-believe-me/1374984515?i=1374986167&uo=4";"https://open.spotify.com/track/79RV6oyWe65UArzbRnZeeT"
"The Cinematic Orchestra";"Motion";"Durian";1999;"NINJA TUNE";1710944087;1710944507;;;
"Oded Tzur";"Translator's note";"The whale song";2017;"ENJA";1710944504;1710944948;;;"https://open.spotify.com/track/78T1GRG3rCmO2JjMH6OavI"
"Little Esther Phillips";"Women in love/ Vol.1";"Misery";1950;"WAGRAM";1710944945;1710945108;;;
"Joe Armon Jones";"Starting today";"Mollison dub";2018;"BROWNSWOOD RECORDINGS";1710945107;1710945721;;;
"Toby Cooper";"Praise poems / Vol. 3";"The guru";1974;"TRAMP RECORDS";1710945718;1710945936;;;
"Guillermo Klein";"Carrera";"Moreira";2012;"SUNNYSIDE COMMUNICATION";1710945936;1710946315;;"https://music.apple.com/fr/album/moreira/517135827?i=517136913&uo=4";
"Gerry Mulligan Sextet";"Night lights";"Night lights";1963;"MERCURY";1710946309;1710946600;;"https://music.apple.com/fr/album/night-lights/1446912991?i=1446912998&uo=4";"https://open.spotify.com/track/5eVERkVvJKBgV2FziCoLDE"
"Huw Marc Bennett";"Tresilian bay";"Afon colhuw";2020;"ALBERT'S FAVOURITE";1710946597;1710946758;"https://www.deezer.com/track/997502852";"https://music.apple.com/fr/album/afon-colhuw/1565197695?i=1565197915&uo=4";"https://open.spotify.com/track/616eUIxvPChkGSex24pHL2"
"Lucy Reed";"This is Lucy Reed/Complete recordings 1950-1957";"There's a boat dat's leavin' soon for new york";1957;"FRESH SOUND RECORDS";1710946758;1710946906;;;
"Eric Seva";"Mother of Pearl";"Bismop";2020;"LES Z'ARTS DE GARONNE";1710946906;1710947141;;"https://music.apple.com/fr/album/bismop/1531328755?i=1531329406&uo=4";"https://open.spotify.com/track/0QIDjimPpb8JfJVc6oO0u4"
"Herbie Hancock";"Inventions & dimensions";"Mimosa";1988;"BLUE NOTE";1710947141;1710947658;;;
"Carolina Katun";"Al silencio";"When I am laid";2018;"JAZZLAND";1710947657;1710947897;;;
"Bobbi Humphrey";"Flute in";"Set us free";1971;"BLUE NOTE";1710947892;1710948238;;"https://music.apple.com/fr/album/set-us-free/1396328108?i=1396328993&uo=4";"https://open.spotify.com/track/0nZ6n0ai93TVhSLhbHF8F0"
"Omer Avital";"Abutbul Music";"Eser (Middle Eastern Funk)";2016;"Jazz Village";1710948235;1710948647;"https://www.deezer.com/track/119462564";"https://music.apple.com/fr/album/eser-middle-eastern-funk/1085097966?i=1085098342&uo=4";"https://open.spotify.com/track/45PjekL2Qh9KtfTZ46zyeP"
"Robert Mitchum";"Calypso is like so";"Not me";1957;"CAPITOL";1710948649;1710948829;;"https://music.apple.com/fr/album/not-me/714959852?i=714959938&uo=4";"https://open.spotify.com/track/1sVFwU2JozlqE9zRcMEqMA"
"Michael Wollny Trio";"Oslo";"Nuits blanches";2018;"ACT MUSIC & VISION";1710948829;1710949130;;;
"George Mraz Trio";"The Best Of AghaRTA";"Beautiful Love";1993;"ARTA RECORDS";1710949126;1710949444;;;
