"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Blue Mitchell";"Blue's mood";"I'll close my eyes";1994;"RIVERSIDE";1711274266;1711274617;"https://open.spotify.com/track/76oiXjka5OXZJ4eqSQIDfY";;
"Takuya Kuroda";"Midnight crisp";"It's okay";2022;"FIRST WORD RECORDS";1711274617;1711274979;"https://open.spotify.com/track/1ao6KfsCQsl2zn55hTMtpd";"https://music.apple.com/fr/album/its-okay/1636423039?i=1636423042&uo=4";
"Lettuce";"Didn't you";"Didn't you";2023;"PRIMARY WAVE MUSIC";1711274975;1711275198;"https://open.spotify.com/track/51RS0cE9EwwWCS3ii2KVxD";;
"Count Basie & His Orchestra";"Basie on the Beatles";"Penny lane";1969;"OCIUM";1711275194;1711275388;;;
"Clover Trio";"Harvest";"Imagine";2018;"GREEN NOSE PRODUCTIONS";1711275386;1711275795;"https://open.spotify.com/track/0mciwzrxAnPh3MSyeKsYNA";"https://music.apple.com/fr/album/imagine/1330968679?i=1330968865&uo=4";"https://www.deezer.com/track/446089632"
"Julie London";"Julie is her name";"Can't help lovin' dat man";1955;"EMI";1711275793;1711275981;;;"https://www.deezer.com/track/1098735482"
"Rachael & Vilray";"I love a love song !";"Why do I ?";2023;"NONESUCH RECORDS";1711275980;1711276160;;;
"Nat King Cole";"Café de Flore (Rendez-vous à Saint-Germain-des-Prés) / vol. 2";"L-O-V-E (version française)";1964;"DISCOGRAPH";1711276160;1711276309;;;
"Chet Baker";"Baby breeze";"I wish you love";1964;"BABBY SCOTT";1711276308;1711276497;;;"https://www.deezer.com/track/935296192"
"Eric Le Lann";"Eric Le Lann joue Piaf et Trenet";"Ménilmontant";1990;"MUSIDISC";1711276496;1711276825;;;
"Olivier Temime";"Inner Songs";"Golden lady";2022;"Day After Music";1711276823;1711277172;;;"https://www.deezer.com/track/2095845037"
"Sasha Dobson";"Girl Talk";"These boots are made for walkin'";2021;"SASHA DOBSON";1711277168;1711277446;"https://open.spotify.com/track/3dZPT79DP95pNh1IyWopQR";;
"Gabor Szabo";"Bacchanal & 1969";"Some velvet morning";1968;"Cherry red records";1711277444;1711277765;"https://open.spotify.com/track/2ulWlLJoPBhdShzrICcmiD";"https://music.apple.com/fr/album/some-velvet-morning/102859798?i=102859432&uo=4";
"Lee Hazlewood";"Farmisht, flatulence, origami, arf!!! and me";"Am i blue";1999;"SMELLS LIKE RECORDS";1711277764;1711277891;;;
"Stephane Grappelli";"BD Music presents Stéphane Grappelli";"You took advantage of me";1954;"BDMUSIC";1711277888;1711277999;;;
"Samy Thiebault";"Awé !";"The sooner the better";2021;"Gaya";1711278001;1711278334;;;
"Johnny Griffin";"Jazz Magazine-Jazzman / L'âge d'or du jazz";"Soft and furry";1961;"WAGRAM MUSIC";1711278332;1711278551;"https://open.spotify.com/track/58tYsVMG7jgBf7m5AXoXCY";"https://music.apple.com/fr/album/soft-and-furry/931954633?i=931963963&uo=4";
"Allen Toussaint";"Songbook";"Lipstick traces";2013;"ROUNDER";1711278549;1711278667;"https://open.spotify.com/track/2x3rFVjv1LAv9n9GILXwnC";"https://music.apple.com/fr/album/lipstick-traces/1442937904?i=1442938091&uo=4";"https://www.deezer.com/track/70561779"
"Marcus Roberts";"As serenity approaches";"Slippin' and slidin'";1992;"BMG";1711278664;1711278830;;;
"Brady Winterstein (Guitare)";"Happy together";"Suicide is painless";2011;"PLUS LOIN MU";1711278829;1711279056;;;
"Sathima Bea Benjamin";"A morning in Paris";"Your love has faded";1963;"ENJA";1711279052;1711279209;;;"https://www.deezer.com/track/11378912"
"Julian & Roman Wasserfuhr";"Running";"Behind blue eyes";2013;"ACT MUSIC";1711279206;1711279612;"https://open.spotify.com/track/2elPJufvCvQV5y3pILRZvL";"https://music.apple.com/fr/album/behind-blue-eyes/673410580?i=673410877&uo=4";"https://www.deezer.com/track/69093978"
"Ramsey Lewis";"Golden hits";"Slipping into darkness";1972;"Columbia";1711279610;1711279978;;;"https://www.deezer.com/track/457782672"
"Dee Dee Bridgewater";"Red earth / A malian journey";"Compared to what";2007;"UNIVERSAL";1711279979;1711280297;;;
"Willie Bobo";"Do that thing/Guajira";"Grab your hat";1963;"VAMPISOUL";1711280296;1711280448;"https://open.spotify.com/track/68ruOETj1OcHQrUscYabVR";"https://music.apple.com/fr/album/grab-your-hat/1183535395?i=1183535699&uo=4";"https://www.deezer.com/track/138454207"
