"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Monika Kabasele";"Grécofuturisme";"Lost somewhere";2023;"ART DISTRICT";1711706395;1711706734;"https://music.apple.com/fr/album/lost-somewhere/1690269035?i=1690269045&uo=4";"https://www.deezer.com/track/2304592645";"https://open.spotify.com/track/1Nblf9JgS22Sy2wH0XG0cT"
"Nicolas Dary";"Le tourment de l'ogre";"Dialogue avec un cormoran";2023;"AUTOPRODUCTION";1711706734;1711706842;"https://music.apple.com/fr/album/dialogue-avec-un-cormoran/1690293040?i=1690293260&uo=4";"https://www.deezer.com/track/2305271525";"https://open.spotify.com/track/5CsIMty3uC0fjjjfGUJ5CK"
"Archie Shepp";"Left alone revisited";"Lady sings the blues";2002;"ENJA";1711706841;1711707044;;;"https://open.spotify.com/track/4HDO8eHx6qYdPudF4WBWUT"
"Guillaume De Chassy";"Songs from the last century";"I'll walk alone (version vocale)";2009;"BEE JAZZ";1711707041;1711707165;;;
"Billy Taylor";"Taylor made jazz";"Cu-blu";1959;"FRESH SOUND";1711707162;1711707422;"https://music.apple.com/fr/album/cu-blu/909449929?i=909449977&uo=4";"https://www.deezer.com/track/102417716";
"Evan Arntzen";"Countermelody";"Put 'em down blues";2021;"DOT TIME RECORDS";1711707420;1711707747;"https://music.apple.com/fr/album/put-em-down-blues/1554555541?i=1554555759&uo=4";;"https://open.spotify.com/track/04tGtoI8f4wPGu5rJmnCeB"
"Cait Jones & Mathieu Najean";"Outta The Blue With You";"Along the river";2023;"ZOOT";1711707750;1711708034;;;
"Ella Fitzgerald";"Verve : the sound of America";"Stars fell on Alabama";1956;"VERVE";1711708033;1711708243;;;"https://open.spotify.com/track/1ZWb3KgGTyoSdM6Qm85OXH"
"JaRon Marshall";"Earth sounds";"Dungeons";2023;"THE VAULT";1711708242;1711708528;"https://music.apple.com/fr/album/dungeons/1670438377?i=1670438981&uo=4";"https://www.deezer.com/track/2140262897";"https://open.spotify.com/track/3XDnyP8KjB2Xhimj3YOZ6J"
"Jimi Prasad Orchestra";"Help with your heart";"Laugh up";2023;"RAW TAPES";1711708527;1711708705;"https://music.apple.com/fr/album/laugh-up/1686488424?i=1686488444&uo=4";;"https://open.spotify.com/track/0hTty8X57SYsLYsOTcrBsD"
"Miles Davis";"You're under arrest";"Time after time";1985;"COLUMBIA";1711708704;1711708918;"https://music.apple.com/fr/album/time-after-time/160760626?i=160761013&uo=4";;
"George Benson";"The very best of";"Nature boy";1977;"WB";1711708920;1711709173;"https://music.apple.com/fr/album/nature-boy/265609052?i=265609058&uo=4";;"https://open.spotify.com/track/2TeYqtSnWGOeo6hbhybmng"
"John Scofield";"Hand jive";"Do like Eddie";1993;"B NOTE";1711709170;1711709656;;;
"Les McCann";"Swiss movement";"Compared to what";1969;"ATLANTIC";1711709656;1711710003;;;
"Yakir Arbib";"Three Colors";"Juan Villaroel";2021;"JMS";1711709999;1711710423;;;
"Horace Silver";"Blowin' the blues away";"Blowin' the blues away";1959;"BLUE/NOT";1711710417;1711710697;;"https://www.deezer.com/track/20741461";
"Ben Sidran";"Don't cry for no hipster";"Back Nine";2012;"BONSAI MUSIC";1711710695;1711710964;"https://music.apple.com/fr/album/back-nine/574449888?i=574450015&uo=4";;"https://open.spotify.com/track/4MFEEJCj4L5BbTSTqlH3pm"
"Yusef Lateef";"The doctor is in and out";"Hellbound";1976;"ATLANTIC";1711710961;1711711355;"https://music.apple.com/fr/album/hellbound/64748638?i=64748284&uo=4";;
"Stefano Di Battista";"Woman's land";"Josephine Baker";2011;"DISCOGRAPH";1711711350;1711711679;;;
"Nat King Cole";"The complete after midnight sessions";"Just you, just me";1956;"CAPITOL";1711711674;1711711852;;"https://www.deezer.com/track/791684522";
"Branford Marsalis";"Romare bearden revealed";"B's Paris blues";2004;"ROUNDER";1711711853;1711712118;;"https://www.deezer.com/track/2461666";
"Idris Muhammad";"Power of soul";"Piece of mind";1974;"CTI RECORDS";1711712112;1711712669;"https://music.apple.com/fr/album/piece-of-mind/298170730?i=298170971&uo=4";;"https://open.spotify.com/track/5TP9byf9FFaFxdd92tFyFp"
"Lady Blackbird";"Black Acid Soul";"Nobody's sweetheart";2021;"BMG Rights Management (UK) LTD.";1711712664;1711712880;;"https://www.deezer.com/track/1455427612";"https://open.spotify.com/track/58h6oLJRYWp70wRXzIDyqv"
"Conte Candoli";"Coast to coast";"Full count";1955;"FRESH SOUND RECORDS";1711712877;1711713260;;"https://www.deezer.com/track/99984790";
"Florian Pellissier Quintet";"Cap de Bonne Espérance";"Canto pa elegua";2016;"HEAVENLY SWEETNESS";1711713258;1711713528;"https://music.apple.com/fr/album/canto-pa-elegua/1084335473?i=1084335487&uo=4";"https://www.deezer.com/track/119238810";"https://open.spotify.com/track/1LK4ldd92z2yPUQLmJkvn8"
"Michael Franks";"Sleeping gypsy";"Don't be blue";1977;"WARNER BROS";1711713524;1711713728;"https://music.apple.com/fr/album/dont-be-blue/484766300?i=484766306&uo=4";"https://www.deezer.com/track/14954645";"https://open.spotify.com/track/1HXEOFExxwk0aVofZbXJbm"
"The Source";"... but swinging doesn't bend them down";"Big shuffle";2021;"ODIN";1711713728;1711713918;"https://music.apple.com/fr/album/big-shuffle/1589100922?i=1589101771&uo=4";"https://www.deezer.com/track/1514460072";"https://open.spotify.com/track/6aOsGkkBkND5x6b2p0oArv"
"Dorothy Ashby";"Afro-harping";"Life has its trials";1968;"CADET";1711713917;1711714183;"https://music.apple.com/fr/album/life-has-its-trials/1443481982?i=1443482182&uo=4";"https://www.deezer.com/track/2153813";"https://open.spotify.com/track/6n79nbHuBnnA3PrUCkhUWG"
"Allan Harris";"Black bar jukebox";"Miami";2015;"MEMBRAN INTERNATIONAL";1711714180;1711714486;"https://music.apple.com/fr/album/miami/952127540?i=952127558&uo=4";;"https://open.spotify.com/track/70zx5NwUOvUDyYYWVtKV5N"
"Mulgrew Miller";"With our own eyes";"Dreamin";1994;"RCA/BMG";1711714481;1711714864;;;
"Yaron Herman";"Follow the white rabbit";"The mountain in G minor";2010;"ACT";1711714859;1711715236;;;"https://open.spotify.com/track/613N2PbhDa9caQoLE2oCnh"
"Betty Carter";"Ladies in love / Classees X";"I could write a book";1955;"NOCTURNE";1711715235;1711715391;"https://music.apple.com/fr/album/i-could-write-a-book/618992313?i=618994005&uo=4";;
"Ibrahim Maalouf";"Red & black light";"Essentielles";2015;"UNIVERSAL MUSIC FRANCE";1711715391;1711715607;"https://music.apple.com/fr/album/essentielles/1023394468?i=1023394510&uo=4";"https://www.deezer.com/track/104791422";"https://open.spotify.com/track/2UzEubzVXydWGd3Uc2Jslv"
"Volker Kriegel";"Zoom";"Riff for rent";1970;"MOTOR MUSIC";1711715603;1711715837;;;
"Gregory Porter";"Water";"1960 what?";;"Motéma";1711715835;1711716574;"https://music.apple.com/fr/album/1960-what-edit/1586824927?i=1586824950&uo=4";"https://www.deezer.com/track/1670482682";"https://open.spotify.com/track/2jVCiPaxFCS4gl6vNaDp9S"
"Count Basie";"Straight Ahead";"Hay Burner";1968;"GRP";1711716573;1711716827;;"https://www.deezer.com/track/2605707502";
"Eric Legnini";"Miss soul";"Sugar ray";2006;"LABEL BLEU";1711716826;1711717050;;;
"Nina Simone (Voix, Piano)";"After Hours";"Lilac Wine";1995;"Verve";1711717049;1711717299;;"https://www.deezer.com/track/2144435507";"https://open.spotify.com/track/6Y5LA4sn0Z2lxvrYqNgF60"
"Edouard Ferlet";"Sun dog";"Sun dog";2021;"MELISSE";1711717299;1711717514;"https://music.apple.com/fr/album/sun-dog/1598482618?i=1598482870&uo=4";"https://www.deezer.com/track/2526937761";"https://open.spotify.com/track/4n4EALhlcYv1tsc45asW3M"
"Dave Brubeck";"The essential";"In your own sweet way";1956;"CBS";1711717510;1711717807;"https://music.apple.com/fr/album/in-your-own-sweet-way/268558063?i=268558104&uo=4";"https://www.deezer.com/track/115902062";"https://open.spotify.com/track/5BlwZNqCnJDhHuftFJSSzZ"
"Stacey Kent";"In love again";"Thou swell";2002;"CANDID";1711717801;1711718088;"https://music.apple.com/fr/album/thou-swell/1599388520?i=1599388829&uo=4";;
"Tommy Flanagan";"Jazz poet";"Raincheck";1989;"Timeless";1711718085;1711718380;"https://music.apple.com/fr/album/raincheck/288123209?i=288123369&uo=4";"https://www.deezer.com/track/1163363302";"https://open.spotify.com/track/6xKrilmBUKENVFpbXN3W1z"
