"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Eddie Jefferson";"The Main Man";"Jeannine";1996;"Inner City";1711965378;1711965604;"https://open.spotify.com/track/0f04uuzrZeEbzsBn4goWG4";;
"Ramona Horvath";"Lotus blossom";"Strange hats";2017;"Black & Blue";1711965604;1711965953;;;
"Juana Schaeffer";"Blossom in Paris";"Surrey with the fringe on top";2023;"JUANA SCHAEFFER";1711965951;1711966219;"https://open.spotify.com/track/6pGKd6YWGVIGDfeewYgf1m";"https://www.deezer.com/track/2380034055";
"Blossom Dearie";"The pianist";"They can't take that away from me";1955;"GITANES JAZZ PRODUCTIONS";1711966211;1711966361;;;
"Makaya McCraven";"Deciphering the message";"Monaco (aka """"monte negro"""")";2021;"BLUE NOTE";1711966360;1711966496;;;
"Jan Van Duikeren & Fingerprint";"Pleasure as usual";"Leave me alone";2023;;1711966495;1711966633;;;
"Stuff";"The right stuff";"Happy farms";1996;"WARNER BROS";1711966629;1711966850;"https://open.spotify.com/track/3tOHKSakxK0ILzyFTDPeNU";;
"Herbie Hancock";"Gershwin's world";"St Louis Blues";1998;"VERVE";1711966845;1711967193;;;
"Scott Tixier";"Cosmic adventure";"Misty";2016;"SUNNYSIDE";1711967192;1711967451;"https://open.spotify.com/track/3rh6Lfizgdx9Grrq5MI8oO";;"https://music.apple.com/fr/album/misty/1132709563?i=1132709747&uo=4"
"Django Reinhardt";"Swing from Paris";"I wonder where my baby is tonight (take1)";;"FREMEAUX ET ASSOCIES";1711967448;1711967628;;;
"Aurore Voilque";"Un soir d'été";"Il suffirait de prèsque rien (feat. Sanseverino)";2020;"AVANT-SCENE";1711967627;1711967798;;;
"Ruben Fox";"Introducing... Ruben Fox";"Django's Lullaby (feat. Samara Joy)";2021;"RUFIO RECORDS";1711967797;1711967993;;;"https://music.apple.com/fr/album/djangos-lullaby-feat-samara-joy/1571492044?i=1571492355&uo=4"
"Bill Frisell";"When you wish upon a star";"Once upon a time in the west (theme)";2016;"OKEH";1711967990;1711968238;"https://open.spotify.com/track/26WkMnl3RhZVfXhu89nVGF";;"https://music.apple.com/fr/album/once-upon-a-time-in-the-west-theme/1062162452?i=1062162983&uo=4"
"Stefano Di Battista";"Morricone stories";"The good, the bad and the ugly (Le Bon, la brute et le truand)";2021;"WARNER MUSIC";1711968235;1711968444;;;
"Roy Hargrove S Crisol";"Habana";"Una mas";1997;"VERVE";1711968437;1711968922;;;
"Kokoroko";"Could we be more";"We give thanks";2022;"BROWNSWOOD RECORDINGS";1711968921;1711969142;"https://open.spotify.com/track/1whO1RzuS19yG358T4d8G6";"https://www.deezer.com/track/1822656787";"https://music.apple.com/fr/album/we-give-thanks/1614649802?i=1614650358&uo=4"
"Kevin Hays & Lionel Loueke";"Hope";"Twins";2019;"Edition";1711969138;1711969351;;;"https://music.apple.com/fr/album/twins/1468973507?i=1468973744&uo=4"
"Keith Jarrett";"Keith Jarrett : Selected recordings ECM";"Late Night Willie";;"ECM";1711969349;1711969858;"https://open.spotify.com/track/61Aqo9yEQhtOOlcIpYCA1Q";;
"Dave Brubeck";"Kool jazz live from Midem";"Blue rondo";1959;"COLUMBIA";1711969850;1711970254;;;
"Julie London";"Julie London";"Girl talk";1956;"CAPITOL";1711970250;1711970408;;;
"Steven Feifke (Chef d'orchestre)";"Catalyst";"Tricotism";2023;"LA RESERVE RECORDS";1711970407;1711970806;"https://open.spotify.com/track/3OSORyUEj5wAAzOGbApFpf";;
"Jimmy Smith";"Bashin'";"Walk on the wild side";1962;"VERVE";1711970805;1711971158;"https://open.spotify.com/track/6QRUaXpnmL1SWaAtlVEtML";;"https://music.apple.com/fr/album/walk-on-the-wild-side/966786844?i=966787061&uo=4"
"Terrace Martin & Curly";"Curly";"Bromali (feat. Robert 'Sput' Searight, Larry Goldings & Nir Felder)";2023;"BMG";1711971156;1711971532;;;
"Robert Glasper Experiment";"Black radio 2";"Let it ride (feat. Norah Jones)";2013;"BLUE NOTE";1711971529;1711971841;;;"https://music.apple.com/fr/album/let-it-ride-feat-norah-jones/1440813358?i=1440814170&uo=4"
"Jazzbois";"Kalifornia";"Kalifornia";2023;"BLUNT SHELTER RECORDS";1711971828;1711972041;"https://open.spotify.com/track/7KC18XfXUAbDv5Ycn99ZjX";"https://www.deezer.com/track/2269252147";"https://music.apple.com/fr/album/kalifornia/1684258938?i=1684258961&uo=4"
"Flora Purim";"Carry on";"Beijo partido (broken kiss)";1979;"WOUNDEB.BIRD";1711972039;1711972317;;;"https://music.apple.com/fr/album/beijo-partido-broken-kiss/276966308?i=276966669&uo=4"
"Oscar Brown Jr";"Dancefloor Jazz / Vol 11 : Right now";"Barra limpa";1966;;1711972315;1711972500;;;
"Fraser Smith Quartet";"Tip top !";"Out into the daylight";2023;"UBUNTU MUSIC";1711972496;1711972805;"https://open.spotify.com/track/0SsEFTrJxQ8sEsvvkSFQdP";;"https://music.apple.com/fr/album/out-into-the-daylight/1663498005?i=1663498817&uo=4"
"Annie Ross";"A gasser!";"Lucky day";1959;"CAPITOL";1711972800;1711972932;"https://open.spotify.com/track/7DSx38pRMF8STLyJzRFTOh";;
"Shorty Rogers";"Complete Quintet Sessions 1954-1956";"Peals";1955;"Fresh Sound Records";1711972931;1711973239;;;
"Tobias Wiklund Quartet";"Silver needle";"Molnen hopar sig";2022;"STUNT";1711973238;1711973700;;;
"Kurt Elling";"Man in the air";"Resolution";2003;"BLUENOTE";1711973697;1711974107;"https://open.spotify.com/track/4bFoN9qjKaks6v9akZxfyE";;"https://music.apple.com/fr/album/resolution/724527810?i=724529122&uo=4"
