"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Action Bronson";"Only for dolphins";"Cliff Hanger";2020;"LOMA VISTA RECORDIN";1711965599;1711965735;"https://music.apple.com/fr/album/cliff-hanger/1528258342?i=1528258756&uo=4";"https://www.deezer.com/track/1084164622";"https://open.spotify.com/track/6EpGSeInzJgZVDVgfpMn7h"
"Dub Syndicate";"The royal variety show / Best of";"Fire Burning";;"ON-U SOUND";1711965733;1711965979;"https://music.apple.com/fr/album/fire-burning-version/1529041660?i=1529042117&uo=4";"https://www.deezer.com/track/1060672682";"https://open.spotify.com/track/7EIkOtXSbc61CmNGWGX2sR"
"Keith Hudson";"Rasta communication";"Rasta country";1978;"GREENSLEEVES RECORDS";1711965977;1711966198;;"https://www.deezer.com/track/18227536";"https://open.spotify.com/track/4N6S2YjZduyOL8Rb9n8wZz"
"King Cool";"Jamaican soul";"I heard it through the grapevine";1993;"VOGUE";1711966188;1711966396;;;
"Talisman";"Nothing change : the best of Talisman 1977-2018";"Hey yout'";2018;"SUGAR SHACK RECORDS";1711966385;1711966640;;;
"Eric Morris";"Sound system : the story of jamaican music / CD3";"No more teardrops";2012;"ISLAND";1711966640;1711966770;;"https://www.deezer.com/track/2304535315";
"Everton Blender";"Morgan heritage family and friends";"Power and glory";2002;"HERITAGE MUSIC GROUP";1711966769;1711966972;;;
"Faianatur";"Marseille reggae all stars";"C'est la guerre";2002;"MAGNETIC LAB";1711966967;1711967155;;;
"Ranking Toyan";"How the West Was Won";"Big showdown";;"GREENSLEEVES RECORDS";1711967154;1711967302;;;
"Clutchy Hopkins";"Music is my medicine";"Lord kenji";2009;"UBIQUITY";1711967505;1711967691;;;
"Rico Rodriguez";"Original soundtrack from Countryman";"Ramble";1982;"MANGO";1711967686;1711967871;;"https://www.deezer.com/track/2460950";
"Sly & Robbie";"Prince Jammy presents : """" A dub extravaganza""""";"Tonight is the night";1987;"CSA RECORDS";1711967858;1711968093;;;
"Taj Weekes & Adowa";"To all my relations";"Son of a bitch";2018;"JATTA RECORDS";1711968080;1711968264;"https://music.apple.com/fr/album/son-of-a-bitch/1471069042?i=1471069134&uo=4";;
"Sound Dimension";"Mojo rocksteady beat";"Mojo rocksteady";2007;"SOUL JAZZ RECORDS";1711968254;1711968424;;;
"Stanley Beckford";"Plays mento";"Hold My Hand";2002;"BARCLAY";1711968419;1711968581;;;
"The Wailing Souls";"Wailing souls at channel one";"Back biter (aka back slider) - extended 12"""" disco mix";2003;"PRESSURE SOUNDS";1711968579;1711968931;;;
