"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"deezer";"itunes"
"Mike Love";"The change I'm seeking";"Permanent holiday";2013;"LOVE NOT WAR RECORDS";1712138232;1712138714;;;
"Alton Ellis & The Lipsticks";"Trojan christmas box set/Noel";"Merry merry christmas";1990;;1712138706;1712138831;;;
"Suga Roy & The Fireball Crew";"Love my foundation";"Boo ba boom";2022;"FIRE BALL";1712138828;1712139016;"https://open.spotify.com/track/15ycE6gerwGn4o6rhf3lzW";;
"Raggasonic";"BOF / Didier";"La ramène pas";1996;"LA BANDE SON";1712139014;1712139182;;"https://www.deezer.com/track/3301163";
"Tapper Zukie";"Escape from hell";"Massacra dub";2016;"JAMAICAN RECORDINGS";1712139180;1712139391;;;
"Jack Johnson";"In Between Dub";"Breakdown (Nightmares On Wax mix)";2023;"REPUBLIC RECORDS";1712139391;1712139680;;"https://www.deezer.com/track/2300218035";
"Johnny Nash";"Johnny nash super hits";"Cupid";1969;"COLUMBIA";1712139673;1712139875;;"https://www.deezer.com/track/549535";
"Ruddy Thomas";"Lovers Rock";"Just one moment away";1981;"SANCTUARY RECORDS GROUP";1712139874;1712140055;;;
"Inna De Yard";"Family affair";"Tonight";2023;"CHAPTER TWO";1712140052;1712140238;"https://open.spotify.com/track/4PuvtMKB5cjKNEKSVZSZ2V";;
"The Merritonians";"The Merritonians";"What you gonna do";2023;"DOGHOUSE AND BONE RECORDS";1712140236;1712140467;;;
"Wailing Souls";"Down in the dub vaults";"Kingdom rise kindom fall";1980;"VP RECORDS / GREENSLEEVES RECORDS";1712140465;1712140705;;;
"The Skatalites";"The Skatalites : Essential artist collection";"Silver dollar";1964;"BODY & SOUL (BLUES/JAZZ-IMPORT)";1712140705;1712140878;;"https://www.deezer.com/track/12936173";
"Steel Pulse";"Reggae in a Babylon";"Produgal son (live)";1978;"ODEON";1712140875;1712141045;;"https://www.deezer.com/track/10759620";
"Pat Kelly";"Better get ready";"I Started A Joke";1978;"KINGSTON SOUNDS";1712141044;1712141267;;"https://www.deezer.com/track/1653473162";
"Keith & Enid";"If I Had a Pair of Wings : Jamaican Doo Wop, Vol. 1";"Send Me";1960;"DEATH IS NOT THE END";1712141264;1712141454;;;
"Soom T";"The louder the better";"Prophets";2023;"RENEGADE MASTERS / X RAY PRODUCTIONS";1712141451;1712141685;"https://open.spotify.com/track/7HJkZ5vfaZsqp06v0gWVPx";"https://www.deezer.com/track/2337724025";"https://music.apple.com/fr/album/prophets/1693793627?i=1693793643&uo=4"
"Camille Bazbaz";"Sur le bout de la langue";"Tutto va bene";2004;"SAINT GEORGE";1712141685;1712141908;;;
"Lee Scratch Perry";"The black album";"Killing version";2018;"UPSETTER";1712141907;1712142163;;;
"Burning Spear";"Our music";"Try Again";2005;"NOCTURNE";1712142161;1712142453;"https://open.spotify.com/track/4jbKgoBBvQ8rLV8gHxd0mB";"https://www.deezer.com/track/24828141";"https://music.apple.com/fr/album/try-again/318397243?i=318397468&uo=4"
"Gilberto Gil";"The soul of Brazil";"Mardi dix mars";1987;"WEA";1712142451;1712142691;"https://open.spotify.com/track/7FvgVtycEwf1hKporUuhYi";;"https://music.apple.com/fr/album/mardi-dix-mars/1516020028?i=1516020308&uo=4"
"Ben L'Oncle Soul";"Red Mango";"Stay";2022;"ENCHANTE";1712142688;1712142965;"https://open.spotify.com/track/1tuhxHYZTrfefeO5zqfFSm";"https://www.deezer.com/track/1609753912";"https://music.apple.com/fr/album/stay/1603226583?i=1603226960&uo=4"
"Soul Revivers";"On the grove";"Cee Rocka";2022;"ACID JAZZ UK";1712142965;1712143253;"https://open.spotify.com/track/2BhjuO4v7GfL2JUsGIs4sG";"https://www.deezer.com/track/1620102042";
