"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"itunes";"spotify"
"Alborosie";"Specialist presents Alborosie & friends";"Callin' (feat. Michael Rose)";2014;"VP MUSIC";1712311198;1712311434;;;
"Anthony B";"Street knowledge";"Key to heart";2003;"NOCTURNE";1712311423;1712311613;"https://www.deezer.com/track/1116857472";;
"Eek A Mouse";"Eek-Ology";"No wicked can't reign";2013;"GREENSLEEVES RECORDS";1712311609;1712311803;;;
"Mahala Rai Banda";"Balkan reggae (remixes)";"Balkan reggae by Mad Professor";2013;"ASPHALT TANGO RECORDS";1712311795;1712312008;;;
"Skarra Mucci";"& the one love family";"It’s for real (Feat. Horace Andy)";2018;"UNDISPUTED REC";1712312006;1712312240;;;
"Morgan Heritage";"Strictly roots";"Wanna be loved (feat. Eric Rachmany of rebelution)";2015;"CTBC MUSIC";1712312231;1712312483;;;
"Linval Thompson";"Dub landing / Vol. 1";"Attack";2018;"GREENSLEEVES / VP";1712312472;1712312698;;;
"Groundation";"Dub wars";"The mountain";2005;"YOUNG TREE RECORDS";1712312691;1712313052;;"https://music.apple.com/fr/album/the-mountain/1553894115?i=1553894124&uo=4";
"Nazamba";"Nazamba";"Badmind";2019;"DUBQUAKE RECORDS";1712313050;1712313325;;"https://music.apple.com/fr/album/badmind/1686410266?i=1686410854&uo=4";"https://open.spotify.com/track/2sDMBvD06h834caldLQ7aq"
"The Mighty Three'S";"Africa shall stretch forth her hands";"Good dub going on";2003;"MAKASOUND";1712313319;1712313535;;;
"Third World";"More work to be done";"People of a different color";2019;"GHETTO YOUTHS INTERNATIONAL";1712313532;1712313759;;;"https://open.spotify.com/track/3iLjM4tey6gXdLTrdUVWJy"
"Sir Wilson";"Paso firme";"Capital tiene el control";2018;"MAD91";1712313752;1712314033;;;
"Vibronics";"The return of vibronics";"Babylon is dubbing (feat. Madu Messenger)";;"JARRING EFFECTS";1712314031;1712314262;;"https://music.apple.com/fr/album/babylon-is-dubbing-feat-madu-messenger/999033869?i=999034064&uo=4";
"Ward 21";"Smoking reggae";"Ganja smoke";2004;"EMI";1712314257;1712314458;"https://www.deezer.com/track/130853132";;
"Winston Mcanuff";"Nostradamus";"Sunday morning";2008;"MAKASOND";1712314452;1712314807;"https://www.deezer.com/track/2612484632";"https://music.apple.com/fr/album/sunday-morning/1724744107?i=1724744116&uo=4";"https://open.spotify.com/track/3CT6y8weJbpCe6UVlmMfei"
"Sammy Dread";"Compil./Birth of dancehall/Black solidarity 1976-1979";"Wat wah";2012;"KINGSTON SOUNDS";1712314807;1712314986;;;
"Gregory Isaacs";"Substance free";"Rat patrol";;"VIZIONS SOUNDS RECORDS";1712314982;1712315219;;"https://music.apple.com/fr/album/rat-patrol/400939384?i=400939416&uo=4";"https://open.spotify.com/track/7dDyLmurJQiYNuOh4bVAl8"
"Elvas";"Marseille reggae all stars";"Falo Fado";2002;"MAGNETIC LAB";1712315215;1712315436;;"https://music.apple.com/fr/album/falo-fado/1442453782?i=1442454156&uo=4";
"Courtney John";"Strangers";"Strangers (version instrumentale)";2016;"GEE RECORDINGS";1712315429;1712315640;;;
"Black Uhuru";"Black Uhuru";"Natural reggae beat";1980;"VIRGIN";1712315635;1712316090;;;
"Ansel Collins";"Jamaican gold/Ansel Collins with Sly & Robbie";"Here I come again";2002;"MOLL";1712316083;1712316370;;;
"Horace Andy";"Livin' it up";"True love";2007;"TAXI";1712316357;1712316641;;;
"Prince Far I";"Heavy manners / Anthology 1977-83";"Jah will provide";2003;"TROJ";1712316636;1712316809;;;
"The Gladiators";"Black man's pride / Vol. 3 : None shall escape the judgement of the Almighty";"A Prayer To Thee";2018;"SOUL JAZZ RECORDS";1712316807;1712316993;;;
"The In Crowd";"His majesty is coming";"His majesty is coming";1978;"CREOLE RECORDS";1712316984;1712317184;"https://www.deezer.com/track/131300900";;
"The Kingstonians";"This is reggae music : The golden era 1960 - 1975";"Singer man";2004;"DECLIC";1712317173;1712317352;"https://www.deezer.com/track/143066234";;
"The Itals";"Real authentic reggae vol. 1";"Ina disa time";;"BBE";1712317345;1712317520;;"https://music.apple.com/fr/album/ina-disa-time/1472072982?i=1472073569&uo=4";"https://open.spotify.com/track/5NHljBnLRDIayd4avXVwZ1"
"The Mighty Diamonds";"The Mighty Diamonds";"Have mercy";2008;"INNA DE YARD";1712317515;1712317797;;;
"The Mighty Three'S";"Africa shall stretch forth her hands";"Rasta dub business";2003;"MAKASOUND";1712317787;1712317978;;;
"The Roots Radics";"Junjo presents : Roots Radics : """"12 Inches of Pleasure"""" / General Echo : """"12 Inches of dub """"";"Set your dub on fire";2019;"VP RECORDS";1712317973;1712318156;;;
"Zenzile";"Sound patrol";"Gran Torino";2000;"CRASH DISQUES";1712318151;1712318343;;;
"Zion Train";"King Size Dub (Vol.5)";"Dub like wolves (Dubtribe remix)";1999;"ECHO BEACH";1712318342;1712318685;;;
"Mad Cobra";"Dancehall fever";"Find and kill";2008;"WAGRAM";1712318673;1712318896;"https://www.deezer.com/track/452784062";;
"Luciano";"Rub-a-dub market";"Truly love someone";2011;"IRIEVIBRATIONS RECORDS";1712318890;1712319154;;;
"Lui Lepkie";"Rub-a-dub soldiers";"Positive conversation";2007;"MAKASOUND";1712319152;1712319320;;;
"Gregory Isaacs";"All I have is love : Anthology 1968-1995";"A promise (is a comfort to a fool)";;"TROJAN RECORDS";1712319316;1712319489;;;
