"Artist";"Album";"Song";"Year";"Label";"start";"end";"itunes";"deezer";"spotify"
"Tiken Jah Fakoly";"Le caméléon";"Tête de mule";2008;"BARCLAY";1711792778;1711793036;"https://music.apple.com/fr/album/t%C3%AAte-de-mule/1443765532?i=1443766200&uo=4";"https://www.deezer.com/track/2148658";
"The Sunvizors";"Fire inside";"No one";2018;"SWELLO";1711793032;1711793218;"https://music.apple.com/fr/album/no-one/1370481432?i=1370481664&uo=4";"https://www.deezer.com/track/484384332";"https://open.spotify.com/track/00smpaqAV2UFN2QKxwNSsf"
"Toots And The Maytals";"Bla bla bla";"Bam bam";1965;"PLANET VIBE";1711793209;1711793466;;;
"Tommy Mccook & The Supersonics";"This is trojan boss reggae";"Tribute to rameses";2018;"TROJAN RECORDS";1711793463;1711793599;"https://music.apple.com/fr/album/tribute-to-rameses/1530151671?i=1530151676&uo=4";;"https://open.spotify.com/track/25yQxa9psZ9rF7nTqwAfjj"
"Willie Williams & Brentford Disco Set";"Studio one disco mix";"Armagideon time";1992;"SOJA";1711793596;1711793741;;;
"Tsunami Wazahari";"Prophet of the fat sound";"Introducing to my mind";;"AL DENTE RECORDS";1711793727;1711794089;"https://music.apple.com/fr/album/introducing-to-my-mind/348570134?i=348570173&uo=4";;"https://open.spotify.com/track/7jJsth9PTQBbImWyjhMBVn"
"Trinity";"Shanty town determination";"Rasta determination";1976;"BLOOD AND FIRE";1711794087;1711794267;;;
"Vanupie";"Gold";"Sharing the light (feat. Harrison Stafford)";2018;"COME ON TOUR / MUSICAST";1711794263;1711794501;;;
"Trolle & Siebenhaar";"Couple therapy";"Numbed";2008;"ARTPEOPLE";1711794500;1711794697;;;
"Vc";"Better run riddim";"Rise";2015;"DIVERSITE";1711794695;1711794885;"https://music.apple.com/fr/album/rise/1467405728?i=1467405742&uo=4";"https://www.deezer.com/track/692756612";"https://open.spotify.com/track/5YEeQBEVDUviz7zfM0kRBE"
"Wrongtom & The Ragga Twins";"In time";"Woah!";2017;"TRU THOUGHTS";1711794884;1711795108;"https://music.apple.com/fr/album/woah/1215658479?i=1215659077&uo=4";;
"Twan Tee";"Presenting twan tee (EP)";"Serious time (feat. Joseph Cotton)";2018;"ROOTS ATTACK";1711795091;1711795349;;;
"Winston McAnuff";"A drop";"Mother Africa";2005;"BLACKEYE";1711795341;1711795577;;"https://www.deezer.com/track/2211155657";
"Ziggy Marley";"Rebellion rises";"See dem fake leaders";2018;"TUFF GONG / V2";1711795572;1711795807;"https://music.apple.com/fr/album/see-dem-fake-leaders/1519622760?i=1519622764&uo=4";"https://www.deezer.com/track/998657192";"https://open.spotify.com/track/1Z4yuxDyvntY3TZPZcZpu8"
"Zenzile & Jayree";"5+1 : Zenzile meets Jay Ree";"Stuck in old things";2018;"YOTANKA";1711795804;1711796020;;;
"Zion Train";"A bangarang remixes compilation";"Logical progression";2000;"HAMMERBASS";1711796011;1711796277;;;
"Clive Hunt";"& the dub dancers";"Dub story (feat.Ras Neti)";2008;"MAKAFRESH";1711796274;1711796399;;;
"Abstract Rude";"Dubcatcher 3 : Flames up";"Yung n' powerfull (feat. Bayc, Zumbi, Abstract Rude & Irah)";2018;"SOULBEATS RECORDS";1711796400;1711796711;;;
"Adala & The Same Song Band";"Born-cel-ona";"Born : November (Feat.Kyne)";2018;"LA PANCHITA RECORDS";1711796707;1711796970;;;
"Alambic Conspiracy";"The Missing dub versions";"Dub has come";2011;"ORIGINAL DUB GATHERING";1711796966;1711797205;;;
"Alborosie Meets The Wailers United";"Unbreakable";"One chord";2018;"GREENSLEEVES";1711797203;1711797412;;;
"Alpha Blondy";"Human race";"Political brouhaha";2018;"ALPHALLIANCE";1711797409;1711797705;"https://music.apple.com/fr/album/political-brouhaha/1704902089?i=1704902301&uo=4";;"https://open.spotify.com/track/4wDUV3iuL4uzCEMVE3pZKm"
"Alpha Steppa & Nai Jah";"The great elephant";"Overcome";2018;"STEPPAS";1711797699;1711797936;;;
"Alton Ellis";"Black man's pride 2";"Almost anything";;"SOUL JAZZ RECORDS";1711797934;1711798341;"https://music.apple.com/fr/album/almost-anything/1392432125?i=1392432875&uo=4";;"https://open.spotify.com/track/25nKJyVRb5HgkwTM678H0s"
"Amy Winehouse";"Back to black / CD (bonus)";"Hey little rich girl";2006;"ISLAND";1711798337;1711798548;;"https://www.deezer.com/track/71238377";"https://open.spotify.com/track/6huXEunO4jEFn9Q7WLoMZs"
"Ashkabad";"International skankers";"Caracas";2016;"ORIGINAL DUB GATHERING";1711798547;1711798773;"https://music.apple.com/fr/album/caracas/1176969810?i=1176969979&uo=4";"https://www.deezer.com/track/136267956";"https://open.spotify.com/track/3K0cejToUI5weHYEkFLnp6"
"Anthony Johnson";"Gun shot";"I'm coming home";2018;"RASTAREGAAE PRODUCTIONS";1711798769;1711798959;;;
"Ashanti Roy";"Natty will fly again";"Wolf & dub";2014;"SOULBEATS RECORDS";1711798956;1711799159;;;
"Augustus Pablo";"Lets get started / Eastman dub";"Eastman dub";2018;"VP MUSIC";1711799155;1711799379;;"https://www.deezer.com/track/511340532";
"Aspo";"Love Potion N°1";"Evening snow";1998;"TOTAL HEAVEN";1711799376;1711799662;"https://music.apple.com/fr/album/evening-snow/255788275?i=255789128&uo=4";"https://www.deezer.com/track/2752579";"https://open.spotify.com/track/6iK2qrnd2KhXdJ4WQ2yqc0"
"Bacao Rhythm And Steel Band";"The serpent's mouth";"Real hot";2018;"BIG CROWN RECORDS";1711799661;1711799821;;;
"Barry Brown";"Vibes of Barry Brown";"Twinkle of an eye";2017;"RADIATION BOOTS";1711799817;1711800013;;"https://www.deezer.com/track/14860430";
"Big Red";"Dubcatcher 3 : Flames up";"Corrupted (feat. Big Red, Sr Wilson & Jman)";2018;"SOULBEATS RECORDS";1711800011;1711800296;;;
"Big Youth";"Natty cultural dread";"The day I laid my eyes on you";1976;"TROJAN RECORDS";1711800294;1711800493;;;
"Billy Cole";"Studio One lovers rock";"Rock all night";2018;"SOUL JAZZ RECORDS";1711800481;1711800643;"https://music.apple.com/fr/album/rock-all-night/1438230767?i=1438231248&uo=4";;
"Black Roots";"Take it";"How long";2018;"NUBIAN RECORDS";1711800639;1711800927;"https://music.apple.com/fr/album/how-long/1435639964?i=1435639988&uo=4";"https://www.deezer.com/track/551933292";"https://open.spotify.com/track/0kyjNJrUGNb62TbEUSTfK5"
"Blundetto";"Slow dance";"Satta";2018;"HEAVENLY SWEETNESS";1711800923;1711801192;"https://music.apple.com/fr/album/satta/1598580922?i=1598581350&uo=4";"https://www.deezer.com/track/1575492732";"https://open.spotify.com/track/6VHDMV5eE7xZpbdODG1UzY"
"Black Uhuru";"Sinsemilla";"Push push";1980;"ISLAND";1711801180;1711801423;"https://music.apple.com/fr/album/push-push/79726919?i=79726660&uo=4";;"https://open.spotify.com/track/41j9puVZe3gKefp67PLYch"
"Bob Brown";"The Big Payback vol. 3";"Bob Brown - Who is Mr. Brown (Popcorn Dub Mix)";2014;"AMERIGO GAZAWAY";1711801416;1711801570;;;
"Bob Marley";"Uprising";"Forever loving jah";1980;"ISLAND";1711801565;1711801791;;;
"Brain Damage";"Always greener (on the over side)";"Just suddenly peaceful";2002;"HAMMERBASS";1711801787;1711802051;;;
"Buju Banton";"Dancehall 2 / The rise of Jamaican dancehall culture";"Massa God world a run";2009;"SOUL JAZZ RECORDS";1711802047;1711802281;;;
"Brother Culture";"Code Name";"Jump up pon it";2018;"EVIDENCE MUSIC";1711802278;1711802490;;;"https://open.spotify.com/track/4AjUccjwI0VfptzLOFGBya"
"Bruno Blum";"Nuage d'Ethiopie";"Si je reste (version reggae)";2001;"DE LUXE";1711802487;1711802641;"https://music.apple.com/fr/album/si-je-reste-version-reggae/1676958346?i=1676958347&uo=4";;
"Bunny Wailer";"Solomonic singles 2: Rise & shine 1977-1986";"Rule dancehall version";2016;"VERTIGO";1711802641;1711802856;;;
"Cannibale";"Not easy to cook";"Frogs";2018;"BORN BAD RECORDS";1711802851;1711803069;"https://music.apple.com/fr/album/frogs/1436815341?i=1436815348&uo=4";"https://www.deezer.com/track/557276092";"https://open.spotify.com/track/7EI1QzXBTYdvfFqJVvIIAZ"
"Burning Spear";"Freeman";"We feel it";2003;"NOCTURNE";1711803065;1711803311;"https://music.apple.com/fr/album/we-feel-it/318352150?i=318352250&uo=4";"https://www.deezer.com/track/24829581";"https://open.spotify.com/track/3iKpckV0KuqHORlRYTAxVX"
"Carlton & The Shoes";"Studio One lovers rock";"Let me love you";2018;"SOUL JAZZ RECORDS";1711803309;1711803821;;;
"Cedric Im Brooks & Count Ossie";"Studio One showcase : The sound of Studio One in the 1970s";"Right on rasta";;"SOUL JAZZ RECORDS";1711803817;1711804002;"https://music.apple.com/fr/album/right-on-rasta/1059248431?i=1059248435&uo=4";;
"Charlie P";"Ghetto cycle";"New generation";2018;"DUBQUAKE RECORDS";1711804000;1711804328;;"https://www.deezer.com/track/470238002";"https://open.spotify.com/track/4vWaH3ktiAbD5J4NgcMSG0"
"Ceux Qui Marchent Debout";"Lala lalalala";"Insectos voladores";2000;"MUSISOFT";1711804327;1711804504;"https://music.apple.com/fr/album/insectos-voladores/256047590?i=256047847&uo=4";"https://www.deezer.com/track/208218";"https://open.spotify.com/track/4RH3RvllMGEMleokbTXCu6"
"Claire Angel";"Dubcatcher 3 : Flames up";"Mi gwarn (feat. Claire Angel)";2018;"SOULBEATS RECORDS";1711804503;1711804697;;;
"Christopher Martin & Romain Virgo";"Better Dub Riddim (extrait)";"Leave People Business";2017;"YOUNG BLOOD RECORDS";1711804691;1711804949;"https://music.apple.com/fr/album/leave-people-business/1718230866?i=1718230869&uo=4";;
"Christine Salem";"Fip la playlist qui rythme votre vie Vol. 2";"Mi larg'ra pa lo kor";2016;"WAGRAM";1711804944;1711805132;"https://music.apple.com/fr/album/mi-largra-pa-lo-kor/1060547622?i=1060547636&uo=4";;
"Clinton Fearon";"This morning";"Don't be afraid";2016;"CHAPTER TWO";1711805129;1711805366;"https://music.apple.com/fr/album/dont-be-afraid/1148999363?i=1149000073&uo=4";"https://www.deezer.com/track/131160420";
"Cimarons";"People say";"People say";1974;"MELODIE";1711805363;1711805615;;;
"Cornell Campbell";"Studio One lovers rock";"Didn't i";2018;"SOUL JAZZ RECORDS";1711805613;1711805840;;"https://www.deezer.com/track/77870760";
"Count Ossie & The Mystic Revelation Of Rastafari";"Tales of Mozambique";"No night in Zion";2016;"SOUL JAZZ RECORDS";1711805839;1711806067;;;
"Clive Hunt";"& the dub dancers";"Rockers dub";2008;"MAKAFRESH";1711806060;1711806298;;"https://www.deezer.com/track/832253322";"https://open.spotify.com/track/7qRAWfjJl8s9SFKLwyhNGD"
"Coxsone";"Studio one dub fire special - Chapter 3 : 18 heavyweight dub cuts from Brentford road";"Scorpio dub";;"SOUL JAZZ RECORDS";1711806293;1711806448;;;
"Culture";"Culture/Two sevens clash";"Im alone in the wilderness";1989;"BLUE MOON";1711806445;1711806650;;;
"Daddy Mory";"Mory";"Hardcore";2018;"CREEPY MUSY";1711806641;1711806864;"https://music.apple.com/fr/album/hardcore/1436600359?i=1436600372&uo=4";;"https://open.spotify.com/track/2oW4fBNbXXQ8Pl3Il0Q7NV"
"Dancing Djedi";"Body surfin";"Body surfin (D & B mix)";2005;"GAMM RECORDS";1711806858;1711807199;;;
