"Artist";"Album";"Song";"Year";"Label";"start";"end";"deezer";"itunes";"spotify"
"Toots And The Maytals";"Light your light";"See the light";2007;"UNIVERSAL";1711879110;1711879310;;;
"Jim Murple Memorial";"A la recherche d'un son perdu";"Some other day some other time";;"MURPLE";1711879304;1711879456;;;
"Jimmy Cliff";"Struggling man";"Better days are coming";1974;"MANG";1711879453;1711879647;"https://www.deezer.com/track/73368137";;
"Cocoa Tea";"Music is our business";"Stand up straight";2019;"VP RECORDS";1711879638;1711879853;"https://www.deezer.com/track/63415614";"https://music.apple.com/fr/album/stand-up-straight/1453414828?i=1453414853&uo=4";"https://open.spotify.com/track/2cQJRpOC4xoiY1xYGjkRaC"
"Clinton Fearon";"History say";"Mr. Pretender (feat. Mike Love)";2019;"BACO RECORDS / BOOGIE BROWN PRODUCTIONS";1711879844;1711880139;;"https://music.apple.com/fr/album/mr-pretender-feat-mike-love/1524969341?i=1524969344&uo=4";
"Chinese Man";"Racing with the sun";"One past";2011;"CHINESE MAN";1711880131;1711880406;"https://www.deezer.com/track/10107270";"https://music.apple.com/fr/album/one-past/423819599?i=423819604&uo=4";"https://open.spotify.com/track/3rxuNTK1rPbg488UVE6eW0"
"Manjul";"Dub To Mali season 3 : Douba";"Dub for the minian ba";2019;"BACO RECORDS";1711880404;1711880601;;;
"Manasseh Meets The Equalizer";"King Size Dub Chapter 10";"Angry dub";2019;"ECHO BEACH";1711880595;1711880802;;;
"Mameen 3";"Spacecamel / Jahrab";"Jahrab";2019;"BONGO JOE RECORDS";1711880799;1711881070;;"https://music.apple.com/fr/album/jahrab/1490085917?i=1490085922&uo=4";"https://open.spotify.com/track/5UCzwcbRC9eSfZtOKbz0go"
"Manudigital";"EP";"So Wicked";2019;"X-RAY PRODUCTION";1711881066;1711881282;;;"https://open.spotify.com/track/6ClHg7WMEE3sd0IQ5xmmC7"
"Herman Dune";"Giant";"Baby bigger";2006;"SOURCE";1711881277;1711881368;;;
"Guive & The Ora";"La musique est mon remède";"Les mots qu'il te fallait";2018;"DIBYZ MUSIC / BACO DISTRIB";1711881363;1711881626;;;
"Groundation";"Each one dub one";"Wanna dub";2018;"BACO RECORDS";1711881616;1711881975;"https://www.deezer.com/track/1066431292";"https://music.apple.com/fr/album/wanna-dub/1529884534?i=1529884763&uo=4";"https://open.spotify.com/track/54vsmBSLCshazbQhuCCXfT"
"Dub Syndicate";"King size dub / Vol. 1";"Let the spirit rise (the mix)";1995;"ECHO BEACH";1711881968;1711882430;;;
"Dubble Standart";"King Size Dub (Chapter eight)";"Planet Egalica (Vienna Scientist rmx)";2002;"ECHO BEACH";1711882428;1711882799;;;
"Luciano";"Rub-a-dub market";"Praise jah anytime";2011;"IRIEVIBRATIONS RECORDS";1711882799;1711883015;;"https://music.apple.com/fr/album/praise-jah-anytime/1675785197?i=1675785732&uo=4";"https://open.spotify.com/track/5Dons6aeQZFHOA5ZR4Wcfo"
"Jah'Licious";"Delayed behaviour";"Panicked";2005;"SUGARLICKS";1711883014;1711883280;;;
"Ranking Toyan";"How the West Was Won";"Capital offence";;"GREENSLEEVES RECORDS";1711883276;1711883493;;;
"Ras Command";"King size dub / Vol. 3";"Love dub (drum-mix)";1997;"ECHO BEACH";1711883492;1711883901;;;
"Don Yute";"Hail Up The Taxi";"Freak out";1995;"ISLAND";1711883892;1711884145;;;"https://open.spotify.com/track/45lfQmKOPronUdOlQAJv7A"
"Inner Circle Meets Maximillian At Channel One";"The Rough Guide to dub/Original dub masters:birthplace of modern dance music";"Down rhodesia";2005;"WORLD MUSIC NETWORK";1711884141;1711884353;;;
"Dub Syndicate";"Hard Food";"Love addis ababa";;"ECHO BEACH";1711884347;1711884666;;"https://music.apple.com/fr/album/love-addis-ababa/948081560?i=948081569&uo=4";"https://open.spotify.com/track/4wBqbeLcpJaEk611aA4OIx"
"Culture";"Reggae anthology : Natty dread taking over";"Legalization";;"VP MUSIC";1711884658;1711884906;;"https://music.apple.com/fr/album/legalization/543064123?i=543064197&uo=4";"https://open.spotify.com/track/0RvjyRjthwhlrTc6egaDNS"
"Bim Sherman";"This is Trojan roots";"Lightning and thunder";2018;"TROJAN RECORDS";1711884900;1711885112;;;"https://open.spotify.com/track/5ZVkJnuSOk9eEWul5vxTSB"
"Dennis Brown";"Light my fire";"General";1994;"DREDBEAT";1711885108;1711885347;;"https://music.apple.com/fr/album/general/1475811829?i=1475812074&uo=4";"https://open.spotify.com/track/51rwhgx5B7k5Be6hg7D4zf"
"Lee Perry & Friends";"A live injection anthology 1968 to 1979";"Don't cross the nation";2001;"TROJAN RECORDS";1711885335;1711885463;;;
"Livin Soul";"Sweet lane";"There's a young";2003;"ACTIVE";1711885453;1711885651;;;
"Lms";"Morgan heritage family and friends";"Nah look back";2002;"HERITAGE MUSIC GROUP";1711885644;1711885860;;;
"Prince Far I";"Silver and gold";"Equality version";2005;"BLOOD AND FIRE";1711885853;1711886042;;"https://music.apple.com/fr/album/equality-version/1225511174?i=1225511935&uo=4";"https://open.spotify.com/track/2UScxYM53OsyWqNVcBQXFd"
"Slim Smith And The Uniques";"Slim Smith and the uniques : best of 1967-1969";"Love and devotion";1994;"TROJAN RECORDS";1711886037;1711886210;;;
"The Mighty Diamonds";"Natural natty reggae";"Long time";;"SIMON MUSIC-SIPE";1711886208;1711886414;"https://www.deezer.com/track/86852333";;
"The Mopeds";"The blue beat ska and reggae revolution";"Whisky & soda";1991;"SEE FOR MILES";1711886411;1711886637;;;
"The Pharcyde";"Hip hop reggae series Vol.2";"Passing me by (remix Mato)";2010;"STIX";1711886634;1711886883;;;
"Yabby You";"Jesus dread";"Love of jah (version)";1997;"BLOOD AND FIRE";1711886874;1711887052;;;
"The Gladiators";"Roots legacy";"Gone away";2019;"UTOPIA STUDIOS";1711887045;1711887300;;;
"The Ethiopians";"Jamaica 1968 / Year of reggae";"Everything crash";2008;"JAH SLAMS";1711887290;1711887446;"https://www.deezer.com/track/5672935";;
"The Deltones";"Trojan Suedehead box set";"Chopsticks";;"TROJAN RECORDS";1711887442;1711887592;"https://www.deezer.com/track/131316590";"https://music.apple.com/fr/album/chopsticks/1439562615?i=1439562759&uo=4";"https://open.spotify.com/track/2GSunOx1OsTGTXXzYRwjPV"
"The Upsetters";"Trojan dub massive chapter two";"Washroom Skank";2005;"TROJAN";1711887586;1711887831;;;
"The Vision";"King size dub (dubvisionist special)";"Soul dub evolution";2014;"ECHO BEACH";1711887825;1711888135;;"https://music.apple.com/fr/album/soul-dub-evolution/874858732?i=874861906&uo=4";"https://open.spotify.com/track/5LYFbCeiQRXWKRwC7Gn2Jn"
"Kiddus I,";"Rockers-Graduation In Zion 1978-1980";"Love child";2014;"DUB STORE RECORDS";1711888124;1711888352;;;
"Jacob Miller";"Miller Jacob/With the Inner Circle band ( with Augustus Pablo)";"Curly locks";2007;"PLANET VIBES";1711888346;1711888593;;;
"Denroy Morgan";"Morgan Heritage family and friends / Vol. 2";"Harvest is plenty";1999;"HEARTBEAT";1711888584;1711888822;;;
"Anthony Ray";"We Sing Gregory";"Permanent lover";2004;"NAIVE RECORDS";1711888813;1711889036;;;
"Cavaliers";"Rare & unreleased ska recordings";"Dip them";2018;"DUB STORE RECORDS";1711889032;1711889167;;;
"Toots And The Maytals";"Ska father";"Broadway jungle '98";1999;"INCA";1711889164;1711889381;;;
"Cornell Campbell";"I man a stal-a-watt";"Conscious rastaman";2019;"VP RECORDS";1711889375;1711889532;;;"https://open.spotify.com/track/3JGKSmMX0CSDCiN9k4JkVh"
"Cocoa Tea";"Music is our business";"Magnet and steel";2019;"VP RECORDS";1711889530;1711889719;;"https://music.apple.com/fr/album/magnet-and-steel/1453414828?i=1453414847&uo=4";"https://open.spotify.com/track/61h7eA3LD2PjRi2wGcyw0b"
"Bi.Ba";"Experience";"Shalala Shalala";2020;"BATELIER RECORDS / BACO DISTRIBUTION";1711889712;1711889885;"https://www.deezer.com/track/1032511342";;"https://open.spotify.com/track/04wR4H1KqIa8fsW78m22zp"
"Biga Ranx";"Signz";"Under pressure (Barricades mix)";2020;"OBF / DUBQUAKE RECORDS";1711889879;1711890108;;;
"Anthony B";"Voice of Jamaica Vol. 2";"Needy greedy";2003;"THA JAM RECORDS";1711890107;1711890307;;;
"Dubmatix";"The french sessions";"Let the good time roll (feat. JR. Yellam)";2015;"SOUL BEATS RECORDS";1711890301;1711890513;;;
"Duke Morgan";"Studio one rocksteady";"Lick it back";2014;"SOUL JAZZ RECORDS";1711890507;1711890609;;"https://music.apple.com/fr/album/lick-it-back/807427655?i=807427844&uo=4";
"Chris Combette";"Roots de Guyane";"Chaia";2003;"VIRGIN";1711890607;1711890877;;"https://music.apple.com/fr/album/cha%C3%AFa/333945589?i=333945907&uo=4";"https://open.spotify.com/track/7bNbR7v17BivwwFRxUl7XA"
"Mato";"Hollywoo dub";"Psycho";2016;"FAVORITE RECORDINGS";1711890876;1711891006;;;
"Roots Radics";"The final battle";"To you (feat.The Maytals)";2019;"SERIOUS REGGAE";1711891004;1711891251;;;
"Cimarons";"Freedom street";"Ready for love";1980;"VIRGIN";1711891249;1711891471;;;
"Rod Taylor";"Ethiopian kings 1975-80";"Nuh chuck it / Dillinger";1999;"PATATE REC.";1711891463;1711891627;;;
"Suga Roy & The Fireball Crew";"Honoring the kings of reggae";"Love all I have";2016;"FIRE BALL RECORDS";1711891621;1711891834;;;
"Stephen Marley";"Revelation / Pt. 1 The root of life";"Working ways";2011;"TUFF GONG";1711891832;1711892136;;;"https://open.spotify.com/track/18OiohNe6IoXP6kwYtVyQc"
"Stryke";"Hi-fidelity dub sessions vol.3";"Ain't no sunshine";1994;"GUIDANCE RECORDINGS";1711892128;1711892470;;;
"Jah Division";"Dub will tear us apart...again";"Heart and soul dub";2019;"ERNEST JENNING RECORD";1711892457;1711892778;;;"https://open.spotify.com/track/6TNh4q0M0PLQRofg0vIsSP"
"Jackie Mittoo";"Drum song";"Merry go round";;"SOUL JAZZ";1711892771;1711892963;"https://www.deezer.com/track/1962896897";"https://music.apple.com/fr/album/merry-go-round/150383004?i=150383023&uo=4";"https://open.spotify.com/track/1Z21mpefpuyCQvSeXZpCsE"
"Derrick Morgan";"This is Derrick Morgan";"I'm gone (duo)";2016;"KINGSTON SOUNDS";1711892954;1711893149;;;
"Chaka Demus & Pliers";"For every kinda people";"Man smart, woman smarter";1996;"ISLAND";1711893146;1711893402;;;
"BOB MARLEY";"The legend live";"THEM BELLY FULL";2016;"TROJAN";1711893401;1711893599;;;
"Freddie Mac Gregor";"Reggae anthology (music works classics)";"Carry go bring come (chatty chatty mouth)";2007;"VP RECORDS";1711893599;1711893832;;;
"Phyllis Dillon";"Dillon Phyllis/Love is all i had/A tribute to the queen of jamaican soul";"Eddie oh baby";2004;"TROJAN";1711893828;1711893989;;;"https://open.spotify.com/track/6PNKNPBFcxj3BD5YgyPRyT"
"Slim Smith And The Uniques";"Slim Smith and the uniques : best of 1967-1969";"Lesson (story) of love";1994;"TROJAN RECORDS";1711893969;1711894222;;;
"The Meditations";"Rare roots reggae";"Justice";2004;;1711894219;1711894495;;;
"The Mighty Diamonds";"Right time";"Gnashing of teeth";2001;"VIRGIN";1711894487;1711894671;;;
"Toots And The Maytals";"True love";"Time tough";2004;"V2";1711894666;1711894867;;;
"Innavibe";"Le sens";"Retour de flamme";2020;"INNASSO";1711894857;1711895060;"https://www.deezer.com/track/1106388522";"https://music.apple.com/fr/album/retour-de-flamme/1535457123?i=1535457461&uo=4";"https://open.spotify.com/track/0LDtBXB0pBcbo7SsvOAKp6"
"Massilia Sound System";"Chourmo";"Qu'elle est bleue";1993;"WMD";1711895055;1711895313;"https://www.deezer.com/track/85680078";;"https://open.spotify.com/track/28g9eAeK1ifkchMZZBk4FJ"
"In Crowd";"Bad, bad, bad";"Mango walk";1975;"17 NORTH PARADE";1711895309;1711895510;"https://www.deezer.com/track/1137279242";;
"Dub Spencer & Trance Hill";"King size dub Germany downtown II";"The world is dub enough (Victor Rice dub remix King size dub edit)";2016;"ECHO BEACH";1711895504;1711895727;;;
"Dubmatix";"System shakedown";"(Give a) helping hand";;"ECHO BEACH";1711895722;1711895971;;;
"Burning Spear";"Creation rebel";"Call on you (rare stereo mix)";2004;"HEARTBEAT";1711895969;1711896130;;;
"Lizzy And Dennis Alcapone";"Treasure isle/Duke Reid's legacy/The true story of ska, rocksteady, dub and reggae";"Ba ba riba shank";;"JAHSLAMS";1711896126;1711896286;;;
"Gregory Isaacs";"All I have is love : Anthology 1968-1995";"Rasta business";;"TROJAN RECORDS";1711896282;1711896451;"https://www.deezer.com/track/73967424";"https://music.apple.com/fr/album/rasta-business/335584251?i=335584470&uo=4";"https://open.spotify.com/track/7z55kGZftaQI7lTI9cAp7l"
"Martin Jondo";"Rainbow Warrior";"Somehow";2005;"HOMEGROUND";1711896448;1711896736;;"https://music.apple.com/fr/album/somehow/1687947105?i=1687947395&uo=4";"https://open.spotify.com/track/3NmgBdsZEVtPVqs6ItFvXU"
"Roots Radics";"The final battle";"Glory (feat.Freddie McGregor)";2019;"SERIOUS REGGAE";1711896732;1711896965;;;
"Lizzard";"Bad, bad, bad";"Satta I";2020;"17 NORTH PARADE";1711896963;1711897109;;"https://music.apple.com/fr/album/satta-i/1538450938?i=1538451787&uo=4";"https://open.spotify.com/track/1EqF5RjrgmcPaXLMamaKA4"
"Roland Alphonso";"This is trojan ska";"Women of the World";2018;"TROJAN RECORDS";1711897106;1711897256;;;
"Kiddus I,";"Topsy turvy world";"Betters will come";2013;"RUBRO";1711897252;1711897428;;;
"Pinky Pinky";"Turkey dinner";"Applecheeks";2019;"INNOVATIVE LEISURE";1711897423;1711897627;;"https://music.apple.com/fr/album/applecheeks/1608120575?i=1608121265&uo=4";"https://open.spotify.com/track/4uRJLFmMZYwl20OIoKM2kh"
"Groundation";"Upon the bridge";"Sleeping bag-O-wire";2006;"NOCTURNE";1711897622;1711897965;;"https://music.apple.com/fr/album/sleeping-bag-o-wire/1553890284?i=1553890419&uo=4";
"Lee Perry & Dennis Alcapone";"Joe Gibb's Scorchers from the Early Years - Disc 2";"The upsetter / Upsetter version";2009;"17 NORTH PARADE";1711897956;1711898316;;;
"Sly & Robbie & Nils Petter Molvær";"Nordub";"If I gave you my love";2018;"OKEH / SONY";1711898311;1711898640;;;
"Launch Dat Meets Digi Dub";"King size dub / Vol. 1";"Bad boys (instrumental remix)";1995;"ECHO BEACH";1711898633;1711899015;;;
"Gilberto Gil";"Kaya n'gan daya";"Could you be loved";2002;"WEA INTERNATIONAL";1711899006;1711899320;;;
"Sinsemilia";"La tête haute";"La tête haute";2020;"ECHO PRODUCTIONS";1711899317;1711899561;"https://www.deezer.com/track/1261229712";"https://music.apple.com/fr/album/la-t%C3%AAte-haute/1539492878?i=1539492888&uo=4";"https://open.spotify.com/track/4RmMUE0e0PvXrMtucGQ603"
"Lone Ranger";"Best of Studio One, volume 2/Full up";"Love bump";1987;"HEARTBEAT";1711899558;1711899750;;;
"The Mighty Three'S";"Africa shall stretch forth her hands";"Rasta business";2003;"MAKASOUND";1711899748;1711899938;;;
"Stephen Marley, Buju Banton & ghetto youths";"Life And Debt";"Solutions (do rae me)";2004;"CHANT DU MONDE";1711899933;1711900274;;;
"Lee 'Scratch' Perry";"Heavy rain";"Rattling bones and crowns";2019;"ON-U SOUND";1711900262;1711900543;;;
"Hailu Mergia";"Yene mircha";"Bayne lay yihedal";2020;"AWESOME TAPES FROM AFRICA";1711900543;1711900849;;"https://music.apple.com/fr/album/bayne-lay-yihedal/1493975967?i=1493975970&uo=4";"https://open.spotify.com/track/6zRNeby0eCRxzoEzSrQkIT"
"Zenzile";"Totem";"Western addict";2002;"SMALL AXE";1711900848;1711901109;;"https://music.apple.com/fr/album/western-addict/1655723596?i=1655725327&uo=4";"https://open.spotify.com/track/7wMZ0DjlqDv2O98pIcNmw6"
"Guive & The Ora";"La musique est mon remède";"Lean on me";2018;"DIBYZ MUSIC / BACO DISTRIB";1711901096;1711901343;;;
"Lionel Achenza";"Marseille reggae all stars";"De kingston à Marseille";2002;"MAGNETIC LAB";1711901337;1711901595;;;
"Pickout All Stars";"Pickout Records Present_ Stalag Riddim (Stals Riddim)";"Stalag dub two";2015;"PICKOUT RECORDS";1711901583;1711901799;;"https://music.apple.com/fr/album/stalag-dub-two/1005523810?i=1005524141&uo=4";
"Leroy Smart";"Midnight to six man... First time from Jamaica";"Mr smart";2018;"KINGSTON SOUNDS";1711901797;1711901971;;;
"Jah'Licious";"Delayed behaviour";"Jammin' to music";2005;"SUGARLICKS";1711901968;1711902273;;;
"Dennis Brown";"Beautiful morning";"Token for dub";2009;"WORLD RECORDS";1711902270;1711902487;;;"https://open.spotify.com/track/0ypVLpsXkOlYFeavjG1EVZ"
"Mark Holder";"Mirror to the soul";"Saturday night reggae";1976;"SOUL JAZZ RECORDS";1711902478;1711902651;;;
"Improvisators Dub";"W.I.C.K.E.D. (Vocal)";"The real source (la fouine)";;"SUPER";1711902645;1711902925;;;
"Marcus Gad";"Rhythm of serenity";"Ini royal (feat. Blakkamoore)";2020;"LUSTRE KINGS";1711902925;1711903207;;;
"Liam Bailey";"Ekundayo";"Angel dust";2020;"BIG CROWN";1711903203;1711903432;"https://www.deezer.com/track/1040835472";"https://music.apple.com/fr/album/angel-dust/1523955204?i=1523955210&uo=4";"https://open.spotify.com/track/4k4ddmvWMzPahH501u6VXS"
"Rockers Hifi";"King Size Dub Chapter Seven";"Push push (the underwater world of jah coustea";2019;"ECHO BEACH";1711903412;1711903720;;;
"Red Beat";"King Size Dub (Chapter eight)";"Red beat";2002;"ECHO BEACH";1711903716;1711904061;"https://www.deezer.com/track/89652269";;
"Lieutenant Stitchie";"Hail Up The Taxi";"The mechanic";1995;"ISLAND";1711904058;1711904288;;;
"LEE 'SCRATCH' PERRY";"Super ape returns to conquer";"So it conquer";2013;"ECHO BEACH";1711904283;1711904399;;;
"Ziggy Marley";"Rebellion rises";"Your pain is mine";2018;"TUFF GONG / V2";1711904399;1711904600;;"https://music.apple.com/fr/album/your-pain-is-mine/1519622760?i=1519622983&uo=4";"https://open.spotify.com/track/3vZbj9HUyONnWFWCvPRIOd"
"Youtie";"Nomad skank";"Nomad spirit";2019;"ZULU VIBES";1711904595;1711904814;;;
"Xiberoots";"Maule muffin";"Palestina";2019;"AUROPRODUCTION/EGILEA EDITORE";1711904809;1711905109;"https://www.deezer.com/track/878632002";;
"Winston McAnuff";"Paris rockin'";"Wretched state";2006;"BLACK EYE";1711905103;1711905300;"https://www.deezer.com/track/2211156377";"https://music.apple.com/fr/album/wretched-state/1679384145?i=1679384452&uo=4";
"Winston Jarrett & The Righteous Flames";"A place called Africa / Vol. 1";"African people";2002;"TROJAN RECORDS";1711905295;1711905447;;;
"Ub40";"The best of ub40";"Superstition";1995;"VIRGIN";1711905443;1711905760;"https://www.deezer.com/track/3156914";"https://music.apple.com/fr/album/superstition/714519118?i=714520504&uo=4";
"U Roy";"Jah son of Africa";"Jah son of Africa";1978;"VIRGIN";1711905722;1711906175;;;
"Tsunami Wazahari";"Prophet of the fat sound";"Yes'i jah";;"AL DENTE RECORDS";1711906168;1711906466;"https://www.deezer.com/track/5124371";"https://music.apple.com/fr/album/yesi-jah/348570134?i=348570179&uo=4";"https://open.spotify.com/track/3BGvQeMmoxSywLlB3xIRev"
"Tryo";"Faut qu'ils s'activent";"Paris";2000;"SONY";1711906460;1711906808;"https://www.deezer.com/track/1141166062";"https://music.apple.com/fr/album/paris/1540242799?i=1540242952&uo=4";"https://open.spotify.com/track/5Nnz75Vxdh72j6MzBeSvqQ"
"Toots And The Maytals";"True love";"Sweet and dandy";2004;"V2";1711906805;1711907001;;;
"Tony King & The Hippy Boys";"Sock it to me !";"My devotion";2019;"TROJAN RECORDS";1711906994;1711907149;;;
"Tommy Mac Cook";"Blazing horns / Tenor in roots";"When I fall in dub";2003;"BLOOD AND FIRE";1711907141;1711907319;;;
"Tiken Jah Fakoly";"Coup de gueule";"Tonton d'America";2004;"BARCLAY";1711907312;1711907553;;"https://music.apple.com/fr/album/tonton-damerica/1443721707?i=1443722143&uo=4";
"Third World";"Reggae greats";"Prisoner in the street";;"ISLAND";1711907542;1711907871;"https://www.deezer.com/track/1162409";"https://music.apple.com/fr/album/prisoner-in-the-street/1443317399?i=1443317407&uo=4";"https://open.spotify.com/track/5Exy6T0mNGmHOMEF96HhSj"
"Thievery Corporation";"The richest man in Babylon";"The richest man in babylon";2002;"UNIVERSAL";1711907868;1711908097;"https://www.deezer.com/track/1825936787";"https://music.apple.com/fr/album/the-richest-man-in-babylon/1633561351?i=1633561710&uo=4";
"38 Dub Band";"Volume un";"I And I Dub";2000;"MELODIE";1711908093;1711908300;;;
"Abstract Rude";"Dubcatcher 3 : Flames up";"Yung n' powerfull (feat. Bayc, Zumbi, Abstract Rude & Irah)";2018;"SOULBEATS RECORDS";1711908297;1711908610;;;
"Ackboo";"Invincible";"Ganja skank";2016;"KHANTI RECORDS";1711908603;1711908871;"https://www.deezer.com/track/637392872";"https://music.apple.com/fr/album/ganja-skank/1451983471?i=1451983493&uo=4";"https://open.spotify.com/track/2XNlqy9Ni6CKXnDTHVP2QV"
"Adala & The Same Song Band";"Born-cel-ona";"Ona : Mateix foc";2018;"LA PANCHITA RECORDS";1711908867;1711909089;;;
"Adrian Sherwood";"Never trust a hippy";"Hari up hari";2003;"VIRGIN";1711909083;1711909389;"https://www.deezer.com/track/99268910";"https://music.apple.com/fr/album/hari-up-hari/1653541352?i=1653541769&uo=4";"https://open.spotify.com/track/0mp6cvJes84l7zFaGs0eO5"
"Alambic Conspiracy";"The Missing dub versions";"Hemp dub";2011;"ORIGINAL DUB GATHERING";1711909383;1711909635;;;
"Alborosie Meets The Wailers United";"Unbreakable";"Too rock (feat. Beres Hammond)";2018;"GREENSLEEVES";1711909636;1711909857;;;
"Alpha Blondy";"Masada";"God is one";;"EMI";1711909848;1711910100;;"https://music.apple.com/fr/album/god-is-one-live/1705051321?i=1705053210&uo=4";
